from,to,cost
1220026200,1220026200,0
1220026200,1220022900,769.2378889
1220026200,1220026300,769.2378889
1220026200,1220024000,769.2378889
1220026200,1220025300,769.2378889
1220026200,1220029700,10
1220026200,1220027200,10
1220026200,1220028300,10
1220026200,1220028200,441.3239722
1220026200,1220029100,441.3239722
1220026200,1220027400,441.3239722
1220026200,1220029900,441.3239722
1220022900,1220022900,0
1220022900,1220019800,590.2104531
1220022900,1220023000,590.2104531
1220022900,1220022300,590.2104531
1220022900,1220020600,590.2104531
1220022900,1220026300,10
1220022900,1220026200,769.2378889
1220022900,1220029700,769.2378889
1220022900,1220027200,769.2378889
1220022900,1220028300,769.2378889
1220022900,1220024000,10
1220022900,1220025300,10
1220022900,1220024600,553.5876417
1220022900,1220027500,553.5876417
1220022900,1220025200,553.5876417
1220022900,1220026100,553.5876417
1220019800,1220019800,0
1220019800,1220023000,10
1220019800,1220022900,590.2104531
1220019800,1220026300,590.2104531
1220019800,1220024000,590.2104531
1220019800,1220025300,590.2104531
1220019800,1220022300,10
1220019800,1220021400,566.5177118
1220019800,1220024700,566.5177118
1220019800,1220023900,566.5177118
1220019800,1220022200,566.5177118
1220019800,1220020600,10
1220023000,1220019800,10
1220023000,1220023000,0
1220023000,1220022900,590.2104531
1220023000,1220026300,590.2104531
1220023000,1220024000,590.2104531
1220023000,1220025300,590.2104531
1220023000,1220022300,10
1220023000,1220021400,566.5177118
1220023000,1220024700,566.5177118
1220023000,1220023900,566.5177118
1220023000,1220022200,566.5177118
1220023000,1220020600,10
1220026300,1220022900,10
1220026300,1220019800,590.2104531
1220026300,1220023000,590.2104531
1220026300,1220022300,590.2104531
1220026300,1220020600,590.2104531
1220026300,1220026300,0
1220026300,1220026200,769.2378889
1220026300,1220029700,769.2378889
1220026300,1220027200,769.2378889
1220026300,1220028300,769.2378889
1220026300,1220024000,10
1220026300,1220025300,10
1220026300,1220024600,553.5876417
1220026300,1220027500,553.5876417
1220026300,1220025200,553.5876417
1220026300,1220026100,553.5876417
1220029700,1220026200,10
1220029700,1220022900,769.2378889
1220029700,1220026300,769.2378889
1220029700,1220024000,769.2378889
1220029700,1220025300,769.2378889
1220029700,1220029700,0
1220029700,1220027200,10
1220029700,1220028300,10
1220029700,1220028200,441.3239722
1220029700,1220029100,441.3239722
1220029700,1220027400,441.3239722
1220029700,1220029900,441.3239722
1220029000,1220029000,0
1220029000,1220028200,504.7345607
1220029000,1220029100,504.7345607
1220029000,1220027400,504.7345607
1220029000,1220029900,504.7345607
1220029000,1220030100,10
1220029000,1220027600,10
1220029000,1220025800,787.7887166
1220029000,1220027700,787.7887166
1220029000,1220026000,787.7887166
1220029000,1220026900,787.7887166
1220029000,1220031100,10
1220028200,1220028200,0
1220028200,1220026200,441.3239722
1220028200,1220029700,441.3239722
1220028200,1220027200,441.3239722
1220028200,1220028300,441.3239722
1220028200,1220029100,10
1220028200,1220029000,504.7345607
1220028200,1220030100,504.7345607
1220028200,1220027600,504.7345607
1220028200,1220031100,504.7345607
1220028200,1220027400,10
1220028200,1220024600,781.7748399
1220028200,1220027500,781.7748399
1220028200,1220025200,781.7748399
1220028200,1220026100,781.7748399
1220028200,1220029900,10
1220027200,1220026200,10
1220027200,1220022900,769.2378889
1220027200,1220026300,769.2378889
1220027200,1220024000,769.2378889
1220027200,1220025300,769.2378889
1220027200,1220029700,10
1220027200,1220027200,0
1220027200,1220028300,10
1220027200,1220028200,441.3239722
1220027200,1220029100,441.3239722
1220027200,1220027400,441.3239722
1220027200,1220029900,441.3239722
1220028300,1220026200,10
1220028300,1220022900,769.2378889
1220028300,1220026300,769.2378889
1220028300,1220024000,769.2378889
1220028300,1220025300,769.2378889
1220028300,1220029700,10
1220028300,1220027200,10
1220028300,1220028300,0
