,1220026200,1220022900,1220019800,1220023000,1220026300,1220029700,1220029000,1220028200,1220027200,1220028300,1220029100,1220030100,1220027600,1220025800,1220023100,1220025900,1220027700,1220031100,1220027400,1220024600,1220021400,1220024700,1220027500,1220029900,1220022300,1220023900,1220025500,1220023800,1220022200,1220020600,1220026000,1220025200,1220024000,1220025300,1220026100,1220026900,1220026200_0,1220029700_1,1220027200_2,1220028300_3,1220022900_0,1220026300_1,1220024000_2,1220025300_3,1220019800_0,1220023000_1,1220022300_2,1220020600_3,1220029000_0,1220030100_1,1220027600_2,1220031100_3,1220028200_0,1220029100_1,1220027400_2,1220029900_3,1220025800_0,1220027700_1,1220026000_2,1220026900_3,1220023100_0,1220025900_1,1220025500_2,1220023800_3,1220024600_0,1220027500_1,1220025200_2,1220026100_3,1220021400_0,1220024700_1,1220023900_2,1220022200_3
0,30.22,36.6,35.79,33.92,31.11,25.19,26.37,20.3,26.81,21.9,28.65,19.0,30.21,21.05,34.14,23.21,22.67,36.0,30.79,25.14,31.14,25.88,22.42,28.18,23.0,27.01,33.0,20.1,30.67,21.82,39.26,25.61,28.25,28.74,24.88,26.76,26.018539999999998,25.08073,26.979269999999996,26.041459999999997,30.603909999999996,30.697499999999994,31.6525,31.74609,28.341225,28.566604999999996,28.698394999999998,28.923774999999996,29.15178,27.74411,28.04589,26.63822,25.933320000000002,27.52817,26.431829999999998,28.026679999999995,28.783459999999998,26.395960000000002,28.474039999999995,26.08654,25.336734999999997,27.800635000000003,27.424364999999995,29.888264999999997,24.322454999999998,24.183024999999994,24.841974999999998,24.702544999999994,28.522199999999998,27.823140000000002,29.52686,28.827800000000003
1,27.0,26.85,27.27,28.43,30.26,26.96,22.31,20.49,29.64,19.84,31.06,24.67,28.4,18.48,33.5,17.5,23.0,29.42,30.52,26.65,31.67,29.59,26.38,31.57,31.44,31.21,32.0,38.0,37.95,23.55,30.71,26.18,28.19,26.28,32.94,31.99,26.79208,24.920279999999998,26.79972,24.92792,28.403059999999996,28.038249999999998,27.75175,27.38694,27.029784999999993,28.536775,26.808224999999997,28.315215,26.072029999999998,26.522789999999993,25.877209999999998,26.32797,27.500839999999997,29.519709999999996,27.300289999999997,29.319159999999997,26.35442,26.5989,25.4911,25.73558,29.294999999999998,28.148999999999997,32.351,31.204999999999995,27.366135,28.657294999999998,27.417704999999998,28.708864999999996,33.05003,31.76269,33.44731,32.15997
2,32.49,39.83,26.36,32.13,33.27,26.2,19.0,22.35,28.94,20.95,31.83,23.85,21.67,20.85,30.59,29.29,26.95,28.28,27.82,24.94,30.5,31.86,24.03,31.39,29.39,26.81,26.52,24.85,30.78,24.06,31.81,24.06,34.48,27.88,26.4,30.37,27.30735,25.781259999999996,28.508740000000003,26.98265,33.86881999999999,32.608219999999996,35.12178,33.86118,28.02702,29.04505,26.92495,27.94298,23.36808,24.294430000000002,22.10557,23.031920000000003,27.783095000000003,29.593774999999994,27.101225,28.911904999999997,28.215069999999997,27.94003,27.04997,26.77493,27.528865,27.847834999999993,27.777164999999997,28.096134999999997,24.547124999999994,24.994064999999996,24.720934999999997,25.167874999999995,30.496515,29.738245,30.236755,29.478485
3,30.44,31.16,28.36,36.85,32.8,26.72,24.6,24.68,28.41,20.36,29.19,27.85,29.12,23.39,33.25,26.45,23.33,32.91,32.74,27.54,30.1,25.44,24.2,29.39,28.0,29.0,24.0,24.95,38.06,25.84,35.7,26.93,37.51,29.85,26.43,27.04,26.896015000000002,25.358465,27.606535,26.068984999999998,33.718149999999994,32.255089999999996,33.40491,31.94185,30.367014999999995,30.779575,28.745424999999997,29.157985000000004,28.671569999999996,29.292319999999997,27.94768,28.56843,28.24937,29.110780000000002,28.88922,29.750629999999997,28.1863,26.532239999999998,28.19776,26.543699999999998,26.603825,26.422375000000002,27.902625,27.721175,26.00378,25.908279999999998,26.64172,26.546219999999998,31.0702,29.339739999999995,31.960259999999998,30.229799999999997
4,30.82,40.0,19.0,42.0,30.48,27.21,23.87,19.57,30.29,20.47,33.13,26.02,35.07,21.55,32.79,25.91,32.61,28.64,29.08,24.71,33.73,28.02,23.18,27.15,33.18,31.0,31.0,16.0,29.0,22.84,34.93,26.36,32.38,26.93,27.43,26.93,27.790555,25.914935,28.480064999999996,26.604445,32.058815,31.017865,33.877134999999996,32.836185,30.46403,32.43897,26.07103,28.04597,27.580609999999997,27.991259999999997,28.808739999999997,29.21939,25.753204999999998,28.343165000000003,26.121834999999997,28.711795000000002,30.825229999999994,29.29723,28.71277,27.18477,24.335459999999998,27.20046,25.64954,28.514540000000004,25.1717,25.37607,25.463929999999998,25.6683,29.701195,30.083195,30.791805,31.173804999999998
5,30.8,32.17,26.74,27.86,32.77,25.6,25.16,20.78,28.71,21.98,29.99,24.61,32.97,25.82,31.62,29.24,26.78,26.64,33.74,22.45,34.79,23.93,27.1,31.62,35.0,31.0,31.0,28.51,36.98,26.55,33.12,25.37,36.47,32.87,27.11,30.7,26.918615000000003,25.633185,27.911815,26.626385,33.9711,33.283500000000004,33.8565,33.168899999999994,28.337484999999994,29.951434999999996,28.123564999999996,29.737515,26.79301,26.687959999999997,28.002039999999997,27.89699,27.950485,29.709594999999997,28.355404999999998,30.114515,29.427789999999998,28.96557,29.244429999999994,28.782209999999996,29.627415,30.103005,30.081995,30.557585,25.785405,26.117745,24.897254999999998,25.229594999999996,31.208959999999998,30.066779999999998,33.28322,32.14104
6,32.32,32.98,28.69,30.01,40.0,27.45,30.64,25.64,28.68,19.15,32.13,24.06,27.83,26.6,36.44,28.9,25.3,28.29,38.07,22.93,27.82,31.52,25.05,31.39,26.71,24.3,31.0,16.0,39.0,21.0,37.1,25.84,30.94,26.97,29.1,34.53,27.345029999999998,25.524799999999995,28.275199999999998,26.454969999999996,33.772045,33.013775,32.431225,31.672954999999995,26.183254999999996,27.273864999999997,25.931134999999998,27.021745,28.377319999999997,27.12054,28.28946,27.032679999999996,30.549765,31.789355,31.825644999999998,33.065235,31.003784999999997,30.512915,31.252085,30.761215000000004,25.93243,28.797430000000002,27.37257,30.237569999999998,25.621129999999997,26.243789999999997,25.21621,25.838870000000004,32.4172,29.609499999999997,31.710499999999996,28.902800000000003
7,32.98,31.22,24.94,32.44,30.23,32.13,25.15,21.84,29.9,19.95,31.78,25.42,38.61,30.56,30.87,25.65,33.26,28.22,37.49,26.46,28.53,35.15,23.47,29.63,33.0,23.79,43.76,28.0,39.0,21.0,34.77,23.75,29.12,28.95,25.95,29.47,29.60905,27.7086,29.771399999999996,27.870949999999997,29.801689999999997,29.769219999999997,29.990779999999997,29.958309999999997,27.415249999999993,29.707249999999995,25.982749999999996,28.274749999999994,28.33197,28.38354,30.316459999999996,30.368029999999997,28.4851,30.383639999999996,29.986359999999998,31.8849,32.778999999999996,31.766699999999997,32.263299999999994,31.250999999999994,30.066409999999998,33.07657,31.063429999999997,34.073589999999996,24.411855,24.832055,24.982944999999997,25.403145,33.702265,30.797154999999997,32.437845,29.532735000000002
8,32.94,30.53,28.08,34.7,32.57,26.09,23.81,22.18,29.96,19.32,33.02,28.19,28.45,26.78,38.7,30.03,25.46,26.59,31.4,30.46,29.18,26.12,30.59,30.74,34.51,28.41,21.6,26.02,38.66,38.0,34.0,25.94,39.31,29.74,25.72,30.55,27.439445,25.407205,28.747794999999996,26.715555,34.146255,32.318385,33.756615,31.928745,34.788005,34.121415,33.523585,32.856995,26.164079999999995,27.00066,26.519339999999996,27.355919999999998,28.23675,30.307190000000002,28.36281,30.433249999999997,29.400914999999998,28.741964999999997,29.653035000000003,28.994085,28.681624999999997,27.837405,30.337594999999997,29.493374999999997,28.210925,28.168904999999995,28.186095,28.144075,31.279145,29.321395,31.863604999999996,29.905855
9,31.44,34.92,17.0,34.33,31.15,32.19,25.55,24.84,27.88,18.96,37.06,26.39,36.0,21.27,31.04,29.77,33.48,28.04,31.62,31.35,30.93,45.0,25.72,31.6,18.0,24.0,32.24,30.17,42.0,23.58,32.98,25.74,32.74,31.43,26.87,30.57,28.540985,26.837265,28.397735,26.694015,32.32507,32.07486,33.045139999999996,32.794929999999994,25.415404999999996,24.349624999999996,22.105375,21.039595,28.1546,28.31504,29.67496,29.8354,30.11108,32.445100000000004,30.1149,32.44892,30.971209999999992,30.5109,28.6391,28.17879,30.48603,30.881400000000003,30.7286,31.123969999999996,26.77442,26.99025,27.84975,28.065579999999997,38.545185,35.107185,35.857814999999995,32.419815
10,34.24,40.85,33.48,28.11,32.96,26.4,25.75,21.92,28.17,18.61,33.92,24.83,33.45,25.76,30.74,29.42,24.69,28.5,30.23,25.98,30.21,28.56,26.52,29.82,32.63,28.32,18.0,24.75,31.12,25.17,34.04,25.0,38.3,26.82,27.15,27.96,27.01926,25.193299999999997,28.5167,26.690739999999995,35.075345,32.882665,36.58233499999999,34.389655,28.622235,30.047095,29.647904999999998,31.072764999999997,27.747635,27.571914999999997,28.693084999999996,28.517364999999998,27.787345,30.079345,27.865654999999997,30.157655,28.590955,27.429675000000003,28.795325,27.634045,26.246064999999998,24.956815,26.498184999999996,25.208935,26.008744999999998,26.419394999999998,25.905604999999998,26.316254999999998,29.662325,29.127525,29.977475000000002,29.442675
11,31.55,31.92,27.0,32.55,33.47,28.92,24.17,25.53,29.71,20.25,36.24,26.83,31.81,25.08,36.85,25.41,29.31,26.89,36.96,27.82,35.98,26.72,26.14,30.51,34.0,21.0,18.0,14.0,17.0,24.3,35.85,24.15,39.91,31.7,27.48,27.24,28.259764999999998,26.452905,28.762094999999995,26.955235000000002,35.18208,33.613969999999995,34.88603,33.31792,29.066175,30.918874999999996,28.006125,29.858824999999996,26.70111,27.20917,27.64083,28.14889,30.67122,32.71683,31.90317,33.94878,30.596219999999995,28.951709999999995,29.788289999999996,28.143779999999996,22.09048,22.85448,24.275519999999997,25.039519999999996,25.919044999999997,26.555074999999995,26.239925000000003,26.875955,23.908669999999997,24.672669999999997,25.677329999999994,26.441329999999994
12,32.65,34.45,28.97,29.97,29.81,28.74,21.0,25.42,29.8,20.9,33.53,28.95,29.77,24.87,38.28,32.54,35.21,36.14,29.16,30.73,38.65,25.31,26.7,30.71,34.0,21.0,18.0,31.85,29.45,26.43,32.2,26.07,35.35,29.04,26.96,33.79,28.499045,26.799144999999996,29.245855,27.545954999999996,32.321985,31.116775,33.208225,32.003015,29.215064999999996,30.660934999999995,29.024064999999993,30.469935,28.814109999999996,30.332559999999994,27.59744,29.115889999999997,29.078520000000005,30.627529999999997,28.78247,30.331479999999996,32.353125,32.656814999999995,30.378185,30.681875,30.942004999999995,28.296655,32.038345,29.392995,27.145139999999998,27.31513,27.91487,28.084859999999995,28.135504999999995,26.521555,30.683444999999995,29.069494999999996
13,31.04,30.14,25.67,34.39,30.68,28.38,23.36,24.16,29.62,21.93,36.17,25.49,31.67,33.5,19.0,27.75,32.87,31.41,34.07,24.9,29.22,29.25,26.89,31.56,35.08,22.0,16.0,24.09,25.0,31.35,34.64,25.11,43.08,31.11,25.83,27.69,28.222865000000002,26.754075,28.730925,27.262135,34.947205,32.660934999999995,34.84406499999999,32.557795,32.099045,32.811474999999994,30.433524999999996,31.145955,27.754254999999997,28.161084999999996,27.803915,28.210745,30.10334,32.39725,30.58275,32.876659999999994,32.77856,31.45111,32.898889999999994,31.571440000000003,23.31822,21.77303,21.64697,20.101779999999998,25.803785,25.941304999999996,25.423695,25.561214999999997,26.656865,26.083864999999996,26.651135,26.078134999999996
14,32.07,33.43,31.81,35.82,33.76,27.96,25.83,21.71,29.71,19.87,36.18,24.75,25.99,30.71,23.0,30.01,28.76,27.25,28.52,28.87,31.81,31.68,30.18,27.93,24.06,26.59,27.11,32.68,24.0,30.0,34.2,25.11,41.24,28.85,24.9,28.88,27.949714999999998,26.070275000000002,28.734724999999997,26.855285,35.53476,33.16827,35.47173,33.105239999999995,31.372724999999996,30.238184999999994,30.606814999999994,29.472274999999996,26.178469999999997,25.972189999999998,25.93781,25.73153,27.146769999999997,29.910539999999997,27.259459999999997,30.023229999999998,30.959334999999996,29.943215,31.331785000000004,30.315664999999996,29.401389999999996,28.337519999999998,28.062479999999997,26.998609999999996,27.410159999999998,27.370049999999996,27.15995,27.119839999999996,28.26024,28.75493,28.28507,28.779759999999996
15,31.1,31.32,28.14,35.97,35.28,28.09,23.75,21.64,30.2,19.18,34.76,26.0,29.38,41.5,29.4,29.29,32.19,29.04,29.65,26.44,31.62,22.95,23.52,29.19,36.0,24.08,26.89,24.28,37.15,30.0,33.1,25.1,41.53,30.9,26.57,29.37,27.907455,25.802635000000002,28.482365,26.377544999999998,36.150845000000004,34.120515,35.394484999999996,33.364155,32.702265,33.848265,31.206735000000002,32.352735,26.795155,27.224905,26.860094999999998,27.289844999999996,27.513109999999998,30.019029999999997,27.60097,30.106889999999996,33.50711,32.79468,35.28532,34.57289,27.20524,27.70375,27.226249999999997,27.724759999999996,24.988255,25.269025,25.545975,25.826744999999995,29.3702,26.873829999999998,31.026169999999997,28.529799999999994
