from,to,cost
1210007700,1210007700,0.0
1210007700,1210008500,428.7802603
1210007700,1210007600,428.7802603
1210007700,1210002800,10.0
1210007700,1220006300,956.7239247000001
1210007700,1220000200,956.7239247000001
1210007700,1210002700,956.7239247000001
1210007700,1210002500,10.0
1210007700,1210002600,130.6348915
1210007700,1210001700,130.6348915
1210007700,1210006800,10.0
1210007700,1210006600,2949.420887
1210007700,1210007900,2949.420887
1210007700,1210007100,2949.420887
1210007700,1210006900,2949.420887
1210008500,1210008500,0.0
1210008500,1210009500,137.1011005
1210008500,1210008400,137.1011005
1210008500,1210007600,10.0
1210008500,1210007700,428.7802603
1210008500,1210002800,428.7802603
1210008500,1210002500,428.7802603
1210008500,1210006800,428.7802603
1210009500,1210009500,0.0
1210009500,1210010300,445.68686219999995
1210009500,1210009400,445.68686219999995
1210009500,1210010700,445.68686219999995
1210009500,1210008400,10.0
1210009500,1210008500,137.1011005
1210009500,1210007600,137.1011005
1210010300,1210010300,0.0
1210010300,1210011300,213.64700519999997
1210010300,1210010200,213.64700519999997
1210010300,1210011500,213.64700519999997
1210010300,1210010000,213.64700519999997
1210010300,1210009400,10.0
1210010300,1210009500,445.68686219999995
1210010300,1210008400,445.68686219999995
1210010300,1210010700,10.0
1210010300,1220007100,719.5990922
1210010300,1220006400,719.5990922
1210010300,1220007300,719.5990922
1210010300,1210010600,719.5990922
1210011300,1210011300,0.0
1210011300,1210013700,275.04437189999993
1210011300,1210011200,275.04437189999993
1210011300,3201503900,275.04437189999993
1210011300,3201504000,275.04437189999993
1210011300,1210010200,10.0
1210011300,1210010300,213.64700519999997
1210011300,1210009400,213.64700519999997
1210011300,1210010700,213.64700519999997
1210011300,1210011500,10.0
1210011300,1220007200,677.9940780000001
1210011300,1220007700,677.9940780000001
1210011300,1220007900,677.9940780000001
1210011300,1210011400,677.9940780000001
1210011300,1210010000,10.0
1210011300,3201504500,847.0842445000001
1210011300,1210010100,847.0842445000001
1210011300,1210007400,847.0842445000001
1210013700,1210013700,0.0
1210013700,1220011900,824.057763
1210013700,1210013600,824.057763
1210013700,1220010300,824.057763
1210013700,1210015400,824.057763
1210013700,1210011200,10.0
1210013700,1210011300,275.04437189999993
1210013700,1210010200,275.04437189999993
1210013700,1210011500,275.04437189999993
1210013700,1210010000,275.04437189999993
1210013700,3201503900,10.0
1210013700,1220007600,557.3717544
1210013700,1220009100,557.3717544
1210013700,3201503800,557.3717544
1210013700,3201504000,10.0
1210013700,3201504100,856.9439194
1210013700,3201504400,856.9439194
1220011900,1220011900,0.0
1220011900,1220016300,594.0718552
1220011900,1220011800,594.0718552
1220011900,1220015500,594.0718552
1220011900,1210018200,594.0718552
1220011900,1210013600,10.0
1220011900,1210013700,824.057763
1220011900,1210011200,824.057763
1220011900,3201503900,824.057763
1220011900,3201504000,824.057763
1220011900,1220010300,10.0
1220011900,1220010700,650.16889
1220011900,1220010200,650.16889
1220011900,1220009000,650.16889
1220011900,1220013500,650.16889
1220011900,1210015400,10.0
1220011900,1210015500,380.96524639999996
1220011900,1210015300,380.96524639999996
1220011900,1210016500,380.96524639999996
1220016300,1220016300,0.0
1220016300,1220021100,414.8826527
1220016300,1220016200,414.8826527
1220016300,1210020000,414.8826527
1220016300,1220019500,414.8826527
1220016300,1220011800,10.0
1220016300,1220011900,594.0718552
1220016300,1210013600,594.0718552
1220016300,1220010300,594.0718552
1220016300,1210015400,594.0718552
1220016300,1220015500,10.0
1220016300,1220016700,321.86751780000003
1220016300,1220015400,321.86751780000003
1220016300,1210018200,10.0
1220016300,1210016400,329.46801760000005
1220016300,1210018700,329.46801760000005
1220016300,1210017000,329.46801760000005
1220016300,1210018300,329.46801760000005
1220021100,1220021100,0.0
1220021100,1220025100,586.7685271
1220021100,1220021000,586.7685271
1220021100,1210022200,586.7685271
1220021100,1220023400,586.7685271
1220021100,1220016200,10.0
1220021100,1220016300,414.8826527
1220021100,1220011800,414.8826527
1220021100,1220015500,414.8826527
1220021100,1210018200,414.8826527
1220021100,1210020000,10.0
1220021100,1210019000,326.72341989999995
1220021100,1210020100,326.72341989999995
1220021100,1210018600,326.72341989999995
1220021100,1210020900,326.72341989999995
1220021100,1220019500,10.0
1220021100,1220020700,317.4951646
1220021100,1220019400,317.4951646
1220025100,1220025100,0.0
1220025100,1220027900,776.8557962
1220025100,1220025000,776.8557962
1220025100,1220027300,776.8557962
1220025100,1210025400,776.8557962
1220025100,1220021000,10.0
1220025100,1220021100,586.7685271
1220025100,1220016200,586.7685271
1220025100,1210020000,586.7685271
1220025100,1220019500,586.7685271
1220025100,1210022200,10.0
1220025100,1210020800,333.0368499
1220025100,1210023100,333.0368499
1220025100,1210022300,333.0368499
1220025100,1210021000,333.0368499
1220025100,1220023400,10.0
1220025100,1220023300,317.1169225
1220025100,1220024100,317.1169225
1220027900,1220027900,0.0
1220027900,1220030700,785.8715491
1220027900,1220027800,785.8715491
1220027900,1210027600,785.8715491
1220027900,1220030500,785.8715491
1220027900,1220025000,10.0
1220027900,1220025100,776.8557962
1220027900,1220021000,776.8557962
1220027900,1210022200,776.8557962
1220027900,1220023400,776.8557962
1220027900,1220027300,10.0
1220027900,1220026200,872.9791098
1220027900,1220029700,872.9791098
1220027900,1220027200,872.9791098
1220027900,1220028300,872.9791098
1220027900,1210025400,10.0
1220027900,1210025500,326.38018650000004
1220027900,1210024400,326.38018650000004
1220027900,1210023000,326.38018650000004
1220030700,1220030700,0.0
1220030700,1210030100,578.5830437999999
1220030700,1220030600,578.5830437999999
1220030700,1210029400,578.5830437999999
1220030700,1220032700,578.5830437999999
1220030700,1220027800,10.0
1220030700,1220027900,785.8715491
1220030700,1220025000,785.8715491
1220030700,1220027300,785.8715491
1220030700,1210025400,785.8715491
1220030700,1210027600,10.0
1220030700,1210027000,608.9822596
1220030700,1210027700,608.9822596
1220030700,1220030500,10.0
1220030700,1220029600,877.9086765000001
1220030700,1220032300,877.9086765000001
1220030700,1220030400,877.9086765000001
1220030700,1220031300,877.9086765000001
1210030100,1210030100,0.0
1210030100,1210006300,557.7414187
1210030100,1220030600,10.0
