task1,task2,t-test,p-value,same?
acc_1back,acc_3back,7.04141085669714,5.852290161471096e-06,different
acc_1back,acc_a10,-3.7416573867739413,0.002189208719623894,different
acc_1back,acc_a20,-1.653154890776704,0.12053949926935405,same
acc_3back,acc_a10,-7.6062715034483945,2.4518973380709467e-06,different
acc_3back,acc_a20,-7.3519877299824445,3.6088299757938245e-06,different
acc_a10,acc_a20,1.4231267096192335,0.176600671040747,same
tlx_1back,tlx_3back,-4.2818426584380065,0.0007597819037295479,different
tlx_1back,tlx_a10,0.16684444014703453,0.8698782702415552,same
tlx_1back,tlx_a20,-1.8699403115042688,0.08254857779422761,same
tlx_3back,tlx_a10,5.364653901051473,9.9776069797296e-05,different
tlx_3back,tlx_a20,3.142629705305791,0.007196291976527594,different
tlx_a10,tlx_a20,-2.9248767942708307,0.011083348281403517,different
diff_1back,diff_3back,-9.071322334086078,3.0802938130416367e-07,different
diff_1back,diff_a10,1.61245154965971,0.12917094779932986,same
diff_1back,diff_a20,-1.5623450931857945,0.14052284740372223,same
diff_3back,diff_a10,13.770227471583926,1.56955620942158e-09,different
diff_3back,diff_a20,5.059349259081956,0.00017428225466281777,different
diff_a10,diff_a20,-2.824313046750752,0.01351738152442979,different
