hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
9.0,0.0,6.0,0.0,1.0,0.22,0.2879,0.75,0.0,-10.664375,1.0,1.0
11.0,0.0,6.0,0.0,1.0,0.24,0.2727,0.8,0.0,2.0,0.0,2.0
17.0,0.0,6.0,0.0,2.0,0.46,0.4242,0.76,0.0,8.0,6.0,14.0
8.0,0.0,1.0,0.0,3.0,0.36,0.3333,0.76,0.2836,11.0,31.0,34.0
15.0,0.0,1.0,1.0,1.0,0.32,0.3333,0.81,0.2985,17.998625,-14.8725,39.0
17.0,0.0,1.0,1.0,1.0,0.26,0.3333,0.66,0.194,1.0,13.0,-22.27275
0.0,0.0,1.0,1.0,1.0,0.16,0.2121,0.71,0.2239,2.0,8.0,37.36365
2.0,0.0,1.0,1.0,1.0,0.14,0.2273,0.57,0.2537,2.0,26.3075,6.0
8.0,0.0,2.0,1.0,1.0,0.18,0.1364,0.44,0.194,0.0,2.0,2.0
14.0,0.0,2.0,1.0,1.0,0.26,0.1364,0.44,0.194,7.0,19.0,20.0
22.0,0.0,2.0,1.0,1.0,0.2,0.2424,0.5,0.3284,4.0,64.0,-27.9455
2.0,0.0,2.0,1.0,3.5,0.18,0.2576,0.43,0.3582,7.0,67.0,76.0
4.0,0.0,2.0,1.0,1.0,0.16,0.2576,0.4,0.4179,10.0,58.0,65.0
12.0,0.0,3.0,1.0,1.0,0.12,0.1818,0.3,0.2836,0.0,9.0,9.0
21.0,0.0,3.0,1.0,1.0,0.26,0.1515,0.69,0.2836,0.0,3.0,37.36365
13.0,0.0,4.0,1.0,1.0,0.16,0.2879,0.74,0.1343,13.0,41.0,51.0
14.0,0.0,5.0,1.0,3.5,0.22,0.197,0.64,0.2985,0.0,26.3075,12.0
15.0,0.0,5.0,1.0,2.0,0.2,0.197,0.64,0.1642,0.0,5.0,5.0
16.0,0.0,5.0,1.0,2.0,0.18,0.2273,0.69,0.194,0.0,2.0,2.0
-6.25,0.0,5.0,1.0,2.0,0.16,0.2879,0.74,0.2537,-10.664375,2.0,2.0
-7.45,0.0,5.0,1.0,3.5,0.16,0.2576,0.43,0.1045,2.0,92.0,94.0
6.0,0.0,5.0,1.0,1.0,0.2,0.197,0.37,0.0896,2.0,177.0,179.0
9.0,0.0,5.0,1.0,1.0,0.26,0.197,0.37,0.0896,5.0,98.0,37.36365
15.0,0.0,6.0,1.0,2.0,0.22,0.2273,0.28,0.0896,18.0,66.0,78.0
20.0,0.0,6.0,1.0,3.0,0.22,0.1818,0.28,0.1642,17.0,54.0,63.0
23.0,0.0,6.0,1.0,1.0,0.2,0.1667,0.38,0.2239,15.0,48.0,37.36365
0.0,0.0,6.0,1.0,1.0,0.2,0.2273,0.38,0.194,17.998625,68.0,83.0
10.0,0.0,6.0,0.0,2.0,0.2,0.2727,0.55,0.3284,1.0,110.0,182.0
15.0,0.0,0.0,0.0,1.0,0.2,0.2273,0.64,0.194,1.0,48.0,54.0
20.0,0.0,0.0,0.0,1.0,0.2,0.2576,0.69,0.0896,0.0,9.0,35.0
10.0,0.0,0.0,0.0,3.0,0.18,0.2121,0.36,0.0,1.0,33.0,3.0
11.0,0.0,0.0,0.0,2.0,0.18,0.197,0.38,0.0,3.0,87.0,33.0
21.0,0.0,1.0,0.0,1.0,0.18,0.197,0.55,0.0,5.0,34.0,115.0
2.0,0.0,1.0,0.0,1.0,0.2,0.197,0.69,0.1045,4.0,85.0,62.0
9.0,0.0,1.0,0.0,1.0,0.14,0.197,0.69,0.1642,7.0,127.0,89.0
13.0,0.0,1.0,0.0,1.0,0.12,0.2424,0.37,0.0896,1.0,40.0,169.0
