Sequence_Name,Tag_identificator,timestamp,date_FORMAT,x_coordinate,y_coordinate,z_coordinate,activity
A02,010-000-030-096,633790230241947475,27.05.2009 14:10:24:193,3.288137435913086,,,walking
A02,010-000-030-096,633790230244109820,27.05.2009 14:10:24:410,3.724804401397705,2.37532639503479,,walking
A02,010-000-030-096,633790230246272172,27.05.2009 14:10:24:627,3.733717918395996,2.3324546813964844,,walking
A02,010-000-030-096,633790230248434521,27.05.2009 14:10:24:843,,2.341505289077759,,walking
A02,010-000-030-096,633790230250596867,27.05.2009 14:10:25:060,4.107344150543213,,,walking
A02,010-000-030-096,633790230252759221,27.05.2009 14:10:25:277,,2.555214166641236,,walking
A02,010-000-030-096,633790230254921563,27.05.2009 14:10:25:493,,,,walking
A02,010-000-030-096,633790230257083917,27.05.2009 14:10:25:710,3.8677072525024414,1.6732395887374878,,walking
A02,010-000-030-096,633790230259246278,27.05.2009 14:10:25:923,,,0.277656227350235,walking
A02,010-000-030-096,633790230261408632,27.05.2009 14:10:26:140,2.847583770751953,,-0.0811124742031097,walking
A02,010-000-030-096,633790230263570988,27.05.2009 14:10:26:357,2.722557783126831,1.801615595817566,,walking
A02,010-000-030-096,633790230265733317,27.05.2009 14:10:26:573,2.838818311691284,,,walking
A02,010-000-030-096,633790230270058024,27.05.2009 14:10:27:007,,1.7867391109466553,-0.2143760323524475,walking
A02,010-000-030-096,633790230272220374,27.05.2009 14:10:27:223,,,,walking
A02,010-000-030-096,633790230274382726,27.05.2009 14:10:27:437,2.5984253883361816,,0.123025968670845,sitting down
A02,010-000-030-096,633790230276545070,27.05.2009 14:10:27:653,,1.5363754034042358,0.345089316368103,sitting down
A02,010-000-030-096,633790230278707419,27.05.2009 14:10:27:870,3.024590492248535,1.0670348405838013,,sitting down
A02,010-000-030-096,633790230283032126,27.05.2009 14:10:28:303,2.612051010131836,,0.0274093244224786,sitting down
A02,010-000-030-096,633790230289519163,27.05.2009 14:10:28:953,2.972706079483032,,,sitting
A02,010-000-030-096,633790230291681512,27.05.2009 14:10:29:167,,,0.2956973314285278,sitting
A02,010-000-030-096,633790230293843860,27.05.2009 14:10:29:383,,,0.2974180281162262,sitting
A02,010-000-030-096,633790230296006210,27.05.2009 14:10:29:600,2.926132678985596,,0.4529765844345093,sitting
A02,010-000-030-096,633790230298168559,27.05.2009 14:10:29:817,3.0014164447784424,,0.3064934611320495,sitting
A02,010-000-030-096,633790230300330912,27.05.2009 14:10:30:033,2.9014265537261963,1.29901921749115,,sitting
A02,010-000-030-096,633790230304655593,27.05.2009 14:10:30:467,2.569296836853028,,0.1575791239738464,sitting
A02,010-000-030-096,633790230308980311,27.05.2009 14:10:30:897,,1.3046691417694092,,sitting
A02,010-000-030-096,633790230311142665,27.05.2009 14:10:31:113,,1.2811791896820068,,sitting
A02,010-000-030-096,633790230313305015,27.05.2009 14:10:31:330,,,,sitting
A02,010-000-030-096,633790230315467363,27.05.2009 14:10:31:547,,,,sitting
A02,010-000-030-096,633790230319792063,27.05.2009 14:10:31:980,2.8478593826293945,,,sitting
A02,010-000-030-096,633790230321954405,27.05.2009 14:10:32:197,,1.3154512643814087,,sitting
A02,010-000-030-096,633790230328441433,27.05.2009 14:10:32:843,2.717748641967773,1.2367281913757324,,sitting
A02,010-000-030-096,633790230332766150,27.05.2009 14:10:33:277,2.6519408226013184,1.3322240114212036,0.3657784163951874,sitting
A02,010-000-030-096,633790230334928519,27.05.2009 14:10:33:493,3.9004530906677246,1.4526000022888184,1.033764362335205,sitting
A02,010-000-030-096,633790230337090870,27.05.2009 14:10:33:710,,1.3614046573638916,0.690478503704071,sitting
A02,010-000-030-096,633790230339253219,27.05.2009 14:10:33:927,,1.459696650505066,,sitting
A02,010-000-030-096,633790230343500525,27.05.2009 14:10:34:350,2.9522414207458496,1.7068421840667725,0.3953954875469208,sitting
A02,010-000-030-096,633790230345662890,27.05.2009 14:10:34:567,,,,sitting
A02,010-000-030-096,633790230347825241,27.05.2009 14:10:34:783,2.7470624446868896,,0.3465156257152557,sitting
A02,010-000-030-096,633790230349987588,27.05.2009 14:10:35:000,2.741408586502075,1.33095383644104,0.2231268435716629,sitting
A02,010-000-030-096,633790230352149930,27.05.2009 14:10:35:213,2.8590962886810303,1.4261223077774048,0.3839145600795746,sitting
A02,010-000-030-096,633790230354312292,27.05.2009 14:10:35:430,,,,sitting
A02,010-000-030-096,633790230356474641,27.05.2009 14:10:35:647,,,0.0449713990092277,sitting
A02,010-000-030-096,633790230358636999,27.05.2009 14:10:35:863,,1.3471451997756958,0.0252155344933271,sitting
A02,010-000-030-096,633790230360799350,27.05.2009 14:10:36:080,,,,sitting
A02,010-000-030-096,633790230362961700,27.05.2009 14:10:36:297,2.8544857501983643,1.397128701210022,,sitting
A02,010-000-030-096,633790230365124049,27.05.2009 14:10:36:513,2.795802354812622,,0.0230613220483064,sitting
A02,010-000-030-096,633790230367286400,27.05.2009 14:10:36:730,2.8308820724487305,,,sitting
A02,010-000-030-096,633790230369448734,27.05.2009 14:10:36:943,,,,sitting
