var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var1(t)
129.0,-16.0,-4.0,1020.0,1.79,0.0,0.0,1.0,148.0
148.0,-15.0,-4.0,1020.0,2.68,0.0,0.0,1.0,159.0
159.0,-11.0,-5.0,1021.0,3.57,0.0,0.0,1.0,181.0
181.0,-7.0,-5.0,1022.0,5.36,1.0,0.0,1.0,138.0
138.0,-7.0,-5.0,1022.0,6.25,2.0,0.0,1.0,109.0
109.0,-7.0,-6.0,1022.0,7.14,3.0,0.0,1.0,105.0
105.0,-7.0,-6.0,1023.0,8.93,4.0,0.0,1.0,124.0
124.0,-7.0,-5.0,1024.0,10.72,0.0,0.0,1.0,120.0
120.0,-8.0,-6.0,1024.0,12.51,0.0,0.0,1.0,132.0
132.0,-7.0,-5.0,1025.0,14.3,0.0,0.0,1.0,140.0
140.0,-7.0,-5.0,1026.0,17.43,1.0,0.0,1.0,152.0
152.0,-8.0,-5.0,1026.0,20.56,0.0,0.0,1.0,148.0
148.0,-8.0,-5.0,1026.0,23.69,0.0,0.0,1.0,164.0
164.0,-8.0,-5.0,1025.0,27.71,0.0,0.0,1.0,158.0
158.0,-9.0,-5.0,1025.0,31.73,0.0,0.0,1.0,154.0
154.0,-9.0,-5.0,1025.0,35.75,0.0,0.0,1.0,159.0
159.0,-9.0,-5.0,1026.0,37.54,0.0,0.0,1.0,164.0
164.0,-8.0,-5.0,1027.0,39.33,0.0,0.0,1.0,170.0
170.0,-8.0,-5.0,1027.0,42.46,0.0,0.0,1.0,149.0
149.0,-8.0,-5.0,1028.0,44.25,0.0,0.0,1.0,154.0
154.0,-7.0,-5.0,1028.0,46.04,0.0,0.0,1.0,164.0
164.0,-7.0,-5.0,1027.0,49.17,1.0,0.0,1.0,156.0
156.0,-8.0,-6.0,1028.0,52.3,2.0,0.0,1.0,126.0
126.0,-8.0,-6.0,1027.0,55.43,3.0,0.0,1.0,90.0
90.0,-7.0,-6.0,1027.0,58.56,4.0,0.0,1.0,63.0
63.0,-8.0,-6.0,1026.0,61.69,5.0,0.0,1.0,65.0
65.0,-8.0,-7.0,1026.0,65.71,6.0,0.0,1.0,55.0
55.0,-8.0,-7.0,1025.0,68.84,7.0,0.0,1.0,65.0
65.0,-8.0,-7.0,1024.0,72.86,8.0,0.0,1.0,83.0
83.0,-9.0,-8.0,1024.0,76.88,9.0,0.0,1.0,91.0
91.0,-10.0,-8.0,1024.0,80.9,10.0,0.0,1.0,86.0
