x_coordinate,y_coordinate,z_coordinate
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
1.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,0.0,1.0
0.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
0.0,0.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,0.0
1.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
1.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,0.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
1.0,0.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.0,0.0,0.0
0.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,0.0,1.0
0.0,0.0,0.0
1.0,1.0,0.0
0.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,0.0
1.0,1.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.0,0.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,1.0
0.0,1.0,1.0
1.0,1.0,0.0
1.0,0.0,1.0
1.0,0.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,1.0,1.0
