style,interval,target,t,x,y
2,1,0,12833981195,965.3112411499023,503.0582463741303
2,1,0,12833997850,968.1637954711914,509.796427488327
2,1,0,12834014504,966.3522529602052,512.0371878147125
2,1,0,12834031159,574.301643371582,481.9110667705536
2,1,0,12834047814,574.301643371582,481.9110667705536
2,1,0,12834264325,920.9762001037598,517.4693691730498
2,1,0,12834280979,921.7799758911133,503.8463008403778
2,1,0,12834297634,927.5796699523926,511.1956715583801
2,1,0,12834314289,935.1025009155272,496.8367230892181
2,1,0,12834330943,950.2761077880859,477.77535796165466
2,1,0,12834347598,951.1387062072754,480.50387263298035
2,1,0,12834364253,955.703067779541,480.5520236492157
2,1,0,12834380907,949.7903633117676,488.13429594039917
2,1,0,12834397562,935.3289222717284,482.9758608341217
2,1,0,12834414217,955.051155090332,468.7414741516113
2,1,0,12834430871,948.45947265625,491.0747265815735
2,1,0,12834447526,946.6657829284668,489.909735918045
2,1,0,12834464181,919.3727111816406,552.2548413276671
2,1,0,12834480835,908.169288635254,573.804030418396
2,1,0,12834497490,912.1086883544922,578.8452100753783
2,1,0,12834514145,919.144401550293,581.5419244766235
2,1,0,12834530800,916.3579940795897,571.113463640213
2,1,0,12834547454,911.3890838623047,570.8295142650603
2,1,0,12834564109,911.0022163391112,565.1564168930054
2,1,0,12834580764,913.3158111572266,552.0752406120299
2,1,0,12834597418,918.8472557067872,551.3566124439241
2,1,0,12834614073,918.6920166015624,558.6466956138612
2,1,0,12834630728,924.6343612670897,565.9822905063628
2,1,0,12834647382,916.8641662597656,576.1503624916078
2,1,0,12834664037,915.8344268798828,583.0618357658386
2,1,0,12834680692,930.650234222412,577.1814894676207
2,1,0,12834697346,933.05326461792,572.1282076835632
2,1,0,12834714001,938.1189918518066,578.2704877853394
2,1,0,12834730656,948.0797004699707,563.7648332118987
2,1,0,12834747310,947.6620483398438,554.5030045509338
2,1,0,12834763965,945.8561706542968,548.8976275920868
2,1,0,12834780620,950.554370880127,553.6819589138031
2,1,0,12834797275,955.8707809448242,554.1994857788086
2,1,0,12834813929,948.2116508483888,552.9360687732697
2,1,0,12834830584,942.505054473877,540.6031000614166
2,1,0,12834847239,949.2190742492676,529.2654991149901
2,1,0,12834863893,950.748119354248,526.0602700710297
2,1,0,12834880548,947.3702239990234,529.0203988552094
2,1,0,12834897203,957.3769378662108,529.3302583694458
2,1,0,12834913857,968.3093070983888,525.1291465759276
2,1,0,12834930512,988.6344146728516,504.733521938324
2,1,0,12834947167,996.8974494934082,513.0069673061372
2,1,0,12834963821,996.0577392578124,511.06193661689764
2,1,0,12834980476,991.9272232055664,501.0988926887512
2,1,0,12834997131,992.667999267578,496.21665000915533
2,1,0,12835013785,992.0085906982422,497.88593888282776
2,1,0,12835030440,987.222900390625,497.86022186279297
2,1,0,12835047095,985.7901000976562,502.33408212661743
2,1,0,12835063750,985.025463104248,498.69842290878296
2,1,0,12835080404,986.4822959899902,506.9186639785767
2,1,0,12835097059,990.4192352294922,504.27122712135315
2,1,0,12835113714,988.0243301391603,495.0449323654175
2,1,0,12835130368,992.3061370849608,494.0325701236725
2,1,0,12835147023,994.2566680908203,496.9028341770172
2,1,0,12835163678,992.3468780517578,495.3129494190216
2,1,0,12835180332,988.9764213562013,488.67058753967285
2,1,0,12835196987,989.361515045166,479.06098365783686
2,1,0,12835213642,993.2276725769044,473.7481498718262
2,1,0,12835230296,984.4633865356444,475.49513697624207
2,1,0,12835246951,983.9486312866212,474.3783617019653
2,1,0,12835263606,1065.6867980957034,478.5688841342926
2,1,0,12835280260,1102.9335403442385,487.43880987167364
2,1,0,12835296915,1116.432991027832,483.3331310749054
2,1,0,12835313570,1116.7903900146484,481.72847270965576
2,1,0,12835330225,1106.4258193969729,482.82400488853455
2,1,0,12835346879,1102.7289199829104,474.83672976493835
2,1,0,12835363534,1107.4079513549802,475.3212332725525
2,1,0,12835380189,1105.065803527832,478.7473905086517
2,1,0,12835396843,1116.4871215820312,482.5053906440735
2,1,0,12835413498,1118.9933776855466,489.6500551700592
2,1,0,12835430153,1109.398193359375,493.0676507949829
2,1,0,12835446807,1110.1405715942385,485.02894163131714
2,1,0,12835463462,1111.9259643554688,477.5373709201813
2,1,0,12835480117,1098.5282516479492,472.5843822956085
2,1,0,12835496771,1057.0573806762698,473.6264848709106
2,1,0,12835513426,1051.5361785888672,484.3294644355774
2,1,0,12835530081,1043.6111450195312,488.1198763847351
2,1,0,12835546735,1040.378875732422,478.29336762428284
2,1,0,12835563390,1041.9628524780271,481.07373476028437
2,1,0,12835580045,1046.3375854492188,488.3386158943176
2,1,0,12835596700,1045.4313278198242,490.5300664901733
2,1,0,12835613354,1049.9066543579104,491.9340741634369
2,1,0,12835630009,1055.0886535644534,497.8978478908539
2,1,0,12835646664,1050.4219818115234,495.92130661010737
2,1,0,12835663318,1050.5911254882812,501.79791927337646
2,1,0,12835679973,1049.0951538085938,500.43330788612366
2,1,0,12835696628,1048.9062118530271,500.71587324142456
2,1,0,12835713282,1051.5064239501953,501.0420513153076
2,1,0,12835729937,1052.4067306518557,503.599945306778
2,1,0,12835746592,1054.9690628051758,500.16680359840393
2,1,0,12835763246,1051.6304779052734,497.4835109710693
2,1,0,12835779901,1046.512451171875,503.84968042373663
2,1,0,12835796556,1046.3856506347656,511.26834869384766
2,1,0,12835813210,1040.166473388672,511.2299823760986
2,1,0,12835829865,1046.1835479736328,518.3978855609894
2,1,0,12835846520,1048.3211898803709,521.4566016197206
2,1,0,12835863175,1050.8393478393557,525.7642829418181
2,1,0,12835879829,1052.7029037475586,527.8020429611206
2,1,0,12835896484,1045.27099609375,519.3356394767761
2,1,0,12835913139,1051.2565994262698,510.2723371982575
2,1,0,12835929793,1051.815071105957,507.5560534000397
2,1,0,12835946448,1037.5709533691406,503.4786987304688
2,1,0,12835963103,1043.725471496582,502.79756784439087
2,1,0,12835979757,1053.895492553711,507.48504996299744
2,1,0,12835996412,1053.448257446289,503.5609030723572
2,1,0,12836013067,1056.8095016479492,498.22746992111206
2,1,0,12836029721,1055.8885955810547,506.71244502067566
2,1,0,12836046376,1059.2337036132812,513.2525181770325
2,1,0,12836063031,1057.0395278930664,518.6245751380919
2,1,0,12836079685,1057.3316955566406,524.6057939529419
2,1,1,12838361378,972.8106689453124,488.8204157352448
2,1,1,12838378032,962.6740646362304,494.38288807868963
2,1,1,12838394687,960.0121688842772,510.830579996109
2,1,1,12838411342,953.2871627807616,514.6053814887999
2,1,1,12838427996,959.1723442077637,517.8048169612886
2,1,1,12838444651,956.0037040710448,513.9265036582947
2,1,1,12838461306,950.865592956543,516.9484627246857
2,1,1,12838477960,955.8769035339357,527.3982954025269
2,1,1,12838494615,957.6229286193848,526.4947235584259
2,1,1,12838511270,955.1840209960938,515.5294561386108
2,1,1,12838527925,954.4211578369141,513.2043027877809
2,1,1,12838544579,954.4087409973143,516.3923442363739
2,1,1,12838561234,954.7052574157716,517.5074136257172
2,1,1,12838577889,960.5791664123536,517.8209745883942
2,1,1,12838594543,958.4173774719237,519.7877633571625
2,1,1,12838611198,951.8416595458984,522.0904183387756
2,1,1,12838627853,951.5972709655763,523.6893153190613
2,1,1,12838644507,956.2588500976562,531.2909317016602
2,1,1,12838661162,957.541561126709,526.6502487659453
2,1,1,12838677817,965.777645111084,512.8000402450562
2,1,1,12838694471,966.5179634094237,514.2849969863892
2,1,1,12838711126,938.7739372253418,519.3587172031404
2,1,1,12838727781,867.7121353149414,554.4320333003998
2,1,1,12838744435,846.4089012145996,565.0329494476317
2,1,1,12838761090,852.2223281860353,566.1602175235747
2,1,1,12838777745,862.4789810180664,570.6385195255281
2,1,1,12838794400,866.6969299316406,566.1637902259828
2,1,1,12838811054,874.3149757385254,563.1644260883331
2,1,1,12838827709,876.6938591003418,560.7124257087709
2,1,1,12838844364,873.3160209655763,558.6202383041382
2,1,1,12838861018,869.8604774475098,558.891795873642
2,1,1,12838877673,867.0817375183105,557.8341472148895
2,1,1,12838894328,872.1682929992676,555.5668652057649
2,1,1,12838910982,877.7346420288086,554.3441641330719
2,1,1,12838927637,870.5725288391112,562.1376121044159
2,1,1,12838944292,857.950553894043,573.4154105186462
2,1,1,12838960946,862.172794342041,570.7778227329253
2,1,1,12838977601,874.2926597595215,554.1317009925841
2,1,1,12838994256,873.0942916870117,554.1200494766235
2,1,1,12839010910,874.9188232421875,559.2303335666656
2,1,1,12839027565,872.5675201416016,558.3146917819977
2,1,1,12839044220,868.6162757873535,564.4738054275513
2,1,1,12839060875,868.0047607421875,561.8749380111693
2,1,1,12839077529,869.0710067749022,563.8118255138397
2,1,1,12839094184,875.4105758666992,564.9588882923126
2,1,1,12839110839,876.575927734375,553.9404165744781
2,1,1,12839127493,874.026985168457,549.6431958675386
2,1,1,12839144148,865.7955932617188,558.0777025222778
2,1,1,12839160803,864.9440383911133,555.2594196796417
2,1,1,12839177457,870.0196647644043,551.5521454811096
2,1,1,12839194112,865.190372467041,554.3191552162169
2,1,1,12839210767,861.7206954956055,555.4785454273224
2,1,1,12839227421,861.5968704223633,551.3251340389252
2,1,1,12839244076,861.4506149291992,547.3970925807953
2,1,1,12839260731,863.6287117004395,547.4403834342957
2,1,1,12839277385,867.4290084838867,555.0206279754639
2,1,1,12839294040,865.9020805358888,556.4529919624329
2,1,1,12839310695,851.757755279541,557.8395223617554
2,1,1,12839327350,854.0659141540527,559.6127736568451
2,1,1,12839344004,867.1885681152344,552.5832080841063
2,1,1,12839360659,867.2995185852051,547.4901437759398
2,1,1,12839377314,871.8126106262207,552.3628914356232
2,1,1,12839393968,868.8860702514647,553.3406209945679
2,1,1,12839410623,864.6482086181641,554.436571598053
2,1,1,12839427278,863.8008880615234,553.8540923595428
2,1,1,12839443932,856.9855308532715,552.7031993865967
2,1,1,12839460587,860.5644989013672,554.5946073532103
2,1,1,12839477242,867.3386573791504,548.9683735370636
2,1,1,12839493896,865.6144332885742,544.2129778862001
2,1,1,12839510551,867.1621894836426,542.3279428482057
2,1,1,12839527206,863.3203506469728,537.2277009487152
2,1,1,12839543860,859.8101043701172,535.8686578273773
2,1,1,12839560515,862.6569366455078,538.5853600502013
2,1,1,12839577170,865.776481628418,537.9910683631897
2,1,1,12839593825,864.8346328735353,539.949392080307
2,1,1,12839610479,860.0136947631836,541.5630948543549
2,1,1,12839627134,859.0501594543457,545.7307326793672
2,1,1,12839643789,861.9845390319824,551.1546421051024
2,1,1,12839660443,863.0563926696777,541.9047224521637
2,1,1,12839677098,856.3963317871094,530.7930386066437
2,1,1,12839693753,851.9401741027832,531.1987495422363
2,1,1,12839710407,853.5783958435059,543.2983982563019
2,1,1,12839727062,852.7125358581543,545.0477027893066
2,1,1,12839743717,851.7294311523438,537.8857219219208
2,1,1,12839760371,852.1933174133301,540.7580780982971
2,1,1,12839777026,854.819393157959,539.5384025573729
2,1,1,12839793681,855.2650833129883,533.9487648010254
2,1,1,12839810335,855.782356262207,528.3766686916351
2,1,1,12839826990,864.7687149047853,525.8444273471831
2,1,1,12839843645,873.1129455566406,527.9486525058746
2,1,1,12839860300,873.6651229858397,529.6093797683717
2,1,1,12839876954,861.4663505554199,533.3552777767181
2,1,1,12839893609,864.0867042541504,532.9164469242096
2,1,1,12839910264,868.9483833312987,541.4373099803926
2,1,1,12839926918,864.9869537353516,548.5833263397217
2,1,1,12839943573,871.3212585449219,546.4346194267273
2,1,1,12839960228,872.5104713439941,543.9409053325653
2,1,1,12839976882,881.9538497924805,538.4229791164398
2,1,1,12839993537,888.4158134460449,541.5590393543243
2,1,1,12840010192,878.073558807373,545.9763479232788
2,1,1,12840026846,878.4090995788574,543.870609998703
2,1,1,12840043501,877.410945892334,537.1533179283142
2,1,1,12840060156,876.9778442382812,535.4746305942534
2,1,1,12840076810,883.2275772094728,543.7465310096742
2,1,1,12840093465,883.3210754394531,543.9669764041902
2,1,1,12840110120,866.7510604858397,544.6029818058014
2,1,1,12840126775,861.6288566589355,539.9843788146974
2,1,1,12840143429,874.1908073425293,536.8343496322632
2,1,1,12840160084,873.3199691772461,534.694139957428
2,1,1,12840176739,870.2311515808105,530.5238306522368
2,1,1,12840193393,869.1686248779297,532.3147523403169
2,1,1,12840210048,863.4061813354492,534.2015898227692
2,1,1,12840226703,864.8930549621582,529.4933795928955
2,1,1,12840243357,864.0895080566406,528.4303236007689
2,1,1,12840260012,864.3397903442383,533.9936971664429
2,1,1,12840276667,858.5974311828612,532.9972672462463
2,1,1,12840293321,865.3821182250978,531.8430590629579
2,1,1,12840309976,887.8446960449219,525.129017829895
2,1,1,12840326631,886.042366027832,523.6349844932556
2,1,1,12840343285,878.8232612609862,534.3742060661316
2,1,1,12840359940,879.600772857666,536.8537902832031
2,1,1,12840376595,881.3094329833984,543.5759425163269
2,1,1,12840393250,877.0057106018066,546.285080909729
2,1,1,12840409904,872.8944778442383,534.7968149185182
2,1,1,12840426559,872.1717262268066,533.0380153656007
2,1,1,12840443214,896.8133735656737,522.2394740581511
2,1,2,12842691596,1086.6399002075198,479.89187836647034
2,1,2,12842708251,1080.0568008422854,478.05676460266113
2,1,2,12842724906,1080.9010314941406,473.66195440292364
2,1,2,12842741560,1083.9234161376953,463.02460312843317
2,1,2,12842758215,1089.9090194702146,463.2416045665741
2,1,2,12842774870,1096.4031982421877,466.2802040576935
2,1,2,12842791525,1092.5884246826172,469.3045127391815
2,1,2,12842808179,1094.5315170288086,476.1845397949219
2,1,2,12842824834,1125.880889892578,460.1263689994812
2,1,2,12842841489,1358.9369583129885,410.6191420555115
2,1,2,12842858143,1377.4379348754885,396.4799952507019
2,1,2,12842874798,1356.7034149169922,401.1985051631928
2,1,2,12842891453,1365.0806045532229,408.8972282409668
2,1,2,12842908107,1364.8718643188474,410.8860969543457
2,1,2,12842924762,1367.7427291870115,416.08460426330566
2,1,2,12842941417,1377.574462890625,411.931836605072
2,1,2,12842958071,1375.9178161621094,408.6715686321258
2,1,2,12842974726,1363.0475616455078,403.0276322364807
2,1,2,12842991381,1361.0986328125,402.4354648590088
2,1,2,12843008035,1371.6630172729492,407.7875339984894
2,1,2,12843024690,1368.225555419922,411.19022727012634
2,1,2,12843041345,1356.6370391845705,412.0113694667816
2,1,2,12843058000,1355.3363037109375,416.03397488594055
2,1,2,12843074654,1325.3868865966795,432.1366596221924
2,1,2,12843091309,983.4791374206544,537.8772890567781
2,1,2,12843107964,953.7798309326172,554.2471218109132
2,1,2,12843124618,965.8389282226562,566.706680059433
2,1,2,12843141273,964.118766784668,572.2315907478333
2,1,2,12843157928,973.05025100708,568.6238694190979
2,1,2,12843174582,961.8675994873047,565.4278135299683
2,1,2,12843191237,957.6968002319336,560.5407106876373
2,1,2,12843207892,968.5052871704103,554.2437422275543
2,1,2,12843224546,969.179744720459,548.578884601593
2,1,2,12843241201,972.618408203125,548.0098593235016
2,1,2,12843257856,975.0986862182616,550.3236186504364
2,1,2,12843274510,974.0263748168944,548.8541436195374
2,1,2,12843291165,974.3503570556641,555.413464307785
2,1,2,12843307820,968.6392974853516,558.2591056823729
2,1,2,12843324475,968.8595390319824,550.8759713172914
2,1,2,12843341129,982.7819061279297,550.7734894752501
2,1,2,12843357784,984.259910583496,555.7302761077882
2,1,2,12843374439,973.5320472717284,560.9335148334503
2,1,2,12843391093,974.8950386047363,555.5244112014769
2,1,2,12843407748,979.2934608459473,564.9220025539397
2,1,2,12843424403,954.9724769592284,577.3756062984468
2,1,2,12843441057,948.646411895752,570.994952917099
2,1,2,12843457712,957.006664276123,561.578403711319
2,1,2,12843474367,954.9880409240724,564.7449767589569
2,1,2,12843491021,957.0952987670897,566.2738037109375
2,1,2,12843507676,954.7612762451172,565.1905024051666
2,1,2,12843524331,955.7406616210938,569.1494107246399
2,1,2,12843540985,958.5973358154297,568.1020617485046
2,1,2,12843557640,956.27836227417,568.6131834983827
2,1,2,12843574295,957.9001045227052,563.9665460586548
2,1,2,12843590950,961.837043762207,564.0440189838408
2,1,2,12843607604,963.6723899841307,567.6194894313812
2,1,2,12843624259,962.906608581543,564.8008525371553
2,1,2,12843640914,960.3683662414552,558.9274907112122
2,1,2,12843657568,963.8556098937987,557.9258143901825
2,1,2,12843674223,966.9474029541016,558.6947500705719
2,1,2,12843690878,963.1433868408203,560.9432351589203
2,1,2,12843707532,969.5319938659668,566.441752910614
2,1,2,12843724187,971.398754119873,573.6436772346498
2,1,2,12843740842,965.9222984313964,578.5862374305725
2,1,2,12843757496,964.8684692382812,573.2445645332336
2,1,2,12843774151,962.4991416931152,576.4397192001343
2,1,2,12843790806,962.2941780090332,576.892454624176
2,1,2,12843807460,952.6001167297363,569.9489557743073
2,1,2,12843824115,953.8672637939453,569.6333348751067
2,1,2,12843840770,964.75923538208,566.5875256061554
2,1,2,12843857425,963.2671546936036,566.5079283714293
2,1,2,12843874079,964.8279571533203,568.8878953456879
2,1,2,12843890734,959.5836448669434,565.7450115680696
2,1,2,12843907389,948.6112785339357,572.2364187240602
2,1,2,12843924043,953.5447120666504,572.3033022880553
2,1,2,12843940698,951.198844909668,580.8091020584106
2,1,2,12843957353,952.8603553771973,573.8609361648561
2,1,2,12843974007,961.2670135498047,564.6586847305298
2,1,2,12843990662,958.2381057739258,565.0070071220397
2,1,2,12844007317,951.6691970825196,548.8486075401306
2,1,2,12844023971,954.1057014465332,545.3640961647034
2,1,2,12844040626,969.2730140686036,547.5546777248384
2,1,2,12844057281,973.2845687866212,554.4993674755096
2,1,2,12844073935,972.0326995849608,552.0651984214784
2,1,2,12844090590,969.4027328491212,545.7490468025209
2,1,2,12844107245,971.7305183410643,559.9031281471251
2,1,2,12844123900,968.1193923950196,557.8914391994476
2,1,2,12844140554,951.6274261474608,546.4878559112549
2,1,2,12844157209,947.5673484802246,559.895886182785
2,1,2,12844173864,955.6281661987304,565.8247697353362
2,1,2,12844190518,960.4504203796388,566.4714288711548
2,1,2,12844207173,965.6335067749023,566.3246262073518
2,1,2,12844223828,969.2829704284668,565.1598286628722
2,1,2,12844240482,958.24462890625,562.1068739891052
2,1,2,12844257137,954.0362930297853,554.2749953269958
2,1,2,12844273792,957.8865432739258,546.7095243930817
2,1,2,12844290446,954.2117309570312,544.0827512741089
2,1,2,12844307101,946.5465927124023,549.9911963939667
2,1,2,12844323756,952.422332763672,556.2549483776094
2,1,2,12844340410,963.8688278198242,561.5158009529114
2,1,2,12844357065,963.0158996582032,564.2635953426361
2,1,2,12844373720,956.8856430053712,566.6628742218018
2,1,2,12844390375,960.618019104004,568.0895733833312
2,1,2,12844407029,960.0799751281737,561.1306893825531
