AGE,B,CHAS,CRIM,DIS,INDUS,LSTAT,NOX,PRICE,PTRATIO,RAD,RM,TAX,ZN
65.2,396.9,0.0,0.00632,4.09,2.31,4.98,0.538,24.0,15.3,1.0,6.575,296.0,18.0
78.9,396.9,0.0,0.02731,4.9671,7.07,9.14,0.469,21.6,17.8,2.0,6.421,242.0,0.0
61.1,392.83,0.0,0.02729,4.9671,7.07,4.03,0.469,34.7,17.8,2.0,7.185,242.0,0.0
45.8,394.63,0.0,0.03237,6.0622,2.18,2.94,0.458,33.4,18.7,3.0,6.998,222.0,0.0
54.2,396.9,0.0,0.06905,6.0622,2.18,5.33,0.458,36.2,18.7,3.0,7.147,222.0,0.0
58.7,394.12,0.0,0.02985,6.0622,2.18,5.21,0.458,28.7,18.7,3.0,6.43,222.0,0.0
66.6,395.6,0.0,0.08829,5.5605,7.87,12.43,0.524,22.9,15.2,5.0,6.012,311.0,12.5
96.1,396.9,0.0,0.14455,5.9505,7.87,19.15,0.524,27.1,15.2,5.0,6.172,311.0,12.5
100.0,386.63,0.0,0.21124,6.0821,7.87,29.93,0.524,16.5,15.2,5.0,5.631,311.0,12.5
85.9,386.71,0.0,0.17004,6.5921,7.87,17.1,0.524,18.9,15.2,5.0,6.004,311.0,12.5
94.3,392.52,0.0,0.22489,6.3467,7.87,20.45,0.524,15.0,15.2,5.0,6.377,311.0,12.5
82.9,396.9,0.0,0.11747,6.2267,7.87,13.27,0.524,18.9,15.2,5.0,6.009,311.0,12.5
39.0,390.5,0.0,0.09378,5.4509,7.87,15.71,0.524,21.7,15.2,5.0,5.889,311.0,12.5
61.8,396.9,0.0,0.62976,4.7075,8.14,8.26,0.538,20.4,21.0,4.0,5.949,307.0,0.0
84.5,380.02,0.0,0.63796,4.4619,8.14,10.26,0.538,18.2,21.0,4.0,6.096,307.0,0.0
56.5,395.62,0.0,0.62739,4.4986,8.14,8.47,0.538,19.9,21.0,4.0,5.834,307.0,0.0
29.3,386.85,0.0,1.05393,4.4986,8.14,6.58,0.538,23.1,21.0,4.0,5.935,307.0,0.0
81.7,386.75,0.0,0.7842,4.2579,8.14,14.67,0.538,17.5,21.0,4.0,5.99,307.0,0.0
36.6,288.99,0.0,0.80271,3.7965,8.14,11.69,0.538,20.2,21.0,4.0,5.456,307.0,0.0
69.5,390.95,0.0,0.7258,3.7965,8.14,11.28,0.538,18.2,21.0,4.0,5.727,307.0,0.0
98.1,376.57,0.0,1.25179,3.7979,8.14,21.02,0.538,13.6,21.0,4.0,5.57,307.0,0.0
