CRIM,DIS,INDUS,LSTAT,NOX,PRICE,PTRATIO,RAD,RM,TAX,ZN
0.00632,4.09,2.31,4.98,0.538,24.0,15.3,1.0,6.575,296.0,18.0
0.02731,4.9671,7.07,9.14,0.469,21.6,17.8,2.0,6.421,242.0,0.0
0.02729,4.9671,7.07,4.03,0.469,34.7,17.8,2.0,7.185,242.0,0.0
0.03237,6.0622,2.18,2.94,0.458,33.4,18.7,3.0,6.998,222.0,0.0
0.06905,6.0622,2.18,5.33,0.458,36.2,18.7,3.0,7.147,222.0,0.0
0.02985,6.0622,2.18,5.21,0.458,28.7,18.7,3.0,6.43,222.0,0.0
0.08829,5.5605,7.87,12.43,0.524,22.9,15.2,5.0,6.012,311.0,12.5
0.14455,5.9505,7.87,19.15,0.524,27.1,15.2,5.0,6.172,311.0,12.5
0.21124,6.0821,7.87,29.93,0.524,16.5,15.2,5.0,5.631,311.0,12.5
0.17004,6.5921,7.87,17.1,0.524,18.9,15.2,5.0,6.004,311.0,12.5
0.22489,6.3467,7.87,20.45,0.524,15.0,15.2,5.0,6.377,311.0,12.5
0.11747,6.2267,7.87,13.27,0.524,18.9,15.2,5.0,6.009,311.0,12.5
0.09378,5.4509,7.87,15.71,0.524,21.7,15.2,5.0,5.889,311.0,12.5
0.62976,4.7075,8.14,8.26,0.538,20.4,21.0,4.0,5.949,307.0,0.0
0.63796,4.4619,8.14,10.26,0.538,18.2,21.0,4.0,6.096,307.0,0.0
0.62739,4.4986,8.14,8.47,0.538,19.9,21.0,4.0,5.834,307.0,0.0
1.05393,4.4986,8.14,6.58,0.538,23.1,21.0,4.0,5.935,307.0,0.0
0.7842,4.2579,8.14,14.67,0.538,17.5,21.0,4.0,5.99,307.0,0.0
0.80271,3.7965,8.14,11.69,0.538,20.2,21.0,4.0,5.456,307.0,0.0
0.7258,3.7965,8.14,11.28,0.538,18.2,21.0,4.0,5.727,307.0,0.0
1.25179,3.7979,8.14,21.02,0.538,13.6,21.0,4.0,5.57,307.0,0.0
0.85204,4.0123,8.14,13.83,0.538,19.6,21.0,4.0,5.965,307.0,0.0
1.23247,3.9769,8.14,18.72,0.538,15.2,21.0,4.0,6.142,307.0,0.0
0.98843,4.0952,8.14,19.88,0.538,14.5,21.0,4.0,5.813,307.0,0.0
0.75026,4.3996,8.14,16.3,0.538,15.6,21.0,4.0,5.924,307.0,0.0
0.84054,4.4546,8.14,16.51,0.538,13.9,21.0,4.0,5.599,307.0,0.0
0.67191,4.682,8.14,14.81,0.538,16.6,21.0,4.0,5.813,307.0,0.0
0.95577,4.4534,8.14,17.28,0.538,14.8,21.0,4.0,6.047,307.0,0.0
0.77299,4.4547,8.14,12.8,0.538,18.4,21.0,4.0,6.495,307.0,0.0
1.00245,4.239,8.14,11.98,0.538,21.0,21.0,4.0,6.674,307.0,0.0
1.13081,4.233,8.14,22.6,0.538,12.7,21.0,4.0,5.713,307.0,0.0
1.35472,4.175,8.14,13.04,0.538,14.5,21.0,4.0,6.072,307.0,0.0
1.38799,3.99,8.14,27.71,0.538,13.2,21.0,4.0,5.95,307.0,0.0
1.15172,3.7872,8.14,18.35,0.538,13.1,21.0,4.0,5.701,307.0,0.0
1.61282,3.7598,8.14,20.34,0.538,13.5,21.0,4.0,6.096,307.0,0.0
0.06417,3.3603,5.96,9.68,0.499,18.9,19.2,5.0,5.933,279.0,0.0
0.09744,3.3779,5.96,11.41,0.499,20.0,19.2,5.0,5.841,279.0,0.0
0.08014,3.9342,5.96,8.77,0.499,21.0,19.2,5.0,5.85,279.0,0.0
0.17505,3.8473,5.96,10.13,0.499,24.7,19.2,5.0,5.966,279.0,0.0
0.12744,5.7209,6.91,4.84,0.448,26.6,17.9,3.0,6.77,233.0,0.0
0.1415,5.7209,6.91,5.81,0.448,25.3,17.9,3.0,6.169,233.0,0.0
0.15936,5.7209,6.91,7.44,0.448,24.7,17.9,3.0,6.211,233.0,0.0
0.12269,5.7209,6.91,9.55,0.448,21.2,17.9,3.0,6.069,233.0,0.0
0.17142,5.1004,6.91,10.21,0.448,19.3,17.9,3.0,5.682,233.0,0.0
0.18836,5.1004,6.91,14.15,0.448,20.0,17.9,3.0,5.786,233.0,0.0
0.22927,5.6894,6.91,18.8,0.448,16.6,17.9,3.0,6.03,233.0,0.0
0.25387,5.87,6.91,30.81,0.448,14.4,17.9,3.0,5.399,233.0,0.0
0.21977,6.0877,6.91,16.2,0.448,19.4,17.9,3.0,5.602,233.0,0.0
0.08873,6.8147,5.64,13.45,0.439,19.7,16.8,4.0,5.963,243.0,21.0
0.04337,6.8147,5.64,9.43,0.439,20.5,16.8,4.0,6.115,243.0,21.0
0.0536,6.8147,5.64,5.28,0.439,25.0,16.8,4.0,6.511,243.0,21.0
0.04981,6.8147,5.64,8.43,0.439,23.4,16.8,4.0,5.998,243.0,21.0
0.15445,7.8148,5.13,6.86,0.453,23.3,19.7,8.0,6.145,284.0,25.0
0.10328,6.932,5.13,9.22,0.453,19.6,19.7,8.0,5.927,284.0,25.0
