Model,MAE,RMSE,R2,RMSLE,MAPE
et,2.334,3.311,0.855,0.142,0.114
gbr,2.351,3.414,0.844,0.152,0.118
rf,2.481,3.592,0.824,0.155,0.123
ada,2.772,3.927,0.796,0.177,0.142
lar,3.53,4.97,0.688,0.257,0.175
lr,3.53,4.97,0.688,0.257,0.175
ridge,3.516,4.985,0.685,0.26,0.175
ard,3.543,5.005,0.684,0.26,0.178
br,3.565,5.064,0.678,0.266,0.177
mlp,3.774,5.154,0.676,0.283,0.182
kr,3.451,5.042,0.67,0.278,0.177
en,3.792,5.345,0.659,0.274,0.18
lasso,3.827,5.397,0.652,0.272,0.182
tr,3.499,5.318,0.642,0.303,0.18
dt,3.564,5.167,0.64,0.219,0.175
huber,3.72,5.464,0.63,0.286,0.18
ransac,3.69,5.71,0.591,0.277,0.184
omp,4.785,6.689,0.433,0.333,0.23
knn,4.856,6.912,0.428,0.261,0.222
svm,5.669,8.472,0.161,0.322,0.251
llar,6.847,9.312,-0.009,0.397,0.37
par,10.375,12.39,-1.516,0.527,0.595
