t,x,y,evt_pred
1169511404779381,-48.0830192565918,176.72292828559875,0
1169511404809841,-66.50594711303711,171.7496943473816,2
1169511404845136,-66.22859954833984,150.39072751998899,2
1169511404876652,199.49674606323242,260.6020629405976,2
1169511404909216,341.5906524658203,354.50546026229864,2
1169511404941851,363.9688301086426,368.88594150543213,2
1169511404974169,387.0015525817871,381.78169131278986,2
1169511405006335,363.37276458740234,368.398734331131,2
1169511405038400,386.3332748413086,366.96884870529175,2
1169511405070432,397.67053604125977,368.5304415225983,2
1169511405101159,394.2339324951172,376.1228847503662,2
1169511405133173,388.42496871948237,417.5592803955078,2
1169511405165270,397.9968070983887,390.05809783935547,2
1169511405196249,477.6425361633301,363.89246225357056,2
1169511405227452,481.40941619873047,369.9248898029328,2
1169511405259521,480.8005332946777,351.84872150421137,2
1169511405291856,484.94895935058594,327.97408938407904,2
1169511405324096,493.6565971374512,359.72208857536316,2
1169511405356427,516.0645294189453,299.9678683280945,2
1169511405388621,511.1654853820801,292.45894908905035,2
1169511405421337,522.4356842041017,306.7362403869629,2
1169511405453909,498.6139488220215,292.7432525157928,2
1169511405486480,544.476318359375,289.07167315483093,2
1169511405518919,544.1272163391113,268.7196934223175,2
1169511405551405,523.9687347412108,274.92518782615656,2
1169511405583691,388.39149475097656,169.561687707901,2
1169511405616228,370.2415084838867,197.13902354240417,2
1169511405648381,362.7390480041504,197.180769443512,2
1169511405680940,369.4168472290039,174.541198015213,2
1169511405713518,377.5399208068848,156.64839625358582,2
1169511405745787,362.1226692199707,185.05894422531128,2
1169511405778260,386.1732292175293,193.5366451740265,2
1169511405810934,370.5074691772461,183.1542432308197,2
1169511405843318,388.8307189941406,160.70679306983948,2
1169511405876711,369.1974639892578,122.02382445335388,2
1169511405908895,411.19029998779297,231.7880892753601,2
1169511405941438,418.7015724182129,224.17981028556824,2
1169511405973654,423.75282287597656,233.70128750801086,2
1169511406006155,422.4651336669922,236.73277378082275,2
1169511406038519,433.94498825073237,250.46534061431885,2
1169511406070805,430.24362564086914,227.23859071731567,2
1169511406103123,415.3671646118164,234.9747467041016,2
1169511406135320,436.91312789916987,238.6873960494995,2
1169511406167466,430.22966384887695,227.5282371044159,2
1169511406199425,434.9692916870117,241.51321053504944,2
1169511406231376,436.6191291809082,205.93881487846366,2
1169511406263553,436.8457794189453,253.3474493026733,2
1169511406295564,410.6402397155762,269.0703010559082,2
1169511406327744,442.4660873413086,175.27167081832886,2
1169511406360128,419.49951171875,158.10032963752747,2
1169511406392382,438.7587738037109,149.5315408706665,2
1169511406424586,435.7672309875488,179.4734263420105,2
1169511406456896,429.7294425964356,145.04042863845825,2
1169511406489257,447.83273696899414,169.57317829132083,2
1169511406521443,447.52294540405273,168.9373016357422,2
1169511406553483,426.6201400756836,117.84340858459473,2
1169511406585830,433.2954216003418,139.78314876556394,2
1169511406618184,454.3936920166016,135.7090127468109,2
1169511406650963,418.0306053161621,129.9824857711792,2
1169511406684926,425.08291244506836,132.90794968605042,2
1169511406717482,419.986515045166,135.7900261878967,2
1169511406749736,443.4560012817383,183.52644801139832,2
1169511406783560,438.3129692077637,441.00122928619385,2
1169511406815901,440.8847427368164,448.135883808136,2
1169511406848255,458.3794975280762,351.3362157344818,2
1169511406880309,446.5834426879883,443.4827125072479,2
1169511406912446,435.8096885681152,436.5027141571045,2
1169511406943898,447.48769760131836,439.4149172306061,2
1169511406974859,446.45057678222656,410.6508004665375,2
1169511407007284,449.8722457885742,420.97423672676086,2
1169511407038341,435.6299018859863,428.58657121658325,2
1169511407069636,423.6138916015625,465.62822103500366,2
1169511407101124,417.9627990722656,487.18050003051763,2
1169511407133313,408.06331634521484,509.65431094169617,2
1169511407165308,417.4255561828613,438.6043965816498,2
1169511407197607,425.95781326293945,526.7678773403169,2
1169511407229890,406.784725189209,501.6600513458252,2
1169511407262525,416.09649658203125,497.8464007377625,2
1169511407295518,409.7169876098633,493.1892704963684,2
1169511407327839,445.2723503112793,476.6650068759918,2
1169511407360221,440.2519416809082,456.4744746685028,2
1169511407392638,434.24596786499023,488.4593343734741,2
1169511407425148,449.60988998413086,482.6245641708374,2
1169511407457365,429.9165534973145,440.8889627456665,2
1169511407489698,447.7226448059082,504.7093689441681,2
1169511407522155,441.32734298706055,488.26895117759705,2
1169511407554491,442.4656295776367,483.9544463157654,2
1169511407586745,438.5684585571289,468.07838678359985,2
1169511407619334,421.99100494384766,486.29987716674805,2
1169511407651555,431.7375946044922,516.9093108177185,2
1169511407684227,440.1399612426758,508.4305155277252,2
1169511407716733,437.557373046875,431.4748919010162,2
1169511407749186,429.5493698120117,527.0736169815063,2
1169511407780446,437.25130081176763,517.6038634777069,2
1169511407813200,452.30480194091797,520.8133089542389,2
1169511407844389,453.8619995117188,510.36173820495605,2
1169511407876724,456.9164848327637,535.0337910652162,2
1169511407909376,472.9901695251465,555.4715478420259,2
1169511407940609,455.2465629577637,435.01270413398737,2
1169511407973304,450.9073638916016,508.0918490886688,2
1169511408005836,459.7285842895508,560.232640504837,2
1169511408039128,453.08134078979487,512.2283947467804,2
1169511408071772,464.5068359375,546.5280437469481,2
