t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,0.3201452,-0.36930427,True,1,0.3201452,-0.36930427,True,0.0
0.002,0.33883062,-0.38389787,True,1,0.33883062,-0.38389787,True,1.0
0.004,0.35187227,-0.3675676,True,1,0.35187227,-0.3675676,True,1.0
0.006,0.3615456,-0.39062098,True,1,0.3615456,-0.39062098,True,1.0
0.008,0.37311506,-0.38519117,True,1,0.37311506,-0.38519117,True,1.0
0.01,0.39871806,-0.3875842,True,1,0.39871806,-0.3875842,True,1.0
0.012,0.39632988,-0.39074156,True,1,0.39632988,-0.39074156,True,1.0
0.014,0.38810736,-0.4076193,True,1,0.38810736,-0.4076193,True,1.0
0.016,0.4151164,-0.41447073,True,1,0.4151164,-0.41447073,True,1.0
0.018,0.42400405,-0.3991955,True,1,0.42400405,-0.3991955,True,1.0
0.02,0.4312853,-0.37645715,True,1,0.4312853,-0.37645715,True,1.0
0.022,0.451439,-0.39217874,True,1,0.451439,-0.39217874,True,1.0
0.024,0.4569252,-0.38267365,True,1,0.4569252,-0.38267365,True,1.0
0.026,0.45496488,-0.382027,True,1,0.45496488,-0.382027,True,1.0
0.028,0.46425313,-0.38495195,True,1,0.46425313,-0.38495195,True,1.0
0.03,0.46818545,-0.38769603,True,1,0.46818545,-0.38769603,True,1.0
0.032,0.4545098,-0.38146594,True,1,0.4545098,-0.38146594,True,1.0
0.034,0.4646771,-0.3584291,True,1,0.4646771,-0.3584291,True,1.0
0.036,0.47872227,-0.3451453,True,1,0.47872227,-0.3451453,True,1.0
0.038,0.4718436,-0.338148,True,1,0.4718436,-0.338148,True,1.0
0.04,0.47855306,-0.33599123,True,1,0.47855306,-0.33599123,True,1.0
0.042,0.47819135,-0.32878682,True,1,0.47819135,-0.32878682,True,1.0
0.044,0.48110655,-0.3421727,True,1,0.48110655,-0.3421727,True,1.0
0.046,0.48187473,-0.32900366,True,1,0.48187473,-0.32900366,True,1.0
0.048,0.48698756,-0.3242341,True,1,0.48698756,-0.3242341,True,1.0
0.05,0.46413645,-0.34052256,True,1,0.46413645,-0.34052256,True,1.0
0.052,0.44916943,-0.32264325,True,1,0.44916943,-0.32264325,True,1.0
0.054,0.4296828,-0.33733603,True,1,0.4296828,-0.33733603,True,1.0
0.056,0.4062599,-0.32854176,True,1,0.4062599,-0.32854176,True,1.0
0.058,0.4027068,-0.3216242,True,1,0.4027068,-0.3216242,True,1.0
0.06,0.39062,-0.31849214,True,1,0.39062,-0.31849214,True,1.0
0.062,0.38044688,-0.34502083,True,1,0.38044688,-0.34502083,True,1.0
0.064,0.36903298,-0.31965512,True,1,0.36903298,-0.31965512,True,1.0
0.066,0.37689376,-0.31134218,True,1,0.37689376,-0.31134218,True,1.0
0.068,0.37531656,-0.30592206,True,1,0.37531656,-0.30592206,True,1.0
0.07,0.38020378,-0.31681964,True,1,0.38020378,-0.31681964,True,1.0
0.072,0.37792063,-0.3269101,True,1,0.37792063,-0.3269101,True,1.0
0.074,0.35923132,-0.33690527,True,1,0.35923132,-0.33690527,True,1.0
0.076,0.34579873,-0.35192576,True,1,0.34579873,-0.35192576,True,1.0
0.078,0.3438384,-0.33986232,True,1,0.3438384,-0.33986232,True,1.0
0.08,0.3456626,-0.35345826,True,1,0.3456626,-0.35345826,True,1.0
0.082,0.34085122,-0.34895316,True,1,0.34085122,-0.34895316,True,1.0
0.084,0.33001104,-0.34730595,True,1,0.33001104,-0.34730595,True,1.0
0.086,0.32391807,-0.33740607,True,1,0.32391807,-0.33740607,True,1.0
0.088,0.33041555,-0.3370745,True,1,0.33041555,-0.3370745,True,1.0
0.09,0.3479652,-0.3411663,True,1,0.3479652,-0.3411663,True,1.0
0.092,0.35723987,-0.33467558,True,1,0.35723987,-0.33467558,True,1.0
0.094,0.3446416,-0.3536751,True,1,0.3446416,-0.3536751,True,1.0
0.096,0.31200436,-0.32810226,True,1,0.31200436,-0.32810226,True,1.0
0.098,0.302086,-0.32051858,True,1,0.302086,-0.32051858,True,1.0
0.1,0.30314395,-0.28707817,True,1,0.30314395,-0.28707817,True,1.0
0.102,0.3145598,-0.3029806,True,1,0.3145598,-0.3029806,True,1.0
0.104,0.315398,-0.26161617,True,1,0.315398,-0.26161617,True,1.0
0.106,0.32590953,-0.26244757,True,1,0.32590953,-0.26244757,True,1.0
0.108,0.32971156,-0.2707547,True,1,0.32971156,-0.2707547,True,1.0
0.11,0.3390212,-0.2748747,True,1,0.3390212,-0.2748747,True,1.0
0.112,0.34893373,-0.2795266,True,1,0.34893373,-0.2795266,True,1.0
0.114,0.3489026,-0.26182622,True,1,0.3489026,-0.26182622,True,1.0
0.116,0.34733513,-0.25373983,True,1,0.34733513,-0.25373983,True,1.0
0.118,0.34147745,-0.2530961,True,1,0.34147745,-0.2530961,True,1.0
0.12,0.3554351,-0.2679153,True,1,0.3554351,-0.2679153,True,1.0
0.122,0.3715826,-0.27973664,True,1,0.3715826,-0.27973664,True,1.0
0.124,0.3790836,-0.2720995,True,1,0.3790836,-0.2720995,True,1.0
0.126,0.39107898,-0.27073523,True,1,0.39107898,-0.27073523,True,1.0
0.128,0.38125202,-0.24030629,True,1,0.38125202,-0.24030629,True,1.0
