t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.6152436,-0.9397159,True,1,-0.6152436,-0.9397159,True,0
0.002,-0.6071854,-0.9058389,True,1,-0.6071854,-0.9058389,True,1
0.004,-0.63579893,-0.9008778,True,1,-0.63579893,-0.9008778,True,1
0.006,-0.64787114,-0.9002506,True,1,-0.64787114,-0.9002506,True,1
0.008,-0.6471798,-0.86547506,True,1,-0.6471798,-0.86547506,True,1
0.01,-0.6353973,-0.8681579,True,1,-0.6353973,-0.8681579,True,1
0.012,-0.64083296,-0.87072307,True,1,-0.64083296,-0.87072307,True,1
0.014,-0.6440195,-0.8381364,True,1,-0.6440195,-0.8381364,True,1
0.016,-0.6711413,-0.87890863,True,1,-0.6711413,-0.87890863,True,1
0.018,-0.6975339,-0.87569684,True,1,-0.6975339,-0.87569684,True,1
0.02,-0.67253673,-0.8704683,True,1,-0.67253673,-0.8704683,True,1
0.022,-0.6649346,-0.9002477,True,1,-0.6649346,-0.9002477,True,1
0.024,-0.6376659,-0.8702359,True,1,-0.6376659,-0.8702359,True,1
0.026,-0.63459706,-0.8754294,True,1,-0.63459706,-0.8754294,True,1
0.028,-0.6261344,-0.8472681,True,1,-0.6261344,-0.8472681,True,1
0.03,-0.64169353,-0.874986,True,1,-0.64169353,-0.874986,True,1
0.032,-0.6038881,-0.850968,True,1,-0.6038881,-0.850968,True,1
0.034,-0.62966514,-0.88266206,True,1,-0.62966514,-0.88266206,True,1
0.036,-0.6448762,-0.8604245,True,1,-0.6448762,-0.8604245,True,1
0.038,-0.6323382,-0.8345103,True,1,-0.6323382,-0.8345103,True,1
0.04,-0.63734114,-0.83533883,True,1,-0.63734114,-0.83533883,True,1
0.042,-0.6044647,-0.81955403,True,1,-0.6044647,-0.81955403,True,1
0.044,-0.6196699,-0.84437233,True,1,-0.6196699,-0.84437233,True,1
0.046,-0.6070775,-0.84973115,True,1,-0.6070775,-0.84973115,True,1
0.048,-0.6250161,-0.84350204,True,1,-0.6250161,-0.84350204,True,1
0.05,-0.6413017,-0.8203602,True,1,-0.6413017,-0.8203602,True,1
0.052,-0.6418015,-0.79013735,True,1,-0.6418015,-0.79013735,True,1
0.054,-0.6522751,-0.7820665,True,1,-0.6522751,-0.7820665,True,1
0.056,-0.62556064,-0.79268306,True,1,-0.62556064,-0.79268306,True,1
0.058,-0.61228657,-0.79559535,True,1,-0.61228657,-0.79559535,True,1
0.06,-0.6114999,-0.81101453,True,1,-0.6114999,-0.81101453,True,1
0.062,-0.5929331,-0.7936681,True,1,-0.5929331,-0.7936681,True,1
