t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.19664703,2.8272586,True,1,-0.19664703,2.8272586,True,0.0
0.002,-0.15047707,2.8301358,True,1,-0.15047707,2.8301358,True,1.0
0.004,-0.105027646,2.8245494,True,1,-0.105027646,2.8245494,True,1.0
0.006,-0.05961323,2.8146117,True,1,-0.05961323,2.8146117,True,1.0
0.008,-0.055053703,2.8040233,True,1,-0.055053703,2.8040233,True,1.0
0.01,-0.08741381,2.8179927,True,1,-0.08741381,2.8179927,True,1.0
0.012,-0.064577274,2.8064902,True,1,-0.064577274,2.8064902,True,1.0
0.014,-0.086738,2.8266945,True,1,-0.086738,2.8266945,True,1.0
0.016,-0.09606806,2.8336754,True,1,-0.09606806,2.8336754,True,1.0
0.018,-0.09592707,2.8179984,True,1,-0.09592707,2.8179984,True,1.0
0.02,-0.092549965,2.8128273,True,1,-0.092549965,2.8128273,True,1.0
0.022,-0.07530271,2.792514,True,1,-0.07530271,2.792514,True,1.0
0.024,-0.0572231,2.7859154,True,1,-0.0572231,2.7859154,True,1.0
0.026,-0.043821648,2.7885673,True,1,-0.043821648,2.7885673,True,1.0
0.028,-0.050978422,2.7764328,True,1,-0.050978422,2.7764328,True,1.0
0.03,-0.045127563,2.7875597,True,1,-0.045127563,2.7875597,True,1.0
0.032,-0.03979693,2.7952135,True,1,-0.03979693,2.7952135,True,1.0
0.034,-0.029989423,2.8031852,True,1,-0.029989423,2.8031852,True,1.0
0.036,-0.015459999,2.7893217,True,1,-0.015459999,2.7893217,True,1.0
0.038,-0.016922472,2.7782686,True,1,-0.016922472,2.7782686,True,1.0
0.04,-0.017776228,2.7827106,True,1,-0.017776228,2.7827106,True,1.0
0.042,-0.044500373,2.762585,True,1,-0.044500373,2.762585,True,1.0
0.044,-0.04505755,2.7645006,True,1,-0.04505755,2.7645006,True,1.0
0.046,-0.028278993,2.7717936,True,1,-0.028278993,2.7717936,True,1.0
0.048,-0.030929724,2.7696717,True,1,-0.030929724,2.7696717,True,1.0
0.05,-0.03137216,2.7522845,True,1,-0.03137216,2.7522845,True,1.0
0.052,-0.019580008,2.733561,True,1,-0.019580008,2.733561,True,1.0
0.054,-0.031034742,2.736846,True,1,-0.031034742,2.736846,True,1.0
0.056,-0.018139903,2.7632103,True,1,-0.018139903,2.7632103,True,1.0
0.058,-0.021890404,2.7683046,True,1,-0.021890404,2.7683046,True,1.0
0.06,0.002121751,2.7592146,True,1,0.002121751,2.7592146,True,1.0
0.062,-0.011094949,2.7432792,True,1,-0.011094949,2.7432792,True,1.0
0.064,-0.009817231,2.739124,True,1,-0.009817231,2.739124,True,1.0
0.066,-0.018764175,2.7504778,True,1,-0.018764175,2.7504778,True,1.0
0.068,-0.035046816,2.7843451,True,1,-0.035046816,2.7843451,True,1.0
0.07,-0.013083483,2.7816079,True,1,-0.013083483,2.7816079,True,1.0
0.072,-0.01119316,2.7665815,True,1,-0.01119316,2.7665815,True,1.0
0.074,0.0020108987,2.7620783,True,1,0.0020108987,2.7620783,True,1.0
0.076,-0.012292932,2.7377229,True,1,-0.012292932,2.7377229,True,1.0
0.078,-0.038882885,2.7260475,True,1,-0.038882885,2.7260475,True,1.0
0.08,-0.04058748,2.7346637,True,1,-0.04058748,2.7346637,True,1.0
0.082,-0.033622265,2.7395422,True,1,-0.033622265,2.7395422,True,1.0
0.084,-0.005694305,2.7385223,True,1,-0.005694305,2.7385223,True,1.0
0.086,0.0110696675,2.7500062,True,1,0.0110696675,2.7500062,True,1.0
0.088,-0.021341976,2.7543042,True,1,-0.021341976,2.7543042,True,1.0
0.09,-0.021421712,2.7473166,True,1,-0.021421712,2.7473166,True,1.0
0.092,-0.017973624,2.7635894,True,1,-0.017973624,2.7635894,True,1.0
0.094,-0.003231246,2.7559485,True,1,-0.003231246,2.7559485,True,1.0
0.096,-0.0012679942,2.7689676,True,1,-0.0012679942,2.7689676,True,1.0
0.098,-0.001370095,2.7607248,True,1,-0.001370095,2.7607248,True,1.0
0.1,0.017779145,2.7649333,True,1,0.017779145,2.7649333,True,1.0
0.102,0.028734071,2.7705605,True,1,0.028734071,2.7705605,True,1.0
0.104,0.011909811,2.7884612,True,1,0.011909811,2.7884612,True,1.0
0.106,0.0011240807,2.782943,True,1,0.0011240807,2.782943,True,1.0
0.108,-0.0028996617,2.774627,True,1,-0.0028996617,2.774627,True,1.0
0.11,-0.028451106,2.787589,True,1,-0.028451106,2.787589,True,1.0
0.112,-0.043649532,2.7874606,True,1,-0.043649532,2.7874606,True,1.0
0.114,-0.033490993,2.789207,True,1,-0.033490993,2.789207,True,1.0
0.116,-0.009307699,2.7782812,True,1,-0.009307699,2.7782812,True,1.0
0.118,-0.007309442,2.787624,True,1,-0.007309442,2.787624,True,1.0
0.12,-0.024410833,2.7787685,True,1,-0.024410833,2.7787685,True,1.0
0.122,-0.011439174,2.7668362,True,1,-0.011439174,2.7668362,True,1.0
0.124,-0.06629159,2.754241,True,1,-0.06629159,2.754241,True,1.0
0.126,-0.080097556,2.7684708,True,1,-0.080097556,2.7684708,True,1.0
0.128,-0.06803411,2.7870152,True,1,-0.06803411,2.7870152,True,1.0
0.13,-0.06729802,2.80865,True,1,-0.06729802,2.80865,True,1.0
0.132,-0.07188671,2.8093317,True,1,-0.07188671,2.8093317,True,1.0
0.134,-0.09138018,2.8074841,True,1,-0.09138018,2.8074841,True,1.0
0.136,-0.1017293,2.8311267,True,1,-0.1017293,2.8311267,True,1.0
