t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,1.0577153,-0.2146119,True,1,1.0577153,-0.2146119,True,0.0
0.002,1.0678631,-0.2055016,True,1,1.0678631,-0.2055016,True,1.0
0.004,1.0664142,-0.18953207,True,1,1.0664142,-0.18953207,True,1.0
0.006,1.0363344,-0.17283228,True,1,1.0363344,-0.17283228,True,1.0
0.008,1.0479816,-0.20388646,True,1,1.0479816,-0.20388646,True,1.0
0.01,1.0113732,-0.20555314,True,1,1.0113732,-0.20555314,True,1.0
0.012,1.0294751,-0.21716054,True,1,1.0294751,-0.21716054,True,1.0
0.014,1.0494986,-0.2440179,True,1,1.0494986,-0.2440179,True,1.0
0.016,1.0423924,-0.276589,True,1,1.0423924,-0.276589,True,1.0
0.018,1.0386175,-0.2790929,True,1,1.0386175,-0.2790929,True,1.0
0.02,1.0787091,-0.25858232,True,1,1.0787091,-0.25858232,True,1.0
0.022,1.086179,-0.24538799,True,1,1.086179,-0.24538799,True,1.0
0.024,1.1175988,-0.20035572,True,1,1.1175988,-0.20035572,True,1.0
0.026,1.0597923,-0.23637396,True,1,1.0597923,-0.23637396,True,1.0
0.028,1.0513266,-0.2707547,True,1,1.0513266,-0.2707547,True,1.0
0.03,1.1129721,-0.28074986,True,1,1.1129721,-0.28074986,True,1.0
0.032,1.1087034,-0.29540375,True,1,1.1087034,-0.29540375,True,1.0
0.034,1.1631435,-0.26254967,True,1,1.1631435,-0.26254967,True,1.0
0.036,1.1854987,-0.23287822,True,1,1.1854987,-0.23287822,True,1.0
0.038,1.2005805,-0.22595482,True,1,1.2005805,-0.22595482,True,1.0
0.04,1.2067999,-0.23014483,True,1,1.2067999,-0.23014483,True,1.0
0.042,1.2002848,-0.2241452,True,1,1.2002848,-0.2241452,True,1.0
0.044,1.2064751,-0.22349857,True,1,1.2064751,-0.22349857,True,1.0
0.046,1.1904035,-0.22735992,True,1,1.1904035,-0.22735992,True,1.0
0.048,1.1769865,-0.23042877,True,1,1.1769865,-0.23042877,True,1.0
0.05,1.1030636,-0.23088677,True,1,1.1030636,-0.23088677,True,1.0
0.052,1.0875267,-0.174744,True,1,1.0875267,-0.174744,True,1.0
0.054,1.0778029,-0.22594509,True,1,1.0778029,-0.22594509,True,1.0
0.056,1.0731237,-0.1949969,True,1,1.0731237,-0.1949969,True,1.0
0.058,1.0852202,-0.2096119,True,1,1.0852202,-0.2096119,True,1.0
0.06,1.1032931,-0.22719753,True,1,1.1032931,-0.22719753,True,1.0
0.062,1.133684,-0.17819792,True,1,1.133684,-0.17819792,True,1.0
0.064,1.1433885,-0.21074374,True,1,1.1433885,-0.21074374,True,1.0
0.066,1.158161,-0.22940193,True,1,1.158161,-0.22940193,True,1.0
0.068,1.1420505,-0.23666762,True,1,1.1420505,-0.23666762,True,1.0
0.07,1.1312686,-0.23617657,True,1,1.1312686,-0.23617657,True,1.0
0.072,1.1336237,-0.22450207,True,1,1.1336237,-0.22450207,True,1.0
0.074,1.0963016,-0.23074383,True,1,1.0963016,-0.23074383,True,1.0
0.076,1.0363578,-0.2634258,True,1,1.0363578,-0.2634258,True,1.0
0.078,1.0238606,-0.28439826,True,1,1.0238606,-0.28439826,True,1.0
0.08,1.0860487,-0.29822075,True,1,1.0860487,-0.29822075,True,1.0
0.082,1.0924042,-0.33081618,True,1,1.0924042,-0.33081618,True,1.0
0.084,1.1031452,-0.31253627,True,1,1.1031452,-0.31253627,True,1.0
0.086,1.1010429,-0.2627986,True,1,1.1010429,-0.2627986,True,1.0
0.088,1.1103448,-0.27766836,True,1,1.1103448,-0.27766836,True,1.0
0.09,1.1307358,-0.2922075,True,1,1.1307358,-0.2922075,True,1.0
0.092,1.0788666,-0.3339492,True,1,1.0788666,-0.3339492,True,1.0
0.094,1.0299497,-0.36535347,True,1,1.0299497,-0.36535347,True,1.0
0.096,1.0285223,-0.29338703,True,1,1.0285223,-0.29338703,True,1.0
0.098,1.067581,-0.24703522,True,1,1.067581,-0.24703522,True,1.0
0.1,1.1019161,-0.28095698,True,1,1.1019161,-0.28095698,True,1.0
0.102,1.1254907,-0.2709871,True,1,1.1254907,-0.2709871,True,1.0
0.104,1.134604,-0.27806413,True,1,1.134604,-0.27806413,True,1.0
0.106,1.0963521,-0.28662893,True,1,1.0963521,-0.28662893,True,1.0
0.108,1.1192752,-0.2667718,True,1,1.1192752,-0.2667718,True,1.0
0.11,1.1193355,-0.25079545,True,1,1.1193355,-0.25079545,True,1.0
0.112,1.0839348,-0.2892602,True,1,1.0839348,-0.2892602,True,1.0
0.114,1.0402064,-0.3315367,True,1,1.0402064,-0.3315367,True,1.0
0.116,1.0118574,-0.29091132,True,1,1.0118574,-0.29091132,True,1.0
0.118,1.0089461,-0.2799914,True,1,1.0089461,-0.2799914,True,1.0
0.12,1.0202316,-0.27638188,True,1,1.0202316,-0.27638188,True,1.0
0.122,0.99232215,-0.27944395,True,1,0.99232215,-0.27944395,True,1.0
0.124,0.997857,-0.30989817,True,1,0.997857,-0.30989817,True,1.0
0.126,0.99331594,-0.30904442,True,1,0.99331594,-0.30904442,True,1.0
0.128,1.0198271,-0.31990308,True,1,1.0198271,-0.31990308,True,1.0
0.13,1.0434698,-0.32939845,True,1,1.0434698,-0.32939845,True,1.0
0.132,1.0556285,-0.31466872,True,1,1.0556285,-0.31466872,True,1.0
0.134,1.0607997,-0.29190218,True,1,1.0607997,-0.29190218,True,1.0
0.136,1.1000355,-0.2417114,True,1,1.1000355,-0.2417114,True,1.0
0.138,1.0832949,-0.28174752,True,1,1.0832949,-0.28174752,True,1.0
0.14,1.0835652,-0.28593367,True,1,1.0835652,-0.28593367,True,1.0
0.142,1.0714668,-0.32780275,True,1,1.0714668,-0.32780275,True,1.0
0.144,1.0664531,-0.34646192,True,1,1.0664531,-0.34646192,True,1.0
0.146,1.0519353,-0.32901922,True,1,1.0519353,-0.32901922,True,1.0
0.148,1.0653602,-0.2957256,True,1,1.0653602,-0.2957256,True,1.0
0.15,1.0938997,-0.27667457,True,1,1.0938997,-0.27667457,True,1.0
0.152,1.1140535,-0.2847775,True,1,1.1140535,-0.2847775,True,1.0
0.154,1.1295028,-0.28677866,True,1,1.1295028,-0.28677866,True,1.0
0.156,1.1114533,-0.33534458,True,1,1.1114533,-0.33534458,True,1.0
0.158,1.1330948,-0.3393207,True,1,1.1330948,-0.3393207,True,1.0
0.16,1.1400882,-0.26777238,True,1,1.1400882,-0.26777238,True,1.0
0.162,1.156784,-0.21104324,True,1,1.156784,-0.21104324,True,1.0
0.164,1.1590401,-0.22202247,True,1,1.1590401,-0.22202247,True,1.0
0.166,1.128684,-0.2357847,True,1,1.128684,-0.2357847,True,1.0
0.168,1.1289524,-0.25679216,True,1,1.1289524,-0.25679216,True,1.0
0.17,1.1414515,-0.27750015,True,1,1.1414515,-0.27750015,True,1.0
0.172,1.1221437,-0.25012645,True,1,1.1221437,-0.25012645,True,1.0
0.174,1.1205821,-0.2536251,True,1,1.1205821,-0.2536251,True,1.0
0.176,1.1077057,-0.26609012,True,1,1.1077057,-0.26609012,True,1.0
0.178,1.1137812,-0.24884191,True,1,1.1137812,-0.24884191,True,1.0
0.18,1.1479937,-0.2837069,True,1,1.1479937,-0.2837069,True,1.0
0.182,1.1657923,-0.28281423,True,1,1.1657923,-0.28281423,True,1.0
0.184,1.1812688,-0.2561708,True,1,1.1812688,-0.2561708,True,1.0
0.186,1.2020974,-0.2709871,True,1,1.2020974,-0.2709871,True,1.0
0.188,1.2134665,-0.29074892,True,1,1.2134665,-0.29074892,True,1.0
