t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,0.92523515,-0.6012208,True,1,0.92523515,-0.6012208,True,0.0
0.002,0.94423366,-0.612905,True,1,0.94423366,-0.612905,True,1.0
0.004,0.9625593,-0.61223894,True,1,0.9625593,-0.61223894,True,1.0
0.006,0.95042,-0.62052953,True,1,0.95042,-0.62052953,True,1.0
0.008,0.95927453,-0.6030499,True,1,0.95927453,-0.6030499,True,1.0
0.01,0.94085366,-0.60082215,True,1,0.94085366,-0.60082215,True,1.0
0.012,0.92914027,-0.5865251,True,1,0.92914027,-0.5865251,True,1.0
0.014,0.92339927,-0.56657267,True,1,0.92339927,-0.56657267,True,1.0
0.016,0.89555395,-0.52627885,True,1,0.89555395,-0.52627885,True,1.0
0.018,0.88761926,-0.46658295,True,1,0.88761926,-0.46658295,True,1.0
0.02,0.89590985,-0.4523015,True,1,0.89590985,-0.4523015,True,1.0
0.022,0.87738,-0.42574072,True,1,0.87738,-0.42574072,True,1.0
0.024,0.8594725,-0.3971496,True,1,0.8594725,-0.3971496,True,1.0
0.026,0.86780787,-0.40863252,True,1,0.86780787,-0.40863252,True,1.0
0.028,0.8650346,-0.40104985,True,1,0.8650346,-0.40104985,True,1.0
0.03,0.85294586,-0.35582018,True,1,0.85294586,-0.35582018,True,1.0
0.032,0.8595192,-0.3487966,True,1,0.8595192,-0.3487966,True,1.0
0.034,0.8557891,-0.34193057,True,1,0.8557891,-0.34193057,True,1.0
0.036,0.850406,-0.33754316,True,1,0.850406,-0.33754316,True,1.0
0.038,0.8533192,-0.33275416,True,1,0.8533192,-0.33275416,True,1.0
0.04,0.8588502,-0.32948208,True,1,0.8588502,-0.32948208,True,1.0
0.042,0.8661023,-0.3246036,True,1,0.8661023,-0.3246036,True,1.0
0.044,0.89371806,-0.31822765,True,1,0.89371806,-0.31822765,True,1.0
0.046,0.9114992,-0.32241768,True,1,0.9114992,-0.32241768,True,1.0
0.048,0.90992975,-0.3470891,True,1,0.90992975,-0.3470891,True,1.0
0.05,0.9199765,-0.34114975,True,1,0.9199765,-0.34114975,True,1.0
0.052,0.900696,-0.32807016,True,1,0.900696,-0.32807016,True,1.0
0.054,0.8993657,-0.33224365,True,1,0.8993657,-0.33224365,True,1.0
0.056,0.88876474,-0.35155916,True,1,0.88876474,-0.35155916,True,1.0
0.058,0.88838744,-0.34069467,True,1,0.88838744,-0.34069467,True,1.0
0.06,0.90481305,-0.37148342,True,1,0.90481305,-0.37148342,True,1.0
