t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,0.9535569,0.46391279,True,2,0.9535569,0.46391279,True,0.0
0.002,0.92156726,0.5129085,True,2,0.92156726,0.5129085,True,3.0
0.004,0.7585036,0.7008478,True,2,0.7585036,0.7008478,True,3.0
0.006,0.55830055,0.8647419,True,2,0.55830055,0.8647419,True,3.0
0.008,0.6423694,0.91619486,True,2,0.6423694,0.91619486,True,3.0
0.01,0.66214967,0.9272577,True,2,0.66214967,0.9272577,True,3.0
0.012,0.65492874,0.91820186,True,1,0.65492874,0.91820186,True,3.0
0.014,0.69310856,0.92914706,True,1,0.69310856,0.92914706,True,3.0
0.016,0.71629226,0.93142825,True,1,0.71629226,0.93142825,True,3.0
0.018,0.73240864,0.9386269,True,1,0.73240864,0.9386269,True,3.0
0.02,0.75212085,0.9376807,True,1,0.75212085,0.9376807,True,1.0
0.022,0.7297598,0.93808526,True,1,0.7297598,0.93808526,True,1.0
0.024,0.7248687,0.93302786,True,1,0.7248687,0.93302786,True,1.0
0.026,0.72664624,0.9283983,True,1,0.72664624,0.9283983,True,1.0
0.028,0.73929894,0.9304792,True,1,0.73929894,0.9304792,True,1.0
0.03,0.7623271,0.91950876,True,1,0.7623271,0.91950876,True,1.0
0.032,0.7601995,0.93317175,True,1,0.7601995,0.93317175,True,1.0
0.034,0.7540326,0.969295,True,1,0.7540326,0.969295,True,1.0
0.036,0.7284121,0.9773911,True,1,0.7284121,0.9773911,True,1.0
0.038,0.7203354,0.9907673,True,1,0.7203354,0.9907673,True,1.0
0.04,0.7238438,0.9923416,True,1,0.7238438,0.9923416,True,1.0
0.042,0.71813005,1.0027704,True,1,0.71813005,1.0027704,True,1.0
0.044,0.6980347,1.0132314,True,1,0.6980347,1.0132314,True,1.0
0.046,0.6879432,1.0024457,True,1,0.6879432,1.0024457,True,1.0
0.048,0.69262433,0.986447,True,1,0.69262433,0.986447,True,1.0
0.05,0.69366866,0.9971656,True,1,0.69366866,0.9971656,True,1.0
0.052,0.7080639,0.9851313,True,1,0.7080639,0.9851313,True,1.0
0.054,0.70583713,0.9692756,True,1,0.70583713,0.9692756,True,1.0
0.056,0.7152693,0.93810374,True,1,0.7152693,0.93810374,True,1.0
0.058,0.7139274,0.9416539,True,1,0.7139274,0.9416539,True,1.0
0.06,0.7344759,0.9480328,True,1,0.7344759,0.9480328,True,1.0
0.062,0.74120873,0.9490907,True,1,0.74120873,0.9490907,True,1.0
0.064,0.75045806,0.92644185,True,1,0.75045806,0.92644185,True,1.0
0.066,0.776485,0.9069766,True,1,0.776485,0.9069766,True,1.0
0.068,0.7834396,0.904323,True,1,0.7834396,0.904323,True,1.0
0.07,0.7894528,0.8959303,True,1,0.7894528,0.8959303,True,1.0
0.072,0.7879748,0.8957319,True,1,0.7879748,0.8957319,True,1.0
0.074,0.7826111,0.8890506,True,1,0.7826111,0.8890506,True,1.0
0.076,0.818218,0.85747135,True,1,0.818218,0.85747135,True,1.0
0.078,0.80490404,0.8384427,True,1,0.80490404,0.8384427,True,2.0
0.08,0.7866737,0.8633621,True,2,0.7866737,0.8633621,True,2.0
0.082,0.73788124,0.7176079,True,2,0.73788124,0.7176079,True,2.0
0.084,0.697107,-0.1286664,True,2,0.697107,-0.1286664,True,2.0
0.086,0.7744508,-1.4561523,True,2,0.7744508,-1.4561523,True,2.0
