t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,1.3203456,0.8948723,True,1,1.3203456,0.8948723,True,0
0.002,1.3388833,0.907385,True,1,1.3388833,0.907385,True,1
0.004,1.3562481,0.8992247,True,1,1.3562481,0.8992247,True,1
0.006,1.3826174,0.88998705,True,1,1.3826174,0.88998705,True,1
0.008,1.3879422,0.8964875,True,1,1.3879422,0.8964875,True,1
0.01,1.3787084,0.887066,True,1,1.3787084,0.887066,True,1
0.012,1.3608592,0.88762605,True,1,1.3608592,0.88762605,True,1
0.014,1.3515127,0.893333,True,1,1.3515127,0.893333,True,1
0.016,1.3670689,0.872275,True,1,1.3670689,0.872275,True,1
0.018,1.4125922,0.84455025,True,1,1.4125922,0.84455025,True,1
0.02,1.4690412,0.8428972,True,1,1.4690412,0.8428972,True,1
0.022,1.468452,0.8311838,True,1,1.468452,0.8311838,True,1
0.024,1.4707235,0.82186055,True,1,1.4707235,0.82186055,True,1
0.026,1.4833801,0.79763836,True,1,1.4833801,0.79763836,True,1
0.028,1.4959493,0.7843925,True,1,1.4959493,0.7843925,True,1
0.03,1.516982,0.75988346,True,1,1.516982,0.75988346,True,1
0.032,1.5283765,0.75687295,True,1,1.5283765,0.75687295,True,1
0.034,1.5288703,0.7525108,True,1,1.5288703,0.7525108,True,1
0.036,1.5356032,0.75728035,True,1,1.5356032,0.75728035,True,1
0.038,1.552338,0.7619673,True,1,1.552338,0.7619673,True,1
0.04,1.5550101,0.77059627,True,1,1.5550101,0.77059627,True,1
0.042,1.5507317,0.761238,True,1,1.5507317,0.761238,True,1
0.044,1.5475383,0.75602794,True,1,1.5475383,0.75602794,True,1
0.046,1.5574489,0.72677165,True,1,1.5574489,0.72677165,True,1
0.048,1.569028,0.72377574,True,1,1.569028,0.72377574,True,1
0.05,1.5672759,0.7300846,True,1,1.5672759,0.7300846,True,1
0.052,1.5619277,0.74259436,True,1,1.5619277,0.74259436,True,1
0.054,1.5513306,0.74951196,True,1,1.5513306,0.74951196,True,1
0.056,1.558363,0.741728,True,1,1.558363,0.741728,True,1
0.058,1.5712703,0.7371393,True,1,1.5712703,0.7371393,True,1
0.06,1.5638977,0.7393223,True,1,1.5638977,0.7393223,True,1
0.062,1.5584912,0.7126876,True,1,1.5584912,0.7126876,True,1
0.064,1.5598915,0.729368,True,1,1.5598915,0.729368,True,1
0.066,1.5495278,0.7163963,True,1,1.5495278,0.7163963,True,1
0.068,1.547797,0.7164634,True,1,1.547797,0.7164634,True,1
0.07,1.549168,0.6867764,True,1,1.549168,0.6867764,True,1
0.072,1.5342361,0.6889273,True,1,1.5342361,0.6889273,True,1
0.074,1.5183239,0.69082344,True,1,1.5183239,0.69082344,True,1
