t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.78451693,0.06936336,True,1,-0.78451693,0.06936336,True,0.0
0.002,-0.790679,0.046447095,True,1,-0.790679,0.046447095,True,1.0
0.004,-0.79543686,0.0366814,True,1,-0.79543686,0.0366814,True,1.0
0.006,-0.7797435,0.029829953,True,1,-0.7797435,0.029829953,True,1.0
0.008,-0.774831,0.037082024,True,1,-0.774831,0.037082024,True,1.0
0.01,-0.7692096,0.050493203,True,1,-0.7692096,0.050493203,True,1.0
0.012,-0.7602471,0.039921395,True,1,-0.7602471,0.039921395,True,1.0
0.014,-0.7696404,0.050742134,True,1,-0.7696404,0.050742134,True,1.0
0.016,-0.7711758,0.047625627,True,1,-0.7711758,0.047625627,True,1.0
0.018,-0.76846087,0.061170995,True,1,-0.76846087,0.061170995,True,1.0
0.02,-0.77470946,0.05268302,True,1,-0.77470946,0.05268302,True,1.0
0.022,-0.76548827,0.05963851,True,1,-0.76548827,0.05963851,True,1.0
0.024,-0.74551934,0.069044426,True,1,-0.74551934,0.069044426,True,1.0
0.026,-0.7283226,0.07196645,True,1,-0.7283226,0.07196645,True,1.0
0.028,-0.7145196,0.055291936,True,1,-0.7145196,0.055291936,True,1.0
0.03,-0.7336951,0.042993173,True,1,-0.7336951,0.042993173,True,1.0
0.032,-0.7234004,0.004773454,True,1,-0.7234004,0.004773454,True,1.0
0.034,-0.7390578,-0.012480603,True,1,-0.7390578,-0.012480603,True,1.0
0.036,-0.7426323,0.0028043676,True,1,-0.7426323,0.0028043676,True,1.0
0.038,-0.7151954,0.012073171,True,1,-0.7151954,0.012073171,True,1.0
0.04,-0.6826087,0.015510564,True,1,-0.6826087,0.015510564,True,1.0
0.042,-0.672597,0.05760233,True,1,-0.672597,0.05760233,True,1.0
0.044,-0.6890644,0.058268417,True,1,-0.6890644,0.058268417,True,1.0
0.046,-0.702603,0.06251289,True,1,-0.702603,0.06251289,True,1.0
0.048,-0.7085005,0.06364086,True,1,-0.7085005,0.06364086,True,1.0
0.05,-0.69254655,0.009405911,True,1,-0.69254655,0.009405911,True,1.0
0.052,-0.6828353,0.0016277778,True,1,-0.6828353,0.0016277778,True,1.0
0.054,-0.69558036,0.0015966614,True,1,-0.69558036,0.0015966614,True,1.0
0.056,-0.7112854,-0.0039605373,True,1,-0.7112854,-0.0039605373,True,1.0
