t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,0.060556445,0.6240632,True,1,0.060556445,0.6240632,True,0.0
0.002,0.07972805,0.6076026,True,1,0.07972805,0.6076026,True,1.0
0.004,0.093611814,0.61144257,True,1,0.093611814,0.61144257,True,1.0
0.006,0.09339983,0.6266604,True,1,0.09339983,0.6266604,True,1.0
0.008,0.097567484,0.654569,True,1,0.097567484,0.654569,True,1.0
0.01,0.079652205,0.68291503,True,1,0.079652205,0.68291503,True,1.0
0.012,0.08406879,0.7164002,True,1,0.08406879,0.7164002,True,1.0
0.014,0.09410189,0.75007594,True,1,0.09410189,0.75007594,True,1.0
0.016,0.09736134,0.75925624,True,1,0.09736134,0.75925624,True,1.0
0.018,0.08997897,0.7412146,True,1,0.08997897,0.7412146,True,1.0
0.02,0.084148526,0.7382099,True,1,0.084148526,0.7382099,True,1.0
0.022,0.07788052,0.69884276,True,1,0.07788052,0.69884276,True,1.0
0.024,0.07330835,0.67517483,True,1,0.07330835,0.67517483,True,1.0
0.026,0.06340554,0.6633632,True,1,0.06340554,0.6633632,True,1.0
0.028,0.074304074,0.64042556,True,1,0.074304074,0.64042556,True,1.0
0.03,0.0869704,0.66017085,True,1,0.0869704,0.66017085,True,1.0
0.032,0.09310422,0.6843901,True,1,0.09310422,0.6843901,True,1.0
0.034,0.104068875,0.73257005,True,1,0.104068875,0.73257005,True,1.0
0.036,0.10308482,0.7658899,True,1,0.10308482,0.7658899,True,1.0
0.038,0.09437222,0.78380615,True,1,0.09437222,0.78380615,True,1.0
0.04,0.08152892,0.7727277,True,1,0.08152892,0.7727277,True,1.0
0.042,0.08107578,0.7495791,True,1,0.08107578,0.7495791,True,1.0
0.044,0.07142775,0.7322744,True,1,0.07142775,0.7322744,True,1.0
0.046,0.07091822,0.7170721,True,1,0.07091822,0.7170721,True,1.0
0.048,0.07297579,0.71050555,True,1,0.07297579,0.71050555,True,1.0
0.05,0.06577817,0.72935826,True,1,0.06577817,0.72935826,True,1.0
0.052,0.078693435,0.7374835,True,1,0.078693435,0.7374835,True,1.0
0.054,0.09395215,0.7558305,True,1,0.09395215,0.7558305,True,1.0
0.056,0.105062656,0.7499962,True,1,0.105062656,0.7499962,True,1.0
0.058,0.06353196,0.7407595,True,1,0.06353196,0.7407595,True,1.0
0.06,0.053870305,0.74222195,True,1,0.053870305,0.74222195,True,1.0
0.062,0.052742336,0.7313536,True,1,0.052742336,0.7313536,True,1.0
0.064,0.050054654,0.7221382,True,1,0.050054654,0.7221382,True,1.0
0.066,0.059183434,0.74479294,True,1,0.059183434,0.74479294,True,1.0
0.068,0.06559731,0.7638031,True,1,0.06559731,0.7638031,True,1.0
0.07,0.07905905,0.78303504,True,1,0.07905905,0.78303504,True,1.0
0.072,0.08573157,0.80440617,True,1,0.08573157,0.80440617,True,1.0
0.074,0.07721735,0.8117983,True,1,0.07721735,0.8117983,True,1.0
0.076,0.079014316,0.8049381,True,1,0.079014316,0.8049381,True,1.0
0.078,0.087059855,0.80157655,True,1,0.087059855,0.80157655,True,1.0
0.08,0.08018313,0.7759745,True,1,0.08018313,0.7759745,True,1.0
0.082,0.08882572,0.78357375,True,1,0.08882572,0.78357375,True,1.0
0.084,0.096112795,0.77464914,True,1,0.096112795,0.77464914,True,1.0
0.086,0.10984291,0.79427975,True,1,0.10984291,0.79427975,True,1.0
0.088,0.10730498,0.8023029,True,1,0.10730498,0.8023029,True,1.0
0.09,0.103211224,0.78631103,True,1,0.103211224,0.78631103,True,1.0
0.092,0.112987615,0.7841727,True,1,0.112987615,0.7841727,True,1.0
0.094,0.12574536,0.7924798,True,1,0.12574536,0.7924798,True,1.0
0.096,0.12825994,0.7830671,True,1,0.12825994,0.7830671,True,1.0
0.098,0.13593209,0.7812925,True,1,0.13593209,0.7812925,True,1.0
0.1,0.14711261,0.7819265,True,1,0.14711261,0.7819265,True,1.0
0.102,0.14811029,0.79759365,True,1,0.14811029,0.79759365,True,1.0
0.104,0.15309669,0.7900965,True,1,0.15309669,0.7900965,True,1.0
0.106,0.15996563,0.78454614,True,1,0.15996563,0.78454614,True,1.0
0.108,0.15285164,0.76882166,True,1,0.15285164,0.76882166,True,1.0
0.11,0.16449696,0.7816202,True,1,0.16449696,0.7816202,True,1.0
0.112,0.14610521,0.782121,True,1,0.14610521,0.782121,True,1.0
0.114,0.15814728,0.7937673,True,1,0.15814728,0.7937673,True,1.0
0.116,0.16119279,0.7920082,True,1,0.16119279,0.7920082,True,1.0
0.118,0.16805007,0.7817865,True,1,0.16805007,0.7817865,True,1.0
0.12,0.22438052,0.7825508,True,1,0.22438052,0.7825508,True,1.0
0.122,0.22992508,0.77240294,True,1,0.22992508,0.77240294,True,1.0
0.124,0.24032184,0.775605,True,1,0.24032184,0.775605,True,1.0
0.126,0.25137207,0.7922124,True,1,0.25137207,0.7922124,True,1.0
0.128,0.24585085,0.8106061,True,1,0.24585085,0.8106061,True,1.0
0.13,0.2465918,0.8186079,True,1,0.2465918,0.8186079,True,1.0
0.132,0.26034722,0.785537,True,1,0.26034722,0.785537,True,1.0
0.134,0.26650047,0.761238,True,1,0.26650047,0.761238,True,1.0
0.136,0.27917653,0.764724,True,1,0.27917653,0.764724,True,1.0
0.138,0.28729793,0.780254,True,1,0.28729793,0.780254,True,1.0
0.14,0.30425832,0.7987634,True,1,0.30425832,0.7987634,True,1.0
0.142,0.3025119,0.79149187,True,1,0.3025119,0.79149187,True,1.0
0.144,0.31835407,0.7986837,True,1,0.31835407,0.7986837,True,1.0
0.146,0.30937502,0.7791095,True,1,0.30937502,0.7791095,True,1.0
0.148,0.31737,0.755356,True,1,0.31737,0.755356,True,1.0
0.15,0.32023466,0.74760705,True,1,0.32023466,0.74760705,True,1.0
0.152,0.3464969,0.7666668,True,1,0.3464969,0.7666668,True,1.0
0.154,0.35168946,0.79071105,True,1,0.35168946,0.79071105,True,1.0
0.156,0.3774461,0.8206431,True,1,0.3774461,0.8206431,True,1.0
0.158,0.3798887,0.8132228,True,1,0.3798887,0.8132228,True,1.0
0.16,0.38670516,0.8231451,True,1,0.38670516,0.8231451,True,1.0
0.162,0.38980514,0.8093702,True,1,0.38980514,0.8093702,True,1.0
0.164,0.35646972,0.8044091,True,1,0.35646972,0.8044091,True,1.0
0.166,0.37382296,0.7894207,True,1,0.37382296,0.7894207,True,1.0
0.168,0.3747059,0.76327413,True,1,0.3747059,0.76327413,True,1.0
0.17,0.36476615,0.75496995,True,1,0.36476615,0.75496995,True,1.0
0.172,0.38468453,0.7516599,True,1,0.38468453,0.7516599,True,1.0
0.174,0.38406417,0.75318563,True,1,0.38406417,0.75318563,True,1.0
0.176,0.36789918,0.73030823,True,1,0.36789918,0.73030823,True,1.0
0.178,0.3750229,0.7342085,True,1,0.3750229,0.7342085,True,1.0
0.18,0.37506568,0.71821564,True,1,0.37506568,0.71821564,True,1.0
0.182,0.38154957,0.7135317,True,1,0.38154957,0.7135317,True,1.0
0.184,0.37497234,0.7094311,True,1,0.37497234,0.7094311,True,1.0
0.186,0.36845344,0.7165781,True,1,0.36845344,0.7165781,True,1.0
0.188,0.38394943,0.7118047,True,1,0.38394943,0.7118047,True,1.0
0.19,0.40523693,0.7376751,True,2,0.40523693,0.7376751,True,2.0
0.192,0.3926212,0.8109474,True,2,0.3926212,0.8109474,True,2.0
0.194,0.3598225,1.0098407,True,2,0.3598225,1.0098407,True,2.0
0.196,0.29652783,1.1244911,True,2,0.29652783,1.1244911,True,2.0
0.198,0.26532584,1.2163079,True,2,0.26532584,1.2163079,True,2.0
0.2,0.20461576,1.5450917,True,2,0.20461576,1.5450917,True,2.0
0.202,0.080097556,2.188483,True,2,0.080097556,2.188483,True,2.0
0.204,0.07716289,2.5532093,True,2,0.07716289,2.5532093,True,2.0
0.206,0.057542045,2.7590873,True,2,0.057542045,2.7590873,True,2.0
0.208,0.070673175,2.8988194,True,2,0.070673175,2.8988194,True,3.0
0.21,0.14177614,2.9286087,True,2,0.14177614,2.9286087,True,3.0
0.212,0.19344886,2.982483,True,2,0.19344886,2.982483,True,3.0
