t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.24493875,0.34184405,True,1,-0.24493875,0.34184405,True,0
0.002,-0.2249795,0.32917285,True,1,-0.2249795,0.32917285,True,1
0.004,-0.21532856,0.30503333,True,1,-0.21532856,0.30503333,True,1
0.006,-0.22700305,0.28439242,True,1,-0.22700305,0.28439242,True,1
0.008,-0.25435147,0.26398394,True,1,-0.25435147,0.26398394,True,1
0.01,-0.30520543,0.228026,True,1,-0.30520543,0.228026,True,1
0.012,-0.33904648,0.20528184,True,1,-0.33904648,0.20528184,True,1
0.014,-0.32939553,0.19075242,True,1,-0.32939553,0.19075242,True,1
0.016,-0.32157946,0.17524089,True,1,-0.32157946,0.17524089,True,1
0.018,-0.33551282,0.1749832,True,1,-0.33551282,0.1749832,True,1
0.02,-0.36762205,0.19659647,True,1,-0.36762205,0.19659647,True,1
0.022,-0.3801503,0.23102096,True,1,-0.3801503,0.23102096,True,1
0.024,-0.32846203,0.2318397,True,1,-0.32846203,0.2318397,True,1
0.026,-0.2494059,0.2161473,True,1,-0.2494059,0.2161473,True,1
0.028,-0.22988327,0.23797645,True,1,-0.22988327,0.23797645,True,1
0.03,-0.22984242,0.26681262,True,1,-0.22984242,0.26681262,True,1
0.032,-0.29720753,0.32906395,True,1,-0.29720753,0.32906395,True,1
0.034,-0.3504312,0.35650474,True,1,-0.3504312,0.35650474,True,1
0.036,-0.34211534,0.34677017,True,1,-0.34211534,0.34677017,True,1
0.038,-0.33314604,0.31038922,True,1,-0.33314604,0.31038922,True,1
0.04,-0.3253679,0.28146067,True,1,-0.3253679,0.28146067,True,1
0.042,-0.34774837,0.27529475,True,1,-0.34774837,0.27529475,True,1
0.044,-0.35382873,0.30819064,True,1,-0.35382873,0.30819064,True,1
0.046,-0.30965313,0.2800235,True,1,-0.30965313,0.2800235,True,1
0.048,-0.2500146,0.29511398,True,1,-0.2500146,0.29511398,True,1
0.05,-0.17215744,0.31098822,True,1,-0.17215744,0.31098822,True,1
