t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.2730291,-0.17594878,True,1,-0.2730291,-0.17594878,True,0.0
0.002,-0.265848,-0.17512031,True,1,-0.265848,-0.17512031,True,1.0
0.004,-0.26686415,-0.19116665,True,1,-0.26686415,-0.19116665,True,1.0
0.006,-0.27792993,-0.1746166,True,1,-0.27792993,-0.1746166,True,1.0
0.008,-0.2990677,-0.15008812,True,1,-0.2990677,-0.15008812,True,1.0
0.01,-0.2796822,-0.16138045,True,1,-0.2796822,-0.16138045,True,1.0
0.012,-0.28441772,-0.14614022,True,1,-0.28441772,-0.14614022,True,1.0
0.014,-0.28050774,-0.15099633,True,1,-0.28050774,-0.15099633,True,1.0
0.016,-0.23498441,-0.15548001,True,1,-0.23498441,-0.15548001,True,1.0
0.018,-0.195873,-0.15116844,True,1,-0.195873,-0.15116844,True,1.0
0.02,-0.18297137,-0.16325134,True,1,-0.18297137,-0.16325134,True,1.0
0.022,-0.15206109,-0.14353421,True,1,-0.15206109,-0.14353421,True,1.0
0.024,-0.12980118,-0.12790892,True,1,-0.12980118,-0.12790892,True,1.0
0.026,-0.11011324,-0.11094755,True,1,-0.11011324,-0.11094755,True,1.0
0.028,-0.07622357,-0.105212405,True,1,-0.07622357,-0.105212405,True,1.0
0.03,-0.053482324,-0.12521929,True,1,-0.053482324,-0.12521929,True,1.0
0.032,-0.042311527,-0.12493535,True,1,-0.042311527,-0.12493535,True,1.0
0.034,-0.02126224,-0.12548961,True,1,-0.02126224,-0.12548961,True,1.0
0.036,-0.033163298,-0.10455604,True,1,-0.033163298,-0.10455604,True,1.0
0.038,-0.041992582,-0.08159212,True,1,-0.041992582,-0.08159212,True,1.0
0.04,-0.010528047,-0.09476409,True,1,-0.010528047,-0.09476409,True,1.0
0.042,0.011725057,-0.10430711,True,1,0.011725057,-0.10430711,True,1.0
0.044,0.021542288,-0.10070344,True,1,0.021542288,-0.10070344,True,1.0
0.046,0.014685007,-0.118980445,True,1,0.014685007,-0.118980445,True,1.0
0.048,0.012376557,-0.073833436,True,1,0.012376557,-0.073833436,True,1.0
0.05,0.01655977,-0.0664287,True,1,0.01655977,-0.0664287,True,1.0
0.052,0.0014877539,-0.0822864,True,1,0.0014877539,-0.0822864,True,1.0
0.054,-0.011948706,-0.0608997,True,1,-0.011948706,-0.0608997,True,1.0
0.056,-0.0025680773,-0.07510143,True,1,-0.0025680773,-0.07510143,True,1.0
0.058,0.01608719,-0.044337984,True,1,0.01608719,-0.044337984,True,1.0
0.06,0.005879059,-0.07963567,True,1,0.005879059,-0.07963567,True,1.0
0.062,-0.0062894067,-0.095471986,True,1,-0.0062894067,-0.095471986,True,1.0
0.064,-0.017480623,-0.065328926,True,1,-0.017480623,-0.065328926,True,1.0
0.066,-0.056773856,-0.09096594,True,1,-0.056773856,-0.09096594,True,1.0
0.068,-0.07028033,-0.067527495,True,1,-0.07028033,-0.067527495,True,1.0
0.07,-0.091007754,-0.042416546,True,1,-0.091007754,-0.042416546,True,1.0
0.072,-0.1070862,-0.052867774,True,1,-0.1070862,-0.052867774,True,1.0
0.074,-0.11674006,-0.03698673,True,1,-0.11674006,-0.03698673,True,1.0
0.076,-0.13093887,-0.014928103,True,1,-0.13093887,-0.014928103,True,1.0
0.078,-0.15277483,-0.014982557,True,1,-0.15277483,-0.014982557,True,1.0
0.08,-0.15389307,-0.001988534,True,1,-0.15389307,-0.001988534,True,1.0
0.082,-0.15750355,0.007236513,True,1,-0.15750355,0.007236513,True,1.0
0.084,-0.15951055,-0.0096256705,True,1,-0.15951055,-0.0096256705,True,1.0
0.086,-0.17107323,0.0058848932,True,1,-0.17107323,0.0058848932,True,1.0
0.088,-0.17432684,0.017588558,True,1,-0.17432684,0.017588558,True,1.0
0.09,-0.18627554,0.04546887,True,1,-0.18627554,0.04546887,True,1.0
0.092,-0.20106946,0.08180605,True,1,-0.20106946,0.08180605,True,1.0
0.094,-0.17801705,0.091851786,True,1,-0.17801705,0.091851786,True,1.0
0.096,-0.16160703,0.09705212,True,1,-0.16160703,0.09705212,True,1.0
0.098,-0.1553711,0.0853329,True,1,-0.1553711,0.0853329,True,1.0
0.1,-0.13710381,0.103702284,True,1,-0.13710381,0.103702284,True,1.0
0.102,-0.13461256,0.11456094,True,1,-0.13461256,0.11456094,True,1.0
0.104,-0.098090634,0.10904556,True,1,-0.098090634,0.10904556,True,1.0
0.106,-0.068225674,0.12107108,True,1,-0.068225674,0.12107108,True,1.0
0.108,-0.031353686,0.1264902,True,1,-0.031353686,0.1264902,True,1.0
0.11,0.0071470533,0.14745295,True,1,0.0071470533,0.14745295,True,1.0
0.112,0.02091218,0.1809449,True,1,0.02091218,0.1809449,True,1.0
0.114,0.026765957,0.1874006,True,1,0.026765957,0.1874006,True,1.0
0.116,0.043948058,0.19906536,True,1,0.043948058,0.19906536,True,1.0
0.118,0.04173101,0.19952433,True,1,0.04173101,0.19952433,True,1.0
0.12,0.05514608,0.19542377,True,1,0.05514608,0.19542377,True,1.0
0.122,0.06980969,0.17863841,True,1,0.06980969,0.17863841,True,1.0
0.124,0.11073362,0.18551709,True,1,0.11073362,0.18551709,True,1.0
0.126,0.13174109,0.19628336,True,1,0.13174109,0.19628336,True,1.0
0.128,0.12849721,0.20146522,True,1,0.12849721,0.20146522,True,1.0
0.13,0.13278933,0.23013219,True,1,0.13278933,0.23013219,True,1.0
0.132,0.14350505,0.21407904,True,1,0.14350505,0.21407904,True,1.0
0.134,0.14569682,0.22008839,True,1,0.14569682,0.22008839,True,1.0
0.136,0.15149613,0.22506897,True,1,0.15149613,0.22506897,True,1.0
0.138,0.14654863,0.21468483,True,1,0.14654863,0.21468483,True,1.0
0.14,0.13698032,0.20362197,True,1,0.13698032,0.20362197,True,1.0
0.142,0.14254628,0.20944658,True,1,0.14254628,0.20944658,True,1.0
0.144,0.16497537,0.21451564,True,1,0.16497537,0.21451564,True,1.0
0.146,0.16149811,0.20536157,True,1,0.16149811,0.20536157,True,1.0
0.148,0.15616749,0.23925416,True,1,0.15616749,0.23925416,True,1.0
0.15,0.15439579,0.25478128,True,1,0.15439579,0.25478128,True,1.0
0.152,0.12973797,0.24187087,True,1,0.12973797,0.24187087,True,1.0
0.154,0.11278925,0.26291627,True,1,0.11278925,0.26291627,True,1.0
0.156,0.1099596,0.24905585,True,1,0.1099596,0.24905585,True,1.0
0.158,0.09435082,0.26306602,True,1,0.09435082,0.26306602,True,1.0
0.16,0.06676612,0.25330323,True,1,0.06676612,0.25330323,True,1.0
0.162,0.06319746,0.22896922,True,1,0.06319746,0.22896922,True,1.0
0.164,0.050311364,0.22672884,True,1,0.050311364,0.22672884,True,1.0
0.166,0.044974897,0.22157323,True,1,0.044974897,0.22157323,True,1.0
0.168,0.05275206,0.2335832,True,1,0.05275206,0.2335832,True,1.0
0.17,0.04065166,0.24314177,True,1,0.04065166,0.24314177,True,1.0
0.172,0.012926929,0.24196324,True,1,0.012926929,0.24196324,True,1.0
0.174,0.02135559,0.2520858,True,1,0.02135559,0.2520858,True,1.0
0.176,0.012403783,0.26124668,True,1,0.012403783,0.26124668,True,1.0
0.178,-0.012232644,0.24434267,True,1,-0.012232644,0.24434267,True,1.0
0.18,-0.021004558,0.23831095,True,1,-0.021004558,0.23831095,True,1.0
0.182,-0.029986506,0.21219261,True,1,-0.029986506,0.21219261,True,1.0
0.184,-0.0319624,0.20644481,True,1,-0.0319624,0.20644481,True,1.0
0.186,-0.040214084,0.19838664,True,1,-0.040214084,0.19838664,True,1.0
0.188,-0.07149484,0.2179822,True,1,-0.07149484,0.2179822,True,1.0
0.19,-0.065870546,0.23934655,True,1,-0.065870546,0.23934655,True,1.0
0.192,-0.058733217,0.25289872,True,1,-0.058733217,0.25289872,True,1.0
0.194,-0.06613893,0.25765273,True,1,-0.06613893,0.25765273,True,1.0
0.196,-0.068011746,0.2535259,True,1,-0.068011746,0.2535259,True,1.0
0.198,-0.09544282,0.24504766,True,1,-0.09544282,0.24504766,True,1.0
0.2,-0.098539874,0.24087319,True,1,-0.098539874,0.24087319,True,1.0
0.202,-0.10625383,0.21449716,True,1,-0.10625383,0.21449716,True,1.0
0.204,-0.11915256,0.19165382,True,1,-0.11915256,0.19165382,True,1.0
0.206,-0.119913936,0.17124923,True,1,-0.119913936,0.17124923,True,1.0
0.208,-0.12463974,0.15401754,True,1,-0.12463974,0.15401754,True,1.0
0.21,-0.12001896,0.16634548,True,1,-0.12001896,0.16634548,True,1.0
0.212,-0.12068213,0.15077074,True,1,-0.12068213,0.15077074,True,1.0
0.214,-0.11566947,0.17112768,True,1,-0.11566947,0.17112768,True,1.0
0.216,-0.08738852,0.18943678,True,1,-0.08738852,0.18943678,True,1.0
0.218,-0.08378388,0.15898742,True,1,-0.08378388,0.15898742,True,1.0
0.22,-0.110478856,0.14193173,True,1,-0.110478856,0.14193173,True,1.0
0.222,-0.13593501,0.12726131,True,1,-0.13593501,0.12726131,True,1.0
0.224,-0.17705439,0.11333768,True,1,-0.17705439,0.11333768,True,1.0
0.226,-0.19682498,0.13271056,True,1,-0.19682498,0.13271056,True,1.0
0.228,-0.22670063,0.14417113,True,1,-0.22670063,0.14417113,True,1.0
0.23,-0.21728791,0.12667203,True,1,-0.21728791,0.12667203,True,1.0
0.232,-0.19286153,0.12492952,True,1,-0.19286153,0.12492952,True,1.0
0.234,-0.1919436,0.101985045,True,1,-0.1919436,0.101985045,True,1.0
