t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.40487036,0.02664052,True,1,-0.40487036,0.02664052,True,0.0
0.002,-0.4019415,0.036667787,True,1,-0.4019415,0.036667787,True,1.0
0.004,-0.42400014,0.006006442,True,1,-0.42400014,0.006006442,True,1.0
0.006,-0.4551088,0.010042825,True,1,-0.4551088,0.010042825,True,1.0
0.008,-0.44743276,-0.0011211636,True,1,-0.44743276,-0.0011211636,True,1.0
0.01,-0.40798977,-0.0037855073,True,1,-0.40798977,-0.0037855073,True,1.0
0.012,-0.3700501,0.0326314,True,1,-0.3700501,0.0326314,True,1.0
0.014,-0.33910385,0.040364806,True,1,-0.33910385,0.040364806,True,1.0
0.016,-0.34390938,0.051882744,True,1,-0.34390938,0.051882744,True,1.0
0.018,-0.29858345,0.046574477,True,1,-0.29858345,0.046574477,True,1.0
0.02,-0.3015405,0.05007021,True,1,-0.3015405,0.05007021,True,1.0
0.022,-0.29795918,0.047657717,True,1,-0.29795918,0.047657717,True,1.0
0.024,-0.29928845,0.052348517,True,1,-0.29928845,0.052348517,True,1.0
0.026,-0.3212829,0.05713753,True,1,-0.3212829,0.05713753,True,1.0
0.028,-0.2870208,0.04125357,True,1,-0.2870208,0.04125357,True,1.0
0.03,-0.28512463,0.07326265,True,1,-0.28512463,0.07326265,True,1.0
0.032,-0.29667854,0.051121365,True,1,-0.29667854,0.051121365,True,1.0
0.034,-0.31986225,0.05320811,True,1,-0.31986225,0.05320811,True,1.0
0.036,-0.35684603,0.055269573,True,1,-0.35684603,0.055269573,True,1.0
0.038,-0.35359243,0.030588415,True,1,-0.35359243,0.030588415,True,1.0
0.04,-0.36332312,0.032481655,True,1,-0.36332312,0.032481655,True,1.0
0.042,-0.36233908,0.031191295,True,1,-0.36233908,0.031191295,True,1.0
0.044,-0.35615078,0.018885724,True,1,-0.35615078,0.018885724,True,1.0
0.046,-0.36718544,0.03449158,True,1,-0.36718544,0.03449158,True,1.0
0.048,-0.3719871,0.07286202,True,1,-0.3719871,0.07286202,True,1.0
0.05,-0.3876513,0.108042054,True,1,-0.3876513,0.108042054,True,1.0
0.052,-0.4168599,0.14486639,True,1,-0.4168599,0.14486639,True,1.0
0.054,-0.47962755,0.14405055,True,1,-0.47962755,0.14405055,True,1.0
0.056,-0.51032096,0.14172752,True,1,-0.51032096,0.14172752,True,1.0
0.058,-0.51450807,0.11215234,True,1,-0.51450807,0.11215234,True,1.0
0.06,-0.51984847,0.08849996,True,1,-0.51984847,0.08849996,True,1.0
0.062,-0.5374973,0.0836954,True,1,-0.5374973,0.0836954,True,1.0
0.064,-0.56151235,0.11046621,True,1,-0.56151235,0.11046621,True,1.0
0.066,-0.58695877,0.10640066,True,1,-0.58695877,0.10640066,True,1.0
0.068,-0.5964289,0.14229831,True,1,-0.5964289,0.14229831,True,1.0
0.07,-0.59213966,0.12333966,True,1,-0.59213966,0.12333966,True,1.0
0.072,-0.5754691,0.10784077,True,1,-0.5754691,0.10784077,True,1.0
0.074,-0.6093198,0.12174592,True,1,-0.6093198,0.12174592,True,1.0
0.076,-0.6353458,0.12568799,True,1,-0.6353458,0.12568799,True,1.0
0.078,-0.64190066,0.13829304,True,1,-0.64190066,0.13829304,True,1.0
0.08,-0.62590194,0.14367133,True,1,-0.62590194,0.14367133,True,1.0
0.082,-0.63741696,0.16541198,True,1,-0.63741696,0.16541198,True,1.0
0.084,-0.64577854,0.1282016,True,1,-0.64577854,0.1282016,True,1.0
0.086,-0.6556619,0.11341352,True,1,-0.6556619,0.11341352,True,1.0
0.088,-0.64450085,0.12818897,True,1,-0.64450085,0.12818897,True,1.0
0.09,-0.62817734,0.12792447,True,1,-0.62817734,0.12792447,True,1.0
0.092,-0.62964565,0.1274655,True,1,-0.62964565,0.1274655,True,1.0
0.094,-0.62187725,0.08655616,True,1,-0.62187725,0.08655616,True,1.0
0.096,-0.6424802,0.056910962,True,1,-0.6424802,0.056910962,True,1.0
0.098,-0.6661102,0.056528814,True,1,-0.6661102,0.056528814,True,1.0
0.1,-0.68954575,0.045232583,True,1,-0.68954575,0.045232583,True,1.0
0.102,-0.70778096,0.047396146,True,1,-0.70778096,0.047396146,True,1.0
0.104,-0.7134908,0.06289504,True,1,-0.7134908,0.06289504,True,1.0
0.106,-0.7138759,0.033026192,True,1,-0.7138759,0.033026192,True,1.0
0.108,-0.710524,0.03519656,True,1,-0.710524,0.03519656,True,1.0
0.11,-0.7190927,0.022173367,True,1,-0.7190927,0.022173367,True,1.0
0.112,-0.7269817,0.0048308247,True,1,-0.7269817,0.0048308247,True,1.0
0.114,-0.7081281,0.004225027,True,1,-0.7081281,0.004225027,True,1.0
0.116,-0.68894285,0.015462917,True,1,-0.68894285,0.015462917,True,1.0
0.118,-0.6748345,0.034306828,True,1,-0.6748345,0.034306828,True,1.0
0.12,-0.67131346,0.050312337,True,1,-0.67131346,0.050312337,True,1.0
0.122,-0.68190765,0.06483495,True,1,-0.68190765,0.06483495,True,1.0
0.124,-0.7050884,0.06427097,True,1,-0.7050884,0.06427097,True,1.0
0.126,-0.69566596,0.047615904,True,1,-0.69566596,0.047615904,True,1.0
0.128,-0.712216,0.041151468,True,1,-0.712216,0.041151468,True,1.0
0.13,-0.730882,0.061410204,True,1,-0.730882,0.061410204,True,1.0
0.132,-0.7397463,0.046080504,True,1,-0.7397463,0.046080504,True,1.0
0.134,-0.7083731,0.03710147,True,1,-0.7083731,0.03710147,True,1.0
0.136,-0.69752127,0.03767518,True,1,-0.69752127,0.03767518,True,1.0
0.138,-0.6895068,0.04563126,True,1,-0.6895068,0.04563126,True,1.0
0.14,-0.674818,0.058038935,True,1,-0.674818,0.058038935,True,1.0
0.142,-0.7005989,0.07919324,True,1,-0.7005989,0.07919324,True,1.0
0.144,-0.72877187,0.10020363,True,1,-0.72877187,0.10020363,True,1.0
0.146,-0.74736494,0.090284295,True,1,-0.74736494,0.090284295,True,1.0
0.148,-0.7581118,0.079199076,True,1,-0.7581118,0.079199076,True,1.0
0.15,-0.74288803,0.09145019,True,1,-0.74288803,0.09145019,True,1.0
0.152,-0.7373629,0.08620902,True,1,-0.7373629,0.08620902,True,1.0
0.154,-0.72153634,0.084622085,True,1,-0.72153634,0.084622085,True,1.0
0.156,-0.7126302,0.1052795,True,1,-0.7126302,0.1052795,True,1.0
0.158,-0.70419574,0.10924587,True,1,-0.70419574,0.10924587,True,1.0
0.16,-0.6977187,0.10709883,True,1,-0.6977187,0.10709883,True,1.0
0.162,-0.7104764,0.082545064,True,1,-0.7104764,0.082545064,True,1.0
0.164,-0.7182672,0.09772793,True,1,-0.7182672,0.09772793,True,1.0
0.166,-0.67825925,0.1241166,True,1,-0.67825925,0.1241166,True,1.0
0.168,-0.6342567,0.13754041,True,1,-0.6342567,0.13754041,True,1.0
0.17,-0.6281579,0.122090146,True,1,-0.6281579,0.122090146,True,1.0
0.172,-0.5946504,0.11438883,True,1,-0.5946504,0.11438883,True,1.0
0.174,-0.6039639,0.10119158,True,1,-0.6039639,0.10119158,True,1.0
0.176,-0.59176046,0.11053039,True,1,-0.59176046,0.11053039,True,1.0
0.178,-0.5690766,0.11809752,True,1,-0.5690766,0.11809752,True,1.0
0.18,-0.53444207,0.11709693,True,1,-0.53444207,0.11709693,True,1.0
0.182,-0.50622725,0.12641047,True,1,-0.50622725,0.12641047,True,1.0
0.184,-0.48269543,0.12849137,True,1,-0.48269543,0.12849137,True,1.0
0.186,-0.45856953,0.13232453,True,1,-0.45856953,0.13232453,True,1.0
0.188,-0.44521862,0.14304997,True,1,-0.44521862,0.14304997,True,1.0
0.19,-0.3978507,0.1275608,True,1,-0.3978507,0.1275608,True,1.0
0.192,-0.3716876,0.1437287,True,1,-0.3716876,0.1437287,True,1.0
0.194,-0.37361488,0.16589624,True,1,-0.37361488,0.16589624,True,1.0
0.196,-0.35801485,0.1592237,True,1,-0.35801485,0.1592237,True,1.0
0.198,-0.3467196,0.1558748,True,1,-0.3467196,0.1558748,True,1.0
0.2,-0.33757135,0.18897392,True,1,-0.33757135,0.18897392,True,1.0
0.202,-0.30814594,0.21430269,True,1,-0.30814594,0.21430269,True,1.0
0.204,-0.28848618,0.22071947,True,1,-0.28848618,0.22071947,True,1.0
0.206,-0.29209667,0.22506605,True,1,-0.29209667,0.22506605,True,1.0
0.208,-0.2813712,0.2347559,True,1,-0.2813712,0.2347559,True,1.0
0.21,-0.2779241,0.24369895,True,1,-0.2779241,0.24369895,True,1.0
0.212,-0.2730106,0.2665705,True,1,-0.2730106,0.2665705,True,1.0
0.214,-0.2550555,0.26885852,True,1,-0.2550555,0.26885852,True,1.0
0.216,-0.25236294,0.27438363,True,1,-0.25236294,0.27438363,True,1.0
0.218,-0.23182414,0.27166873,True,1,-0.23182414,0.27166873,True,1.0
0.22,-0.19732285,0.29204902,True,1,-0.19732285,0.29204902,True,1.0
0.222,-0.18747352,0.32190815,True,1,-0.18747352,0.32190815,True,1.0
0.224,-0.19189303,0.3193527,True,1,-0.19189303,0.3193527,True,1.0
0.226,-0.15810546,0.35349715,True,1,-0.15810546,0.35349715,True,1.0
0.228,-0.1558748,0.3555168,True,1,-0.1558748,0.3555168,True,1.0
0.23,-0.15913424,0.37042254,True,1,-0.15913424,0.37042254,True,1.0
0.232,-0.14386871,0.3704167,True,1,-0.14386871,0.3704167,True,1.0
0.234,-0.14669156,0.3801756,True,1,-0.14669156,0.3801756,True,1.0
0.236,-0.14806555,0.36217278,True,1,-0.14806555,0.36217278,True,1.0
0.238,-0.1631395,0.36956584,True,1,-0.1631395,0.36956584,True,1.0
0.24,-0.1646438,0.3487937,True,1,-0.1646438,0.3487937,True,1.0
0.242,-0.16986941,0.32762092,True,1,-0.16986941,0.32762092,True,1.0
0.244,-0.156079,0.34200352,True,1,-0.156079,0.34200352,True,1.0
0.246,-0.160622,0.35420698,True,1,-0.160622,0.35420698,True,1.0
0.248,-0.13911763,0.3751386,True,1,-0.13911763,0.3751386,True,1.0
0.25,-0.12399894,0.36548376,True,1,-0.12399894,0.36548376,True,1.0
0.252,-0.09177594,0.3581646,True,1,-0.09177594,0.3581646,True,1.0
0.254,-0.074556895,0.34420207,True,1,-0.074556895,0.34420207,True,1.0
0.256,-0.08335701,0.3408629,True,1,-0.08335701,0.3408629,True,1.0
0.258,-0.10267933,0.3445531,True,1,-0.10267933,0.3445531,True,1.0
0.26,-0.11507047,0.38080958,True,1,-0.11507047,0.38080958,True,1.0
0.262,-0.07895987,0.37589318,True,1,-0.07895987,0.37589318,True,1.0
0.264,-0.08352328,0.35466012,True,1,-0.08352328,0.35466012,True,1.0
0.266,-0.11948025,0.33588913,True,1,-0.11948025,0.33588913,True,1.0
0.268,-0.12086396,0.39139792,True,1,-0.12086396,0.39139792,True,1.0
0.27,-0.14057428,0.40446195,True,1,-0.14057428,0.40446195,True,1.0
0.272,-0.12988675,0.40272236,True,1,-0.12988675,0.40272236,True,1.0
0.274,-0.12167591,0.4103381,True,1,-0.12167591,0.4103381,True,1.0
0.276,-0.115756005,0.38501322,True,1,-0.115756005,0.38501322,True,1.0
0.278,-0.11048858,0.4083651,True,1,-0.11048858,0.4083651,True,1.0
0.28,-0.09975147,0.43304628,True,1,-0.09975147,0.43304628,True,1.0
0.282,-0.094477236,0.45192227,True,1,-0.094477236,0.45192227,True,1.0
0.284,-0.102580145,0.45798317,True,1,-0.102580145,0.45798317,True,1.0
0.286,-0.10393468,0.4358633,True,1,-0.10393468,0.4358633,True,1.0
0.288,-0.11688106,0.42855677,True,1,-0.11688106,0.42855677,True,1.0
0.29,-0.10690727,0.40771848,True,1,-0.10690727,0.40771848,True,1.0
0.292,-0.060530193,0.39549556,True,1,-0.060530193,0.39549556,True,1.0
0.294,-0.026867086,0.39650586,True,1,-0.026867086,0.39650586,True,1.0
0.296,-0.029282497,0.39962238,True,1,-0.029282497,0.39962238,True,1.0
0.298,-0.02889646,0.38423237,True,1,-0.02889646,0.38423237,True,1.0
0.3,-0.044153232,0.39476335,True,1,-0.044153232,0.39476335,True,1.0
0.302,-0.020360837,0.4215157,True,1,-0.020360837,0.4215157,True,1.0
0.304,0.014498308,0.44285378,True,1,0.014498308,0.44285378,True,2.0
0.306,0.0012427121,0.4451389,True,2,0.0012427121,0.4451389,True,2.0
0.308,-0.070848204,0.42310554,True,2,-0.070848204,0.42310554,True,2.0
0.31,-0.21282369,0.34212798,True,2,-0.21282369,0.34212798,True,2.0
0.312,-0.30914944,-0.28855327,True,2,-0.30914944,-0.28855327,True,2.0
0.314,-1.2511573,-1.0443264,True,2,-1.2511573,-1.0443264,True,2.0
0.316,-2.102208,-1.8329479,True,2,-2.102208,-1.8329479,True,2.0
0.318,-2.6410432,-2.117594,True,2,-2.6410432,-2.117594,True,2.0
0.32,-3.3222313,-2.5550413,True,2,-3.3222313,-2.5550413,True,2.0
0.322,-3.6386485,-2.5540214,True,2,-3.6386485,-2.5540214,True,2.0
0.324,-3.745964,-2.8163512,True,2,-3.745964,-2.8163512,True,2.0
