t,x,y,status,evt,x_pred,y_pred,status_pred,evt_pred
0.0,-0.41791785,-0.9791628,True,1,-0.41791785,-0.9791628,True,0.0
0.002,-0.4476078,-0.9467998,True,1,-0.4476078,-0.9467998,True,1.0
0.004,-0.47353554,-0.94976944,True,1,-0.47353554,-0.94976944,True,1.0
0.006,-0.49550763,-0.96568453,True,1,-0.49550763,-0.96568453,True,1.0
0.008,-0.49337325,-0.98412395,True,1,-0.49337325,-0.98412395,True,1.0
0.01,-0.4831194,-1.0010941,True,1,-0.4831194,-1.0010941,True,1.0
0.012,-0.46537527,-1.0055107,True,1,-0.46537527,-1.0055107,True,1.0
0.014,-0.4926945,-1.035854,True,1,-0.4926945,-1.035854,True,1.0
0.016,-0.5073834,-1.0375742,True,1,-0.5073834,-1.0375742,True,1.0
0.018,-0.5155145,-1.0403211,True,1,-0.5155145,-1.0403211,True,1.0
0.02,-0.513807,-1.0189345,True,1,-0.513807,-1.0189345,True,1.0
0.022,-0.5208967,-0.9861222,True,1,-0.5208967,-0.9861222,True,1.0
0.024,-0.5155466,-1.0048698,True,1,-0.5155466,-1.0048698,True,1.0
0.026,-0.5177928,-0.9502984,True,1,-0.5177928,-0.9502984,True,1.0
0.028,-0.5086329,-0.9629132,True,1,-0.5086329,-0.9629132,True,1.0
0.03,-0.5157732,-0.987396,True,1,-0.5157732,-0.987396,True,1.0
0.032,-0.54756343,-0.96113765,True,1,-0.54756343,-0.96113765,True,1.0
0.034,-0.5527628,-0.98289776,True,1,-0.5527628,-0.98289776,True,1.0
0.036,-0.565999,-1.0047901,True,1,-0.565999,-1.0047901,True,1.0
0.038,-0.56201315,-1.0543858,True,1,-0.56201315,-1.0543858,True,1.0
0.04,-0.53921455,-1.0841846,True,1,-0.53921455,-1.0841846,True,1.0
0.042,-0.51577026,-1.0704954,True,1,-0.51577026,-1.0704954,True,1.0
0.044,-0.49298137,-1.0904934,True,1,-0.49298137,-1.0904934,True,1.0
0.046,-0.54854167,-1.0836139,True,1,-0.54854167,-1.0836139,True,1.0
0.048,-0.58181876,-1.0339578,True,1,-0.58181876,-1.0339578,True,1.0
0.05,-0.58934504,-1.0411215,True,1,-0.58934504,-1.0411215,True,1.0
0.052,-0.6006948,-1.0246638,True,1,-0.6006948,-1.0246638,True,1.0
0.054,-0.5717088,-0.9959744,True,1,-0.5717088,-0.9959744,True,1.0
0.056,-0.5820356,-1.0051732,True,1,-0.5820356,-1.0051732,True,1.0
0.058,-0.6127232,-0.9910259,True,1,-0.6127232,-0.9910259,True,1.0
0.06,-0.59670603,-0.9940433,True,1,-0.59670603,-0.9940433,True,1.0
0.062,-0.5734961,-1.0081205,True,1,-0.5734961,-1.0081205,True,1.0
0.064,-0.5491494,-1.0212702,True,1,-0.5491494,-1.0212702,True,1.0
0.066,-0.52363396,-1.0654292,True,1,-0.52363396,-1.0654292,True,1.0
0.068,-0.54354167,-1.0266708,True,1,-0.54354167,-1.0266708,True,1.0
0.07,-0.5604612,-1.0012214,True,1,-0.5604612,-1.0012214,True,1.0
0.072,-0.61004037,-0.994441,True,1,-0.61004037,-0.994441,True,1.0
0.074,-0.5743732,-0.98858136,True,1,-0.5743732,-0.98858136,True,1.0
0.076,-0.51483285,-1.0105418,True,1,-0.51483285,-1.0105418,True,1.0
0.078,-0.49752533,-0.995426,True,1,-0.49752533,-0.995426,True,1.0
0.08,-0.47497177,-1.0121219,True,1,-0.47497177,-1.0121219,True,1.0
0.082,-0.4464137,-0.98714125,True,1,-0.4464137,-0.98714125,True,1.0
0.084,-0.46821368,-0.99828774,True,1,-0.46821368,-0.99828774,True,1.0
0.086,-0.47761083,-1.0016454,True,1,-0.47761083,-1.0016454,True,1.0
0.088,-0.47510594,-1.0058101,True,1,-0.47510594,-1.0058101,True,1.0
0.09,-0.512539,-0.99978817,True,1,-0.512539,-0.99978817,True,1.0
0.092,-0.52952856,-1.0016522,True,1,-0.52952856,-1.0016522,True,1.0
0.094,-0.5505419,-0.98776263,True,1,-0.5505419,-0.98776263,True,1.0
0.096,-0.5706956,-0.94584394,True,1,-0.5706956,-0.94584394,True,1.0
0.098,-0.57097566,-0.95150614,True,1,-0.57097566,-0.95150614,True,1.0
0.1,-0.5793051,-0.95813686,True,1,-0.5793051,-0.95813686,True,1.0
0.102,-0.5844666,-1.0099369,True,1,-0.5844666,-1.0099369,True,1.0
0.104,-0.56478155,-1.008914,True,1,-0.56478155,-1.008914,True,1.0
0.106,-0.5825811,-1.0129699,True,1,-0.5825811,-1.0129699,True,1.0
0.108,-0.59076667,-0.998351,True,1,-0.59076667,-0.998351,True,1.0
0.11,-0.5922097,-0.9854464,True,1,-0.5922097,-0.9854464,True,1.0
0.112,-0.597939,-0.97784036,True,1,-0.597939,-0.97784036,True,1.0
0.114,-0.60097575,-0.95655286,True,1,-0.60097575,-0.95655286,True,1.0
0.116,-0.61502093,-0.9655795,True,1,-0.61502093,-0.9655795,True,1.0
