S.no,Tiktoker name,Tiktok name,Folowers,Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
1,khaby.lame,Khabane lame,150.4M,19.7M,2.1M,13.3K,7.8K
2,daniel.labelle,Daniel LaBelle,27.4M,10.3M,1.5M,7.3K,26.1K
3,mrbeast,MrBeast,47.6M,18M,2M,12.1K,2.1K
4,tommyinnit,Tommy,11.8M,7.9M,2M,20.3K,11.8K
5,enhypen,enhypen,12.9M,5.7M,1.3M,33.7K,24.7K
6,lexibrookerivera,Lexi Rivera,24M,9.9M,1.5M,17.4K,3.1K
7,mollymaehague,Molly-Mae Hague,2.3M,6.7M,1.1M,17.9K,17.8K
8,mrizkybillar,Rizky Billar,6.1M,17.2M,921K,13.6K,3.3K
9,ytietofficial,Ytiet Official,3.4M,6.5M,760.5K,10.8K,39.3K
10,dreamwastakenwastaken,Dream,6.8M,9.1M,943.3K,17.9K,10K
11,txt.bighitent,TOMORROW X TOGETHER,18.3M,5.3M,1.5M,16.4K,10.3K
12,amauryguichon,Amaury Guichon,16.2M,10.5M,1.1M,5.4K,11K
13,larrayeeee,LARRAY,26.5M,10.7M,1.7M,6.5K,3.6K
14,miagillespiee,mia gillespie♡,1.3M,9.2M,1.4M,6.8K,6.3K
15,taylorswift,Taylor Swift,14.6M,5M,829K,23.5K,14.8K
16,flowerandbros,Flower & Bro's 🐕🐶,1.1M,4.3M,589.5K,5.7K,52K
17,bp_tiktok,blackpinkofficial,34.9M,6.8M,991.5K,7.6K,12.4K
18,iamferv,Fernanda,32.3M,8.8M,1.2M,6.9K,5.3K
19,mrdoodleofficial,Mr Doodle,2.1M,9M,722.6K,9.9K,9.8K
20,pudgywoke,Pudgywoke,13M,6.3M,1.1M,6.7K,10.4K
21,winnermaxyt,WinnerMax,5.8M,11.6M,863.5K,2.7K,9.1K
22,lyodrabeneran,Lyodra Ginting,2M,9.4M,1.1M,8.8K,2.5K
23,dhar.mann,Dhar Mann,14.7M,10.3M,1M,7.7K,2.7K
24,charlidamelio,charli d’amelio,147.8M,10.6M,941.4K,7.2K,2.9K
25,vibin.wit.tay,Tay,4.7M,4.1M,850.8K,4.9K,23.7K
26,lourdasprec,LOURD,10.3M,6.5M,1.2M,6.4K,5.9K
27,kimberly.loaiza,Kimberly Loaiza,68.4M,8.1M,946.9K,8.2K,4.3K
28,kyliejenner,Kylie Jenner,48.2M,9.9M,1M,6.2K,2.7K
29,leyla.tavas,leyla ✮,1.3M,4.6M,1.1M,5.5K,11.4K
30,stickyboy69,stickyboy69,9.1M,4.7M,1M,11.6K,5.8K
31,jasonderulo,Jason Derulo,55.5M,8.3M,412.2K,1.2K,23.6K
32,miakhalifa,Mia K.,35.9M,7M,1.1M,5.9K,3.8K
33,therock,The Rock,60.9M,8.7M,767.1K,5.1K,5.5K
34,esnyrrr,Esnyr,5.6M,7.9M,1.3M,2.9K,4.1K
35,ramonvitor,ramonvitor,9.9M,6.8M,1.5M,5.1K,1.6K
36,morimura,MoriMura🍕,8.8M,5.7M,702K,5.6K,11.4K
37,b.blek,b.blek,2.8M,8.4M,626.5K,5.2K,7.6K
38,thehealchef,Harry Heal,2.8M,6.7M,871.1K,5.1K,6.1K
39,rubentuestaok,Ruben Tuesta,23.4M,8.4M,1.1M,2.1K,5.2K
40,cedricgrolet,Cedric Grolet,2M,10.9M,805.3K,2.1K,4.8K
41,nilered,NileRed,10.5M,5.7M,1.2M,4.9K,3.5K
42,domelipa,domelipa,59.6M,6.9M,948.3K,5.8K,2.2K
43,fedez,fedez,5.8M,4.5M,768.4K,4.3K,9.6K
44,surthycooks,Surthycooks,13.7M,9.3M,953.4K,4.4K,1K
45,gordonramsayofficial,Gordon Ramsay,34.5M,6.9M,1M,2.6K,3.8K
46,emiliamernes,EMILIA,4.7M,8.1M,1.2M,2.1K,2.3K
47,jdiasss_,João Dias,8M,5.5M,897.8K,4.7K,3.3K
48,surya.manurung,SURYAMANURUNG,2.1M,11.2M,348.4K,4.6K,5.4K
49,mangprii,MangPrii🐊,17.2K,4.4M,449K,13K,6.2K
50,nicocaponecomedy,nicocapone.comedy,23.5M,8.3M,358K,1.9K,10.8K
51,dylanmulvaney,Dylan Mulvaney,8.2M,3.9M,804K,10.5K,1.5K
52,marktuan,Mark Tuan,2.5M,2.6M,786K,8.9K,9.2K
53,addisonre,Addison,88.8M,6.8M,403.9K,2.4K,10.9K
54,supermassivemusic,SUPERMASSIVE,1.8M,5.3M,461.4K,2.3K,12.5K
55,josh.zilberberg,Josh Zilberberg,2.6M,3.2M,385.5K,1.6K,27.8K
56,siscakohl,Sisca Kohl,12.7M,8.3M,849.4K,3.3K,1.7K
57,thekidke_,KEMANI,5M,2.7M,533.7K,6.4K,17.7K
58,billlnai,nai,8.8M,4.3M,913.4K,4.5K,3.3K
59,dexrated,Dexter Mayfield,813.5K,5.2M,276.7K,5.7K,15.2K
60,kallmekris,Kris HC,46.8M,4.5M,640.6K,4.7K,5.3K
61,iamdtg,DTG,2.5M,4.5M,563.6K,2.9K,8.3K
62,itspuffpuff,Puff Puff,3.9M,3.5M,168K,1.6K,46.7K
63,ericdamier,ericdamier,1.2M,11.8M,203.3K,5.5K,6.2K
64,dannero,Dannero,6.8M,5.2M,690.8K,3K,4.6K
65,pongamoslo_a_prueba,Pongámoslo a Prueba,37.3M,7.7M,1M,1.4K,2.1K
66,conangray,conangray,6.6M,3.4M,748.9K,5.1K,5.5K
67,spriteder_spd,Prite Netijen Netirattanapaiboon,4.6M,8.3M,958.4K,2.2K,1.1K
68,adrianbliss,Adrian Bliss,7.5M,4.4M,738.2K,2.5K,5.2K
69,rayssabuq,Rayssa Buq,7.5M,4.6M,749.2K,5.5K,1.6K
70,hotspanishmx,HotSpanish,3.8M,7.3M,592.1K,3.1K,2.3K
71,thallyssonsb,Thallysson Borges,11.1M,3.9M,525.3K,4.6K,6.6K
72,ayesebastien,Sebastien,7.9M,4M,906.4K,2.1K,4.1K
73,karljacobs,Karl,11.3M,3.4M,830.3K,4.1K,3.8K
74,druski,DRUSKI,4M,3M,616.8K,2.4K,9.5K
75,calebwsimpson,CALEB SIMPSON,5M,5.7M,707K,2.6K,2.6K
76,rauwalejandro,rauwalejandro,11.5M,13.8M,514.5K,1.7K,1.3K
77,monicc249,monicca249,259.3K,4.5M,432.5K,1.4K,9.2K
78,vive.mexico,México,4.6M,2.6M,284.4K,2K,25.2K
79,bmbsh7,بمبش السيد♦️bimbsh♦️,5M,4.1M,393.5K,5.3K,7.2K
80,jennmelon,Jenn Melon,2.2M,2.6M,634.6K,3.8K,8.5K
81,shxtsngigs,ShxtsNGigs Podcast,5.3M,3.1M,673.5K,1.6K,7.8K
82,saramohannad_,Sara,8.5M,3.1M,285.5K,5.9K,16.1K
83,davidyrodriguez,That French Guy,8.3M,3.9M,854.1K,2.2K,3.5K
84,straykids_japan,straykids_japan,8.3M,2M,564.4K,8.6K,7.5K
85,paralympics,paralympics,2.6M,5.8M,563.8K,1.2K,3.8K
86,nicoletv,Kayla Nicole,11M,2.7M,634.2K,5.2K,4.4K
87,olisboa,LISBOA,3.7M,4.1M,720K,2.5K,3.1K
88,luvadepedreiro,Iran Ferreira (Lai),20M,5.8M,608.7K,3.8K,834
89,frankielapenna,Frankie LaPenna,5.2M,10.8M,405.4K,1.4K,2.3K
90,worksbykeyes,Works By Keyes,875.6K,6.8M,491.6K,2K,2.8K
91,alexojeda,Alex Ojeda 🇲🇽,8.2M,3M,423.3K,2.6K,9.8K
92,jypestraykids,Stray Kids,14.2M,1.9M,553.9K,8.2K,6.5K
93,nianaguerrero,Niana Guerrero,33.6M,5.4M,744.8K,2.2K,1.6K
94,oscar_mezar,Oscar Meza,6.2M,4M,518.7K,1.9K,5.1K
95,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4.2M,3.6M,356.2K,4.4K,6.9K
96,christian,Christian Del Grosso,4.6M,2.3M,379.4K,2.3K,14.2K
97,rish_art,Rish_art,2.8M,5.2M,382.4K,2.6K,4.6K
98,fadiljaidi,Fadil Jaidi,8.8M,5.5M,686.5K,2.2K,1.4K
99,duythamchannel,Duy Thẩm,5.2M,7.4M,678.4K,2.1K,652
100,championsleague,Champions League,17.2M,4.5M,641K,2.5K,2.2K
101,anaraquelhz,Raquel,5.3M,3.2M,316.4K,2.1K,11K
102,imeyhou,Meyden,4.1M,5.5M,469.8K,4.1K,987
103,m7_x4,محمد شايف,2.4M,4.2M,364.8K,4.3K,4K
104,brentrivera,Brent Rivera,45.4M,4.5M,582.1K,2.4K,2.4K
105,priscillamaass,Priscilla Maass,411.9K,3.5M,540.9K,1.8K,4.7K
106,dojacat,Doja Cat,26M,3.8M,457.7K,5.1K,2K
107,jacksepticeye,Jacksepticeye,5M,2.3M,545.7K,6.1K,3.5K
108,mandoka__,Mandoka,2.2M,3.5M,687K,607,4.4K
109,initiaraandini,tiara andini,5.2M,4.7M,684.1K,2.9K,769
110,jindaouis,Louisa Jindaoui,2.2M,4.4M,567K,2.1K,2.6K
111,itsmacdoogle,ItsMacDoogle,1.9M,4.6M,379.6K,2.3K,4.3K
112,iamcardib,Cardi B,18.4M,2.6M,541.7K,4.6K,3.1K
113,stinkyturtletoes,Leah & Myrtle,697K,2.2M,427K,3K,8.3K
114,pitijustpretty,Piti,3.2M,4.8M,827.1K,1.7K,1K
115,abo.zizo,۩♥۩ عائلة ابو زيزو ۩♥۩,5.4M,6.2M,368.2K,1.4K,3.2K
116,blog_ribolova1,Блог Рыболова,65K,4M,120.7K,1.6K,19.9K
117,zachking,Zach King,70M,7.3M,563.8K,1.3K,1.2K
118,jairsanchezzz,Jair Sanchez,7.2M,2.3M,398.6K,2.4K,8.8K
119,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2.2M,2.8M,364.9K,4.7K,5.2K
120,adamrayokay,ADAMRAY,7M,3.1M,543.8K,1.5K,4.5K
121,alexwaarren,Alex warren,15.6M,5.1M,820.8K,1.3K,1K
122,soysuco,soysuco,13.1M,3.9M,424.3K,5K,987
123,brookemonk_,Brooke Monk,24.5M,5.1M,655K,2K,884
124,keeganevansphoto,Keegan Evans,1M,4.9M,557.1K,1.8K,1.8K
125,thefrdishow,The FRDi Show,2M,3M,340.2K,7.2K,2.2K
126,wuesilva,Wue Silva,13.4M,3.2M,430.5K,3.3K,3.6K
127,jaxwritessongs,Jax,12.1M,2.9M,395.7K,5.2K,3.1K
128,naimdarrechi,Naim Darrechi🏆,28.2M,3.6M,415K,1.2K,5.2K
129,strangehuman,nova,10.8M,4.6M,560.8K,2.1K,1.6K
130,trainee_a,Trainee A,3.7M,2.8M,491.2K,2.7K,4.2K
131,spencer_serafica,Xspencer,13.8M,4.1M,687K,2.2K,1.2K
132,sonrixs_,Sonrixs,14.5M,6.9M,793.1K,1K,679
133,emillyvickof,Emilly Vick,12.8M,6.3M,472.4K,2.2K,886
134,laikacl,L Λ I K Λ,1.7M,9.6M,402.5K,1.3K,1.1K
135,joaoferdnan,João Ferdnan,8.3M,1.9M,370.7K,4.4K,8.8K
136,seventeen17_official,SEVENTEEN,6.2M,1.6M,462K,6.9K,5.3K
137,richboywest,Polimá Westcoast,1.6M,8.5M,626.3K,1K,677
138,tooturnttony,Tooturnttony,18.2M,4.8M,486.9K,2.7K,1.1K
139,jamescharles,James Charles,37.1M,5.8M,470K,2K,1.2K
140,reymbayang,Rey,3.7M,4.4M,624.7K,1.7K,1.4K
141,hyundai_worldwide,Hyundai Worldwide,1.1M,3.2M,334.9K,3.8K,4.3K
142,anawoycick,Ana Woycick,12.7M,3.7M,231.8K,7.1K,2.6K
143,good.boy.ollie,Good Boy Ollie,4.6M,2.3M,397.5K,2.1K,7K
144,kallmewhateveryouwant,kallmewhateveryouwant,11.3M,3.2M,548.9K,2.2K,2.6K
145,dylan.page,Dylan Page,4.1M,2.7M,395.4K,4.8K,2.9K
146,mikaylanogueira,Mikayla Nogueira,13.6M,4.2M,432K,4K,562
147,mattsturniolo,Matt,3.4M,2.4M,528.8K,4.6K,1.9K
148,nicollefigueroaa,Nicolle Figueroa,13.5M,5.9M,697.4K,1.4K,520
149,abir.sag,Abir el saghir,15.8M,4M,316.3K,3.8K,2.5K
150,sofiedossi,Sofie Dossi,11.4M,3.9M,454.9K,4.3K,249
151,postmalone,Post Malone,13.3M,2.2M,320K,2.6K,8.7K
152,xaviermartinnn_,MARTIN🦄,3.3M,2.1M,406K,5.6K,3.7K
153,itssassagurl,Sassa Gurl,6.8M,3M,444.4K,2.2K,3.7K
154,flossybaby,flossybaby,4.2M,2.3M,479.4K,2.3K,4.9K
155,matheusevitoriaofc,Matheus e Vitoria,8.4M,2.2M,370.1K,3.9K,5.7K
156,pete_pamana,petepamana,3M,3.4M,373.8K,3.5K,2.6K
157,youngswagonoriginal,YoungSwagon,5.4M,3.1M,444.4K,841,4.8K
158,douhalaribiii,Douha laribii,9M,5.6M,413.4K,2.5K,813
159,rafaelsantos,Rafael Santos,18.7M,3M,564.1K,3.3K,1.1K
160,elpugaa,Puga,10M,2.7M,223K,522,11.8K
161,mariabecerra_22,Maria Becerra,8.5M,3.9M,521.3K,2.1K,1.5K
162,ndshvv,ndshvv,3.6M,3.5M,497.9K,3.2K,974
163,bellapoarch,Bella Poarch,92M,5.2M,360.9K,2.9K,905
164,mdmotivator,Zachery Dereniowski,10.9M,3.3M,581.5K,2.5K,1.2K
165,ryanhallyall,Ryan Hall,1.5M,2.7M,211.6K,2.9K,9.4K
166,ani__mel,Melody 🌱,1.4M,2M,444.9K,1.2K,6.7K
167,fyp,jack neel,8.8M,4.8M,717K,702,1.3K
168,simuliu,Simu Liu,2.2M,2.4M,484.4K,2.3K,3.5K
169,hf37777,نجم الثرياء⭐H,631.9K,2.4M,42.8K,5.7K,60.3K
170,somi_official_,JEON SOMI,7.1M,1.9M,504.7K,4.7K,2.4K
171,sugarcoatedsisters,sugarcoatedsisters,422.1K,2.6M,282.9K,2.1K,6.9K
172,sulemsi,Şulemsi,2.3M,5.5M,315.9K,1.9K,2K
173,ailutokman,Ailu Tokman | RECETAS FÁCILES,3.3M,2.7M,388.1K,566,5.8K
174,babybella777,Bella Hadid,6.2M,4M,485.8K,2.3K,1K
175,jaimeonod,Telma,1.9M,2.6M,381.7K,3.8K,2.8K
176,jonata_26,Jonata,6.1M,3.3M,557.5K,858,2.7K
177,daddyyankee,daddyyankee,12.9M,3.7M,443.8K,1.9K,2.1K
178,ditanganu,DitaKerang🌊,9M,5.6M,451.6K,1.6K,993
179,lagranjadelborrego,La granja del borrego,12.5M,4.9M,664.2K,1.2K,693
180,jakepaul,Jake Paul,16.8M,3.8M,411.1K,2.9K,1K
181,eduincaz5,Eduin Caz,6.4M,5.3M,307.3K,1.6K,2.2K
182,lu.s.cas,Lucas,2.9M,7.9M,628.4K,782,448
183,graysworld,Gray,4.9M,2.6M,393.8K,2.2K,3.6K
184,marianagrimaldii,La Niña Fresa 🍓,2.4M,3.1M,558.6K,966,2.5K
185,adamsheey,Adam Shi,6.1M,2.1M,436.3K,1.5K,5K
186,fhd.artz,فهد آرت || Fahad🎨,2.3M,3.8M,231.8K,4.8K,2.1K
187,noordabashh,noor,7.9M,4.3M,823.4K,538,1.1K
188,lucasvarelaaaa,Lucas varela,3M,2.2M,339.1K,1K,6.9K
189,patrickzeinali,Patrick Zeinali,2.3M,2.8M,226.8K,933,8.4K
190,samsmith,Sam Smith,5.7M,3.4M,320.2K,2.7K,2.7K
191,ireniusx,ireniusx,6.3M,3.2M,510.8K,2.3K,1.3K
192,xqdez,Xudz,220.7K,1.6M,273.9K,1.9K,11.2K
193,yano4kaa.aaa,yano4kaa,4M,3.5M,534.6K,1K,2.1K
194,itskingchris,KingChristian,17.6M,2.3M,415.9K,3.3K,2.9K
195,karna.val,🎀КАРНАВАЛ🎀,24.2M,3M,268.1K,4K,3.2K
196,janneksplace,Janneksplace,1.8M,2.7M,366.5K,3.8K,2K
197,devon_palmer,devon palmer,2.1M,1.8M,433K,1.2K,5.9K
198,davidcstt_,David Costa,5.6M,3.7M,501.8K,1.3K,1.7K
199,marisol.viola,marisol viola,1.4M,1.5M,304.4K,4.6K,7.3K
200,los_chicaneros,Los_chicaneros,4.6M,3M,290.6K,1.4K,4.9K
201,keybastos,key,999.1K,3.2M,706.6K,1.4K,908
202,frnzlynfby,Feby,4M,2.7M,495.9K,1.4K,2.4K
203,bigtugg,Tucker Lindgren,1.8M,1.5M,377.3K,3.7K,5.3K
204,montpantoja,Montpantoja,36.3M,3.9M,576K,1.3K,977
205,maiaknight,Maia Knight,8.8M,4.1M,715.4K,1.1K,576
206,vanessalopesr,Vanessa Lopes,26M,3.3M,350.6K,2.4K,2K
207,trishlikefish88,trishapaytas,7.4M,3.7M,382.3K,2.5K,1.1K
208,bayashi.tiktok,バヤシ🥑Bayashi,34.8M,3.5M,417.9K,2.6K,715
209,artmanee,Armanee Sinaga,1.1M,2.1M,630.1K,2K,1.6K
210,katiavlogss,KATIAVLOGS🐒,14.7M,4.3M,610.4K,1.1K,698
211,iniateng,ateng,643.3K,2.9M,343.3K,1.3K,3.5K
212,malikoendang,Malik rapper tiktok🥴,976.6K,3.4M,480.9K,1.1K,1.8K
213,hbbordie,HBB,1.3M,2.4M,361.4K,885,4.4K
