Localization,Distance,Type,Month,Chanel depth,Target,Cluster
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
6,,10,7,9.1,0,4
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
1,,5,7,4.8,2,2
5,,4,7,9.1,3,1
0,,1,7,7.5,1,0
0,,7,7,7.5,3,1
0,,7,7,7.5,3,1
0,,7,7,7.5,3,1
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
7,,1,7,5.8,1,0
7,,1,7,5.8,1,0
2,,1,7,5.8,1,0
2,,1,7,5.8,1,0
2,,9,7,5.8,0,4
2,,10,7,5.8,0,4
2,,6,7,5.8,1,0
2,,6,7,5.8,1,0
3,,4,7,5.8,3,1
2,,4,7,5.8,3,1
2,,4,7,5.8,3,1
2,,4,7,5.8,3,1
7,,8,7,5.8,1,0
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
7,,1,7,5.8,1,0
7,,5,7,5.8,2,2
7,,5,7,5.8,2,2
8,,2,7,15.0,0,4
8,,5,7,15.0,2,2
8,,8,7,15.0,1,0
8,,8,7,15.0,1,0
8,,2,7,15.0,0,4
8,,1,7,15.0,1,0
8,,2,7,15.0,0,4
8,,5,7,15.0,2,2
8,,1,7,15.0,1,0
8,,1,7,15.0,1,0
8,,2,7,15.0,0,4
8,,5,7,15.0,2,2
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,7,7,12.0,3,3
9,,2,7,12.0,0,4
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,5,7,12.0,2,2
9,,8,7,12.0,1,0
10,,4,7,14.0,3,3
10,,1,7,14.0,1,0
10,,0,7,14.0,0,4
10,,1,7,14.0,1,0
10,,0,7,14.0,0,4
10,,0,7,14.0,0,4
10,,1,7,14.0,1,0
10,,11,7,14.0,0,4
10,,1,7,14.0,1,0
10,,4,7,14.0,3,1
10,,7,7,14.0,3,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
4,,3,9,7.5,4,1
