Id,Name,Type,Pic,Localization,Date,H_G_D,Video,Chanel depth,Wind,AIS link,Distance,Atmospheric and oceanographic data,Duration,Notes,Target
80,Adricristuy,Dredger,,Punta LangosteiraClickfor zoom,2012-10-04 14:00:00,"(3),(16),(5)",No,20.0,Not available,AIS data,350 m,Considerable swell. Moderate / low wave,1:00,"Dredger Adricristuy recording during Punta Langosteira measurements campaign for ECODRAGA project.

The area was pretty dredged.",
10,Mar de Onza (Leaving),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 00:00:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",2:34,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Ship leaves port.",Class_C
14,Pirata de Cies (Waiting),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 00:00:00,"(2),(4),(2.85)",No,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:00,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Waiting for passengers loading",Class_C
15,Rada Uno (Passing),Tugboat,,Ocean liners harbourClickor zoom,2013-07-10 00:00:00,"(2),(4),(2.85)",NO,9.1,0,Not available,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",2:22,First series of recordings. There is not in situ wind speed measures. Quite harbor noise.,Class_A
6,Mar de Cangas (Entering),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:19:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",5:01,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Entering port for docking.",Class_C
7,Mar de Cangas (Waiting),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:25:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:00,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.

Waiting during passengers unloading.",Class_C
13,Pirata de Cies (Entering),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:26:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",3:27,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Entering the port for docking.",Class_C
11,Minho Uno (Entering),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:36:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:22,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Entering the port for docking.",Class_C
12,Minho Uno (Leaving),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:36:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",2:01,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Leaving the port",Class_C
17,Mar de Mouro (Entering),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:47:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:16,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Entering the port for docking.",Class_C
