NODE_ID|NODE_NM|NODE_ENM|NODE_SNM|POSX|POSY|NODE_KIND|NODE_TYPE|SEQ|ADM_DSTRT_CD|USE_YN|ETL_TYPE|ETL_DATE
AP2504001168| 청벽산근린공원|||236421.50420443|324050.74623794|3701|3601|3352|30200143  |T|0602|2019-12-31 02:47:00
AP2504001166|용산교네거리|Yongsangyo 4(ne)-geori|용산교4|235943.25420443|325087.49623794|3701|3601|3352|30200144  |T|0602|2019-12-31 02:47:00
AP2504001164|우림필유삼거리|Woorim-feel-you 3(sam)-geori|우림필유3|235319.24150334|324042.39360927|3701|3601|3352|30200144  |T|0602|2019-12-31 02:47:00
AP2504001162| |||235237.01993791|325013.22798025|3701|3603|3352|30200146  |T|0602|2019-12-31 02:47:00
AP2504001160|밀머리네거리|||228081.98235080|313382.36819644|3701|3601|3344|30110124  |T|0602|2019-12-31 02:47:00
AP2504001158|서대전IC|||228672.21744927|310092.05263362|3701|3601|3312|30200101  |T|0602|2019-12-31 02:47:00
AP2504001156|생성노드|||232681.34541612|327416.31492054|3701|3601|3247|30200153  |T|0602|2019-12-31 02:47:00
AP2504001154|생성노드|||234105.41381231|326565.11435802|3701|3601|3247|30200145  |T|0602|2019-12-31 02:47:00
AP2504001152| |||234890.67764312|324206.54231222|3701|3601|3197|30200146  |T|0602|2019-12-31 02:47:00
AP2504001150| 글로벌어린이집|||229789.99439536|321133.71720244|3701|3601|3185|30200132  |T|0602|2019-12-31 02:47:00
AP2504001148|푸르지오삼거리|Prugio Apartment 3(sam)-geori|푸르지오3|234474.99018163|324276.41743085|3701|3601|3165|30200146  |T|0602|2019-12-31 02:47:00
AP2504001146|테크노밸리네거리|Techno-valley 4(ne)-geori|테크노벨리4|234936.99434817|325160.08912419|3701|3601|3165|30200146  |T|0602|2019-12-31 02:47:00
AP2504001144| 경남아너스빌2단지아파트|||235647.30802765|324605.47054005|3701|3603|3165|30200144  |T|0602|2019-12-31 02:47:00
AP2502003193|중촌동금호아파트| ||234742.06566942|312680.26073719|3701|3607|2437|30140104  |T|0602|2019-12-31 02:47:00
AP2502003191|수영3리| ||235153.62482261|297447.78705096|3701|3607|2435|44710380  |T|0602|2019-12-31 02:47:00
AP2502003189|신대초등학교| ||233966.16640432|300999.42316649|3701|3607|2424|44710250  |T|0602|2019-12-31 02:47:00
AP2502003187|신대3리| ||233715.72650881|302724.83508883|3701|3607|2420|44710250  |T|0602|2019-12-31 02:47:00
AP2502003185|압재| ||233487.85379146|303798.98644576|3701|3607|2415|44710250  |T|0602|2019-12-31 02:47:00
AP2502003183|어남동| ||237095.31496147|301560.87791048|3701|3607|2412|30140125  |T|0602|2019-12-31 02:47:00
AP2502003181|소리/말미| ||240554.40625000|307540.34375000|3701|3607|2400|30110141  |T|0602|2019-12-31 02:47:00
AP2502003179|소호동| ||240350.45312500|307134.21875000|3701|3607|2393|30110141  |T|0602|2019-12-31 02:47:00
AP2502003177|옥계교| ||240893.29687500|310800.81250000|3701|3607|2325|30140109  |T|0602|2019-12-31 02:47:00
AP2502003175|옥계동| ||240721.76562500|311014.00000000|3701|3607|2304|30140109  |T|0602|2019-12-31 02:47:00
AP2502003173|용두동사무소| ||236817.42050059|313879.03370825|3701|3607|2281|30140112  |T|0602|2019-12-31 02:47:00
AP2502003171|안영교| ||233756.82812500|309447.59375000|3701|3607|2268|30140119  |T|0602|2019-12-31 02:47:00
AP2502003169|서대전역| ||236430.04687500|313423.21875000|3701|3607|2253|30140113  |T|0602|2019-12-31 02:47:00
AP2502003167|석교동사무소| ||239724.25000000|312140.34375000|3701|3607|2231|30140107  |T|0602|2019-12-31 02:47:00
AP2502003165|서대전역| ||236267.07002486|313590.04853356|3701|3607|2214|30140113  |T|0602|2019-12-31 02:47:00
AP2502003163|서대전네거리역| ||236715.01562500|313476.28125000|3701|3607|2192|30140116  |T|0602|2019-12-31 02:47:00
AP2502003161|서대전역| ||236252.21566944|313714.90765436|3701|3607|2180|30140113  |T|0602|2019-12-31 02:47:00
AP2502003159|충남지방병무청| ||237264.09834070|313633.33345096|3701|3607|2153|30140116  |T|0602|2019-12-31 02:47:00
AP2502003157|오토바이거리| ||238503.50069824|313557.04449567|3701|3607|2148|30140105  |T|0602|2019-12-31 02:47:00
AP2502003155|서대전네거리역| ||236811.56849491|313782.48326476|3701|3607|2128|30140112  |T|0602|2019-12-31 02:47:00
AP2502003153|서대전농협유천지점| ||235397.95452382|313090.15211902|3701|3607|2123|30140115  |T|0602|2019-12-31 02:47:00
AP2502003151|선병원| ||236704.58397028|315262.28257339|3701|3607|2102|30140104  |T|0602|2019-12-31 02:47:00
AP2502003149|서대전역입구| ||235897.15991727|313883.99622052|3701|3607|2095|30140114  |T|0602|2019-12-31 02:47:00
AP2502003147|오룡역| ||236087.70312500|314460.34375000|3701|3607|2087|30140113  |T|0602|2019-12-31 02:47:00
AP2502003145|석교파출소| ||240018.53125000|311961.96875000|3701|3607|2072|30140107  |T|0602|2019-12-31 02:47:00
AP2502003143|서부종합상가| ||234957.10195400|312814.07149455|3701|3607|2065|30140115  |T|0602|2019-12-31 02:47:00
AP2502003141|충남지방병무청| ||237227.12500000|313659.87500000|3701|3607|2049|30140112  |T|0602|2019-12-31 02:47:00
AP2502003139|오룡역| ||236194.64807788|314254.63397821|3701|3607|2040|30140113  |T|0602|2019-12-31 02:47:00
AP2502003137|성모병원| ||237577.97955134|313761.22699684|3701|3607|2017|30140105  |T|0602|2019-12-31 02:47:00
AP2502003135|충남지방병무청| ||237265.35101185|313663.37158734|3701|3607|2012|30140112  |T|0602|2019-12-31 02:47:00
AP2502003133|샛고개| ||233985.29514065|307905.22447708|3701|3607|2001|30140119  |T|0602|2019-12-31 02:47:00
AP2502003131|대전서남부터미널| ||234748.45166452|312684.52022582|3701|3607|1938|30140115  |T|0602|2019-12-31 02:47:00
AP2502003129|복수중학교| ||234913.01106956|297897.88643271|3701|3607|1934|44710380  |T|0602|2019-12-31 02:47:00
AP2502003127|운곡마을| ||234415.54206800|299012.00110206|3701|3607|1930|44710380  |T|0602|2019-12-31 02:47:00
