LINK_ID|START_NODE_ID|END_NODE_ID|LINK_LEN|LANE_CNT|TRVL_TYPE|ROAD_GRD|ROAD_KIND|ROUTE_DIR|ROAD_NO|ROAD_NM|ROAD_WIDTH|MOTOWAY_YN|BOL_YN|HLIMIT_SPD|LLIMIT_SPD|FREEFLOW_SPD|ADM_GU_CD|SEQ|USE_YN|ETL_TYPE|ETL_DATE
AW3020006400|AP3020000045|AP3020000037|507.175455|2|3402|3105|3202|3502||은구비6길|7.0|F|F|40.00|0.00|40|30200|67|T|0602|2019-12-31 03:22:09
AS3020006500|AP3020000043|AP3020000037|430.760802|3|3402|3105|3202|3502||노은길|10.5|F|F|70.00|0.00|70|30200|69|T|0602|2019-12-31 03:22:09
AE3020006400|AP3020000037|AP3020000045|507.110927|2|3402|3105|3202|3501||은구비6길|7.0|F|F|40.00|0.00|40|30200|71|T|0602|2019-12-31 03:22:09
AN3020005800|AP3020000047|AP3020000048|653.219299|5|3402|3105|3202|3501|11|북유성대로|17.5|F|F|80.00|0.00|80|30200|73|T|0602|2019-12-31 03:22:09
AW3017094400|AP3017000411|AP3017000999|170.981336|3|3402|3107|3202|3502||갑천도시고속도로|10.5|T|F|80.00|0.00|80|30170|75|T|0602|2019-12-31 03:22:09
AW3017094500|AP3017000999|AP3017000010|296.651566|2|3402|3105|3202|3502||갑천도시고속도로|7.0|F|F|80.00|0.00|80|30170|77|T|0602|2019-12-31 03:22:09
AS3020031800|AP3020000025|AP3017000010|415.196633|5|3402|3105|3202|3502|51|대덕대로|17.5|F|T|70.00|0.00|70|30200|79|T|0602|2019-12-31 03:22:09
AS3023004700|AP3023000124|AP3023000041|208.075606|4|3402|3105|3202|3502|17|계족로|14.0|F|T|60.00|0.00|60|30230|81|T|0602|2019-12-31 03:22:09
AE3017094400|AP3017000999|AP3017000412|834.390674|3|3402|3107|3202|3501||갑천도시고속도로|10.5|T|F|80.00|0.00|80|30170|83|T|0602|2019-12-31 03:22:09
AS3023097100|AP3023000981|AP3023000042|199.877545|2|3402|3105|3202|3502||새롬1길|7.0|F|F|40.00|0.00|40|30230|85|T|0602|2019-12-31 03:22:09
AW3023099400|AP3023000984|AP3023000041|413.184432|2|3402|3105|3202|3501||계족로664번길|7.0|F|F|40.00|40.00|40|30230|87|T|0602|2019-12-31 03:22:09
AE3023099300|AP3023000984|AP3023000982|335.032139|2|3402|3105||3502||계족로664번길|7.0|F|F|30.00|0.00|30|30230|89|T|0602|2019-12-31 03:22:09
AW3017099800|AP3017000998|AP3017000997|252.72531|2|3402|3105|3202|3501||방송국1길|7.0|F|F|30.00|0.00|30|30170|91|T|0602|2019-12-31 03:22:09
AS3017094300|AP3017000010|AP3017000997|155.77118|4|3402|3105|3202|3502|51|대덕대로|14.0|F|T|70.00|0.00|70|30170|93|T|0602|2019-12-31 03:22:09
AS3017099900|AP3017000998|AP3017000999|213.904994|2|3402|3105|3202|3501||둔산대로117번길|7.0|F|F|30.00|0.00|30|30170|95|T|0602|2019-12-31 03:22:09
AS3020004000|AP3020000066|AP3020000024|500.448451|2|3402|3105|3202|3502||과학로|7.0|F|F|70.00|0.00|70|30200|97|T|0602|2019-12-31 03:22:09
AE3017000200|AP3017000142|AP3017000010|666.435112|3|3402|3105|3202|3501||갑천도시고속도로|10.5|F|F|80.00|0.00|80|30170|99|T|0602|2019-12-31 03:22:09
AW3023097000|AP3023000980|AP3023000987|203.299541|2|3402|3105|3202|3501|38|우암로|7.0|F|F|50.00|0.00|50|30230|101|T|0602|2019-12-31 03:22:09
AS3023099200|AP3023000984|AP3023000987|230.539177|2|3402|3105||3502||매봉길|7.0|F|F|40.00|40.00|40|30230|103|T|0602|2019-12-31 03:22:09
AN3023014500|AP3023000143|AP3023000145|1099.634012|2|3401|3107|3202|3501||대화천변길|7.0|T|F|60.00|0.00|60|30230|105|T|0602|2019-12-31 03:22:09
AS3023004402|AP3023001116|AP3023001113|422.335017|3|3402|3102|3202|3502|17|신탄진로|10.5|F|F|60.00|0.00|60|30230|107|T|0602|2019-12-31 03:22:09
AN3023005000|AP3023000016|AP3023000041|403.209624|4|3402|3105|3202|3501|17|계족로|14.0|F|T|60.00|0.00|60|30230|109|T|0602|2019-12-31 03:22:09
AE3023096800|AP3023000016|AP3023000987|361.867488|2|3402|3105|3202|3502|38|우암로|7.0|F|F|50.00|0.00|50|30230|111|T|0602|2019-12-31 03:22:09
AN3017094200|AP3017000140|AP3017000997|286.852158|4|3402|3105|3202|3501|51|대덕대로|14.0|F|T|70.00|0.00|70|30170|113|T|0602|2019-12-31 03:22:09
AW3017094000|AP3017000140|AP3017000996|255.080572|2|3402|3105|3202|3501||만년학교길|7.0|F|F|30.00|0.00|30|30170|115|T|0602|2019-12-31 03:22:09
AS3017099700|AP3017000998|AP3017000995|271.255648|2|3402|3105|3202|3502||방송국1길|7.0|F|F|30.00|0.00|30|30170|117|T|0602|2019-12-31 03:22:09
AE3017099600|AP3017000140|AP3017000995|252.394756|2|3402|3105||3502||서구보건소길|7.0|F|F|30.00|30.00|30|30170|119|T|0602|2019-12-31 03:22:09
AE3017094000|AP3017000996|AP3017000140|256.013115|2|3402|3105|3202|3502||만년학교길|7.0|F|F|30.00|0.00|30|30170|121|T|0602|2019-12-31 03:22:09
AE3023005300|AP3023000043|AP3023000016|173.61056|2|3402|3105|3202|3502||주공1단지길|7.0|F|F|40.00|0.00|40|30230|123|T|0602|2019-12-31 03:22:09
AE3023096900|AP3023000980|AP3023000039|279.128927|2|3402|3105|3202|3502|38|우암로|7.0|F|F|50.00|0.00|50|30230|125|T|0602|2019-12-31 03:22:09
AS3020006900|AP3020000045|AP3020000046|595.917319|2|3402|3105|3202|3502||노은동길|7.0|F|F|40.00|0.00|40|30200|127|T|0602|2019-12-31 03:22:09
AN3020007600|AP3020000038|AP3020000037|599.570875|3|3402|3105|3202|3501||노은길|10.5|F|F|70.00|0.00|70|30200|129|T|0602|2019-12-31 03:22:09
AW3020098200|AP3020000038|AP3020000970|238.398951|5|3402|3105|3202|3502|50|한밭대로|17.5|F|F|70.00|0.00|70|30200|131|T|0602|2019-12-31 03:22:09
AS3020005700|AP3020000047|AP3020000049|562.266153|5|3402|3105|3202|3502|11|북유성대로|17.5|F|F|80.00|0.00|80|30200|133|T|0602|2019-12-31 03:22:09
AW3020098300|AP3020000970|AP3020000971|256.241496|5|3402|3105|3202|3502|50|한밭대로|17.5|F|F|70.00|0.00|70|30200|135|T|0602|2019-12-31 03:22:09
AS3020098500|AP3020000972|AP3020000971|679.135189|2|3402|3105|3202|3502||노은서길|7.0|F|F|40.00|0.00|40|30200|137|T|0602|2019-12-31 03:22:09
AS3023004900|AP3023000042|AP3023000023|452.604792|2|3402|3105|3202|3502||새롬1길|7.0|F|F|40.00|0.00|40|30230|139|T|0602|2019-12-31 03:22:09
AE3020007000|AP3020000046|AP3020000049|338.811504|4|3402|3105|3202|3501|50|한밭대로|14.0|F|F|70.00|0.00|70|30200|141|T|0602|2019-12-31 03:22:09
AE3020098300|AP3020000971|AP3020000970|254.742312|5|3402|3105|3202|3501|50|한밭대로|17.5|F|F|70.00|0.00|70|30200|143|T|0602|2019-12-31 03:22:09
AN3023099100|AP3023000979|AP3023000980|287.347115|2|3402|3105|3202|3501||송촌길|7.0|F|F|40.00|0.00|40|30230|145|T|0602|2019-12-31 03:22:09
AE3023096700|AP3023000979|AP3023000039|215.253813|1|3402|3105|3202|3502||소리고개길|3.5|F|F|40.00|0.00|40|30230|147|T|0602|2019-12-31 03:22:09
AW3023096600|AP3023000979|AP3023000983|160.395373|1|3402|3105|3202|3501||소리고개길|3.5|F|F|40.00|0.00|40|30230|149|T|0602|2019-12-31 03:22:09
AS3023099000|AP3023000987|AP3023000983|316.714212|2|3402|3105|3202|3502||수련관길|7.0|F|F|40.00|0.00|40|30230|151|T|0602|2019-12-31 03:22:09
AN3017000700|AP3017000011|AP3017000140|296.300284|4|3402|3105|3202|3501|51|대덕대로|14.0|F|T|70.00|0.00|70|30170|153|T|0602|2019-12-31 03:22:09
AW3017001300|AP3017000024|AP3017000025|322.700471|4|3402|3105|3202|3501|50|둔산대로|14.0|F|F|70.00|0.00|70|30170|155|T|0602|2019-12-31 03:22:09
AN3017099500|AP3017000141|AP3017000996|281.306208|2|3402|3105|3202|3501||만년남로|7.0|F|F|30.00|0.00|30|30170|157|T|0602|2019-12-31 03:22:09
