unixtime,latitude,longitude,speed
1202497446107,37.6000892779,-122.0632626004,21.929
1202497449109,37.6000890264,-122.0632740836,13.276
1202497477072,37.6000974083,-122.0633030849,6.623
1202497481097,37.6000979112,-122.0633035040,2.264
1202497487074,37.6000988332,-122.0633037555,0.096
1202497490099,37.6000990009,-122.0633041746,0.071
1202497494097,37.6000990009,-122.0633051804,0.051
1202497498090,37.6000993361,-122.0633063539,0.047
1202497502069,37.6000995038,-122.0633070244,0.041
1202497506076,37.6001000067,-122.0633077788,0.040
1202497509091,37.6001003420,-122.0633081141,0.038
1202497513084,37.6001009287,-122.0633085332,0.037
1202497516084,37.6001010125,-122.0633090361,0.035
1202497520109,37.6001009287,-122.0633095390,0.037
1202497524062,37.6001010125,-122.0633097905,0.040
1202497527071,37.6001014316,-122.0633104610,0.053
1202497530075,37.6001020183,-122.0633112992,0.092
1202497534093,37.6001026051,-122.0633128079,0.143
1202497538072,37.6001032756,-122.0633140652,0.192
1202497541083,37.6001036947,-122.0633150711,0.236
1202497545083,37.6000984141,-122.0633055995,0.420
1202497549087,37.6000876015,-122.0632916856,0.345
1202497553090,37.6000904513,-122.0632860697,0.243
1202497557074,37.6000897808,-122.0632873270,0.199
1202497560085,37.6000894455,-122.0632883328,0.165
1202497564089,37.6000910381,-122.0632908474,0.151
1202497569083,37.6000940555,-122.0632957927,0.152
1202497572084,37.6000949775,-122.0632974691,0.129
1202497576068,37.6000958996,-122.0632989778,0.116
1202497579069,37.6000964025,-122.0632999836,0.103
1202497583058,37.6000970730,-122.0633009895,0.093
1202497586068,37.6000977436,-122.0633017438,0.088
1202497590055,37.6000991685,-122.0633032526,0.096
1202497593106,37.6001001743,-122.0633042584,0.097
1202497597058,37.6001015992,-122.0633052642,0.096
1202497600069,37.6001024374,-122.0633059348,0.091
1202497604069,37.6001039462,-122.0633068568,0.091
1202497608059,37.6001051196,-122.0633079464,0.085
1202497611059,37.6001057902,-122.0633088684,0.079
1202497614059,37.6001062093,-122.0633094552,0.071
1202497617059,37.6001067960,-122.0633102934,0.070
