unix time, latitude, longitude, postmile, speed
1202503348,37.548949630,-122.024313839,19.260572,42.116
1202503352,37.549553294,-122.024770233,19.310110,45.574
1202503355,37.550058387,-122.025164769,19.349464,48.888
1202503359,37.550781913,-122.025733398,19.407068,52.837
1202503362,37.551391612,-122.026202030,19.455524,56.575
1202503366,37.552270622,-122.026833103,19.523933,59.791
1202503370,37.553151225,-122.027489825,19.593359,61.517
1202503373,37.553793697,-122.027999109,19.645117,62.447
1202503377,37.554617554,-122.028727580,19.714306,62.982
1202503380,37.555212334,-122.029322946,19.766943,63.433
1202503384,37.556004172,-122.030152335,19.838623,63.956
1202503387,37.556597275,-122.030781816,19.892769,64.377
1202503390,37.557191636,-122.031425378,19.947634,64.926
1202503394,37.557998142,-122.032292486,20.021957,65.480
1202503397,37.558608009,-122.032945855,20.078135,65.786
1202503401,37.559425328,-122.033822937,20.156717,65.969
1202503404,37.560031340,-122.034470020,20.207973,65.838
1202503407,37.560628550,-122.035115342,20.261492,65.533
1202503410,37.561230035,-122.035753959,20.315360,65.110
1202503414,37.562032434,-122.036612182,20.387669,64.603
1202503418,37.562834917,-122.037473338,20.460197,64.144
1202503422,37.563612842,-122.038315384,20.536790,63.132
1202503426,37.564336283,-122.039119543,20.598690,61.879
1202503429,37.564891752,-122.039707534,20.647970,61.478
1202503433,37.565659618,-122.040528960,20.716866,61.566
1202503437,37.566401835,-122.041317361,20.777197,61.125
1202503440,37.566958728,-122.041918763,20.820675,61.463
1202503443,37.567531464,-122.042527289,20.865640,62.168
1202503446,37.568121466,-122.043126678,20.911140,62.959
1202503450,37.568953872,-122.043871913,20.971739,63.968
1202503454,37.569848472,-122.044548081,21.042470,65.153
1202503457,37.570565712,-122.045011768,21.111296,66.369
1202503461,37.571576233,-122.045551394,21.204597,67.491
1202503465,37.572632856,-122.045989013,21.297390,68.223
1202503468,37.573440284,-122.046271064,21.353792,68.645
1202503471,37.574252155,-122.046545823,21.411587,68.891
1202503474,37.575039048,-122.046814630,21.467752,68.716
1202503478,37.576084941,-122.047172789,21.542470,68.910
1202503482,37.577161177,-122.047534803,21.619250,69.717
1202503485,37.577984699,-122.047816603,21.678102,70.150
1202503489,37.579102593,-122.048204685,21.758114,70.319
1202503492,37.579948159,-122.048492016,21.818510,69.900
1202503496,37.581081224,-122.048895772,21.913738,68.939
1202503500,37.582076491,-122.049299948,21.972889,65.976
1202503504,37.582959440,-122.049768160,22.036177,64.298
1202503508,37.583871559,-122.050273421,22.103794,64.015
1202503511,37.584557282,-122.050697294,22.156150,64.239
1202503514,37.585244095,-122.051159640,22.209913,65.013
1202503518,37.586184544,-122.051822564,22.285187,66.460
1202503522,37.587155755,-122.052514574,22.359524,67.761
1202503526,37.588129061,-122.053204488,22.435764,68.340
1202503530,37.589102786,-122.053894067,22.512379,68.714
1202503534,37.590068465,-122.054581634,22.590374,68.854
1202503537,37.590783609,-122.055096786,22.645786,68.781
1202503540,37.591499339,-122.055610512,22.702000,68.822
1202503543,37.592221021,-122.056122060,22.758686,69.048
1202503547,37.593189130,-122.056810633,22.836640,69.380
1202503551,37.594171405,-122.057511024,22.912418,69.699
1202503554,37.594914712,-122.058039168,22.970451,69.850
1202503558,37.595910314,-122.058746181,23.048382,69.863
1202503561,37.596638953,-122.059259992,23.105354,69.389
1202503564,37.597341859,-122.059769276,23.160812,68.906
1202503568,37.598291193,-122.060458100,23.235780,68.953
1202503571,37.599020837,-122.060974761,23.292965,69.002
1202503575,37.600003112,-122.061679343,23.381935,69.106
1202503578,37.600745413,-122.062211175,23.429464,68.863
1202503582,37.601703632,-122.062890193,23.502821,67.821
1202503585,37.602402012,-122.063387072,23.556795,66.817
1202503589,37.603324356,-122.064041447,23.628160,65.755
1202503593,37.604210658,-122.064668748,23.696743,64.755
1202503596,37.604873164,-122.065142828,23.748207,64.362
1202503599,37.605542290,-122.065624955,23.800314,64.458
1202503603,37.606440160,-122.066265332,23.870016,64.809
1202503607,37.607363342,-122.066921467,23.941610,65.467
1202503610,37.608060213,-122.067419939,23.995771,65.401
1202503614,37.609009715,-122.068094347,24.073732,64.576
1202503617,37.609712370,-122.068593824,24.130085,62.028
1202503620,37.610387448,-122.069079052,24.184841,57.814
1202503624,37.611109381,-122.069597054,24.243510,50.543
1202503628,37.611692174,-122.070011539,24.290785,43.465
1202503632,37.612116047,-122.070308342,24.325014,36.384
1202503635,37.612407989,-122.070517386,24.348759,31.755
1202503638,37.612688699,-122.070716037,24.371508,28.480
1202503641,37.612938982,-122.070893315,24.391800,26.267
1202503644,37.613179794,-122.071065563,24.411385,25.045
1202503648,37.613532923,-122.071318780,24.440132,24.866
1202503652,37.613914635,-122.071593371,24.471240,24.386
1202503656,37.614270615,-122.071850863,24.503770,23.123
1202503659,37.614469349,-122.071991176,24.518300,21.287
1202503662,37.614656769,-122.072126124,24.532790,20.434
1202503665,37.614836644,-122.072256630,24.546991,20.290
1202503669,37.615083575,-122.072429549,24.566507,21.301
1202503672,37.615320615,-122.072598025,24.585411,23.691
1202503675,37.615618508,-122.072816458,24.609460,26.862
1202503679,37.616074735,-122.073143771,24.646162,29.785
1202503683,37.616559963,-122.073495224,24.685373,31.909
1202503686,37.616916194,-122.073749363,24.714050,32.877
1202503690,37.617402763,-122.074097380,24.753267,33.514
1202503694,37.617866198,-122.074420837,24.790346,33.162
1202503698,37.618310858,-122.074736248,24.826109,32.908
1202503702,37.618775131,-122.075067165,24.863514,32.885
1202503706,37.619231945,-122.075387941,24.900145,32.903
1202503709,37.619581973,-122.075634285,24.933723,33.012
1202503713,37.620033338,-122.075956066,24.964954,33.011
1202503717,37.620503563,-122.076294779,25.001242,33.250
1202503721,37.620993066,-122.076646567,25.039497,33.387
1202503725,37.621462201,-122.076979664,25.076170,32.884
1202503729,37.621906525,-122.077300271,25.111126,32.365
1202503732,37.622238616,-122.077534797,25.137100,32.120
1202503736,37.622668021,-122.077838976,25.170729,31.926
1202503740,37.623106981,-122.078151286,25.206743,32.281
1202503743,37.623452064,-122.078395786,25.232912,32.986
1202503747,37.623945758,-122.078745059,25.271200,34.183
1202503751,37.624433165,-122.079091148,25.309263,35.028
1202503754,37.624790570,-122.079348305,25.337340,36.003
1202503758,37.625318042,-122.079723059,25.378653,37.467
1202503762,37.625889520,-122.080134192,25.423615,38.316
1202503765,37.626326553,-122.080444657,25.457874,37.820
1202503769,37.626883698,-122.080843803,25.501677,36.143
1202503773,37.627398346,-122.081211098,25.542093,33.527
1202503777,37.627756253,-122.081468255,25.570265,29.272
1202503781,37.628067809,-122.081690710,25.594738,26.569
1202503785,37.628377017,-122.081909478,25.618958,24.976
1202503789,37.628722267,-122.082153978,25.646008,24.536
1202503792,37.628985794,-122.082341481,25.666687,24.188
1202503796,37.629321070,-122.082579779,25.692987,23.957
1202503799,37.629578311,-122.082761833,25.713139,23.646
1202503803,37.629915012,-122.083003484,25.739637,22.995
1202503807,37.630238218,-122.083231220,25.764921,21.915
1202503811,37.630532255,-122.083441606,25.789871,20.728
1202503814,37.630708275,-122.083566663,25.802906,19.340
1202503818,37.630927881,-122.083723321,25.819715,18.838
1202503822,37.631188641,-122.083906550,25.839836,19.447
1202503826,37.631480583,-122.084120456,25.862750,20.214
1202503829,37.631712091,-122.084283987,25.880770,20.876
1202503832,37.631955082,-122.084462437,25.899931,21.350
1202503836,37.632285748,-122.084699729,25.925844,21.326
1202503840,37.632583473,-122.084910031,25.949074,20.416
1202503844,37.632829482,-122.085083452,25.968262,19.628
1202503847,37.633004329,-122.085205828,25.981869,19.536
1202503850,37.633199711,-122.085347147,25.997236,20.474
1202503853,37.633421328,-122.085507912,26.014687,22.110
1202503857,37.633771608,-122.085758195,26.044802,24.657
1202503860,37.634067405,-122.085969335,26.066685,27.170
1202503863,37.634381642,-122.086194389,26.091156,29.575
1202503867,37.634823871,-122.086520613,26.126278,32.299
1202503871,37.635323097,-122.086873575,26.165583,35.257
1202503874,37.635728362,-122.087162415,26.197605,37.994
1202503878,37.636292380,-122.087563321,26.242159,40.654
1202503882,37.636896799,-122.087990882,26.296423,43.384
1202503886,37.637567351,-122.088473931,26.343964,46.276
1202503890,37.638267156,-122.088965948,26.399117,48.295
1202503894,37.638976516,-122.089465342,26.455254,50.140
1202503897,37.639511198,-122.089844874,26.498032,51.623
1202503901,37.640248134,-122.090370336,26.555216,53.355
1202503904,37.640829922,-122.090784569,26.600729,54.954
1202503908,37.641641290,-122.091359903,26.664206,56.628
1202503912,37.642474535,-122.091945043,26.730492,57.955
1202503916,37.643295793,-122.092538733,26.795181,58.907
1202503920,37.644110765,-122.093128986,26.859818,59.804
1202503924,37.644962701,-122.093734076,26.927055,61.134
1202503927,37.645629314,-122.094211928,26.979843,62.161
1202503931,37.646539169,-122.094855155,27.051582,62.732
1202503934,37.647232604,-122.095343903,27.106209,62.504
1202503938,37.648115469,-122.095972295,27.180672,60.995
1202503941,37.648741178,-122.096399101,27.226640,58.927
1202503944,37.649522707,-122.096922634,27.287783,56.453
1202503948,37.650081109,-122.097245338,27.329970,54.221
1202503951,37.650838078,-122.097724196,27.389196,53.192
1202503955,37.651606698,-122.098216548,27.448298,52.224
1202503959,37.652336510,-122.098666992,27.504211,50.964
1202503964,37.653075794,-122.099053230,27.558676,50.320
1202503967,37.653816167,-122.099437959,27.613163,49.882
