unix time, latitude, longitude, postmile, speed
1202496547,37.628081722,-122.082168311,-25.613298,50.875
1202496551,37.627330285,-122.081593397,-25.552790,53.983
1202496555,37.626526796,-122.080989732,-25.488520,56.695
1202496559,37.625699754,-122.080389756,-25.423203,58.787
1202496562,37.625043787,-122.079888770,-25.370419,60.630
1202496566,37.624155557,-122.079248644,-25.300476,61.247
1202496570,37.623289958,-122.078634334,-25.232922,61.083
1202496573,37.622660393,-122.078184562,-25.182917,60.590
1202496577,37.621838548,-122.077594895,-25.118210,60.045
1202496581,37.621019972,-122.077014365,-25.054039,59.860
1202496585,37.620178429,-122.076410113,-24.987843,60.233
1202496589,37.619322218,-122.075796475,-24.923187,60.550
1202496593,37.618459972,-122.075185015,-24.850948,60.776
1202496597,37.617592110,-122.074566347,-24.780987,60.879
1202496600,37.616955840,-122.074113641,-24.729730,60.505
1202496604,37.616120500,-122.073521543,-24.662533,60.162
1202496607,37.615499233,-122.073081912,-24.612600,59.909
1202496610,37.614880649,-122.072645718,-24.562983,59.909
1202496614,37.614042962,-122.072041216,-24.495680,60.487
1202496617,37.613400657,-122.071583396,-24.442959,61.052
1202496620,37.612749216,-122.071116692,-24.389912,61.548
1202496624,37.611856795,-122.070477740,-24.317257,61.943
1202496628,37.610971331,-122.069841386,-24.245077,61.598
1202496632,37.610116964,-122.069232944,-24.175660,60.601
1202496635,37.609498128,-122.068791888,-24.125378,59.550
1202496639,37.608697657,-122.068219740,-24.060337,58.480
1202496643,37.607899449,-122.067651782,-23.995836,58.012
1202496646,37.607296371,-122.067221204,-23.948980,57.806
1202496650,37.606491373,-122.066649223,-23.886536,58.014
1202496653,37.605870610,-122.066199702,-23.838072,58.085
1202496657,37.605030324,-122.065601905,-23.772863,57.850
1202496661,37.604192889,-122.065003186,-23.707767,57.148
1202496665,37.603401805,-122.064459200,-23.647081,55.606
1202496669,37.602708119,-122.063957292,-23.592940,54.389
1202496673,37.601992221,-122.063444739,-23.537270,54.703
1202496677,37.601211363,-122.062890528,-23.476742,56.231
1202496681,37.600387674,-122.062293904,-23.412470,58.003
1202496684,37.599768670,-122.061821584,-23.363120,59.566
1202496687,37.599121168,-122.061349096,-23.311829,61.262
1202496691,37.598224724,-122.060708635,-23.241325,62.630
1202496695,37.597326101,-122.060066414,-23.170645,63.211
1202496698,37.596642976,-122.059580348,-23.116993,63.567
1202496701,37.595979884,-122.059105513,-23.064802,63.285
1202496705,37.595127528,-122.058500592,-22.997917,62.933
1202496709,37.594250111,-122.057877984,-22.929070,63.303
1202496712,37.593582744,-122.057400635,-22.876566,63.728
1202496715,37.592908756,-122.056919178,-22.823568,64.218
1202496719,37.591999906,-122.056272515,-22.752058,64.872
1202496722,37.591073287,-122.055616044,-22.679026,65.650
1202496725,37.590377003,-122.055119249,-22.624022,66.115
1202496729,37.589451054,-122.054456157,-22.550814,66.496
1202496732,37.588744376,-122.053952154,-22.494904,66.878
1202496735,37.588034178,-122.053443372,-22.438604,67.048
1202496738,37.587324734,-122.052934339,-22.382355,66.845
1202496741,37.586622917,-122.052433018,-22.326832,66.366
1202496746,37.585692191,-122.051771183,-22.253798,65.740
1202496749,37.584787114,-122.051129800,-22.181702,64.842
1202496752,37.584114550,-122.050695869,-22.129227,63.973
1202496755,37.583423546,-122.050293286,-22.076672,63.472
1202496759,37.582479157,-122.049799844,-22.006569,63.193
1202496764,37.581282055,-122.049267929,-21.920560,62.889
1202496767,37.580574706,-122.049004905,-21.869862,62.485
1202496770,37.579859395,-122.048755124,-21.818619,62.610
1202496774,37.578878377,-122.048418675,-21.748487,63.058
1202496777,37.578161892,-122.048173504,-21.697283,63.307
1202496781,37.577163273,-122.047828337,-21.625840,63.571
1202496784,37.576422899,-122.047579311,-21.573044,63.690
1202496787,37.575683448,-122.047330201,-21.520319,63.751
1202496790,37.574941482,-122.047078325,-21.467394,63.856
1202496794,37.573952754,-122.046740031,-21.396889,63.971
1202496798,37.572958073,-122.046395619,-21.326323,64.237
1202496802,37.571961214,-122.046024972,-21.251282,64.534
1202496805,37.571230396,-122.045685588,-21.186560,64.689
1202496808,37.570514414,-122.045299686,-21.121319,64.841
1202496812,37.569565332,-122.044683951,-21.035452,65.174
1202496816,37.568667714,-122.043982973,-20.964636,64.953
1202496819,37.568040329,-122.043420967,-20.919048,64.621
1202496822,37.567440855,-122.042823086,-20.873137,64.620
1202496825,37.566847165,-122.042189917,-20.826061,64.955
1202496828,37.566247021,-122.041546606,-20.778353,65.426
1202496832,37.565437665,-122.040674637,-20.713373,65.959
1202496836,37.564608025,-122.039789760,-20.638674,66.475
1202496840,37.563776624,-122.038900776,-20.563720,66.558
1202496843,37.563164494,-122.038244138,-20.508835,66.239
1202496847,37.562365866,-122.037384322,-20.435993,65.714
1202496850,37.561775361,-122.036748974,-20.382456,65.336
1202496854,37.560984697,-122.035905755,-20.311110,65.237
1202496857,37.560387486,-122.035265797,-20.257082,65.446
1202496860,37.559783654,-122.034619636,-20.202496,65.867
1202496864,37.558970862,-122.033747835,-20.128979,66.446
1202496868,37.558140383,-122.032857426,-20.052187,67.041
1202496872,37.557303115,-122.031961401,-19.974955,67.416
1202496875,37.556676233,-122.031286909,-19.917032,67.461
1202496879,37.555857573,-122.030408821,-19.841604,67.133
1202496882,37.555244185,-122.029754698,-19.785340,66.827
1202496886,37.554413203,-122.028910138,-19.710918,66.496
1202496890,37.553536876,-122.028137913,-19.637170,66.130
1202496894,37.552639677,-122.027446239,-19.565498,65.621
1202496897,37.551960576,-122.026937206,-19.511805,65.249
1202496901,37.551058851,-122.026259948,-19.440458,64.778
1202496905,37.550178751,-122.025597275,-19.370764,64.145
1202496908,37.549521275,-122.025105509,-19.318840,63.696
1202496911,37.548866816,-122.024616928,-19.267414,63.272
1202496915,37.547997949,-122.023965655,-19.197166,62.995
1202496918,37.547345669,-122.023479169,-19.144577,62.742
1202496922,37.546477975,-122.022831668,-19.074718,62.559
1202496925,37.545837430,-122.022352810,-19.021470,62.385
1202496929,37.544984320,-122.021715115,-18.949661,62.512
1202496933,37.544119560,-122.021065517,-18.876747,62.994
1202496936,37.543465269,-122.020574506,-18.821608,63.533
1202496939,37.542802847,-122.020070502,-18.765497,64.330
1202496942,37.542123159,-122.019558703,-18.708164,65.128
1202496946,37.541209867,-122.018877422,-18.631440,65.853
1202496949,37.540509308,-122.018355817,-18.572674,66.324
1202496952,37.539820818,-122.017838989,-18.514797,66.267
1202496956,37.538907275,-122.017143040,-18.437721,66.109
1202496959,37.538243429,-122.016573909,-18.378906,65.786
1202496962,37.537633226,-122.015972172,-18.321127,64.957
1202496966,37.536876928,-122.015086457,-18.244808,64.240
1202496970,37.536192378,-122.014122790,-18.179182,63.346
1202496974,37.535580248,-122.013077650,-18.111565,62.272
1202496977,37.535157967,-122.012306348,-18.062452,60.510
1202496981,37.534622280,-122.011328599,-18.000185,58.641
1202496985,37.534105201,-122.010413464,-17.941488,56.734
1202496989,37.533609998,-122.009515762,-17.884230,55.420
1202496993,37.533126782,-122.008625353,-17.827650,54.728
1202496997,37.532641721,-122.007727316,-17.770643,54.702
1202497000,37.532270822,-122.007044107,-17.727226,55.267
1202497004,37.531756593,-122.006096869,-17.667030,56.336
1202497007,37.531363230,-122.005368733,-17.620813,57.285
1202497011,37.530819664,-122.004377238,-17.555794,58.397
1202497015,37.530269811,-122.003393203,-17.488880,59.016
1202497018,37.529857338,-122.002654926,-17.438683,59.360
1202497021,37.529439668,-122.001893514,-17.387152,59.878
1202497025,37.528889815,-122.000888608,-17.319666,60.029
1202497028,37.528486394,-122.000149073,-17.270437,60.146
1202497031,37.528073669,-121.999378776,-17.219360,60.678
1202497035,37.527534546,-121.998316454,-17.149714,61.289
1202497038,37.527142105,-121.997526879,-17.098164,61.573
1202497041,37.526752850,-121.996737807,-17.046726,61.818
1202497045,37.526228310,-121.995664337,-16.976881,62.085
1202497049,37.525686337,-121.994567817,-16.905376,62.097
1202497053,37.525134053,-121.993454114,-16.832705,61.484
1202497057,37.524614711,-121.992396486,-16.763836,59.323
1202497060,37.524235765,-121.991692155,-16.717080,56.435
1202497064,37.523715920,-121.990818928,-16.657858,52.893
