프레임 인덱스,차량 ID,위도,경도,East (TM 좌표),North (TM 좌표),차선,차선변경여부
1920,11,36.46198219,127.2768776,224817.8421,429343.1773,1,0
1920,127,36.4624409,127.2764013,224775.0361,429394.1772,1,0
1921,11,36.46196679,127.2768937,224819.2134,429341.5237,1,0
1921,127,36.46242883,127.2764136,224776.224,429392.7506,1,0
1922,11,36.46195138,127.2769096,224820.6807,429339.7686,1,0
1922,127,36.46241554,127.2764272,224777.4473,429391.2803,1,0
1923,11,36.46193465,127.2769266,224822.1576,429338.0237,1,0
1923,127,36.46240106,127.2764421,224778.6695,429389.8115,1,0
1924,11,36.46191952,127.276943,224823.5766,429336.3432,1,0
1924,127,36.46238903,127.2764544,224779.8901,429388.3457,1,0
1925,11,36.46190586,127.2769569,224825.0399,429334.6474,1,0
1925,127,36.46237582,127.2764679,224781.0679,429386.9276,1,0
1926,11,36.46188871,127.2769754,224826.4608,429332.9749,1,0
1926,127,36.46236263,127.2764813,224782.2412,429385.5103,1,0
1927,11,36.46187421,127.2769904,224828.0217,429331.2067,4,0
1927,127,36.46235062,127.2764935,224783.4092,429384.0934,1,0
1928,127,36.46233743,127.2765069,224784.5374,429382.721,1,0
1929,127,36.46232544,127.276519,224785.6998,429381.307,1,0
1930,127,36.4623123,127.2765323,224786.8233,429379.9398,1,0
1931,127,36.46230038,127.2765443,224787.9811,429378.5319,1,0
1932,127,36.46228729,127.2765576,224789.1009,429377.1703,1,0
1933,127,36.46227541,127.2765696,224790.2179,429375.8099,1,0
1934,127,36.46226351,127.2765816,224791.3305,429374.4513,1,0
1935,127,36.46225047,127.2765947,224792.4391,429373.0934,1,0
1936,127,36.46223861,127.2766066,224793.5832,429371.6946,1,0
1937,127,36.46222561,127.2766197,224794.6918,429370.3421,1,0
1938,127,36.46221382,127.2766317,224795.8351,429368.9505,1,0
1939,127,36.4622009,127.2766447,224796.9749,429367.563,1,0
1940,127,36.46218801,127.2766578,224798.1114,429366.1784,1,0
1941,127,36.46217631,127.2766696,224799.2459,429364.7967,1,0
1942,127,36.46216346,127.2766826,224800.3445,429363.4606,1,0
1943,127,36.4621518,127.2766944,224801.4416,429362.1264,1,0
1944,127,36.46214015,127.2767062,224802.5346,429360.7965,1,0
1945,127,36.46212742,127.276719,224803.6569,429359.429,1,0
1946,127,36.46211474,127.2767318,224804.7766,429358.0675,1,0
1947,127,36.46210326,127.2767435,224805.896,429356.7101,1,0
1948,127,36.46209064,127.2767564,224807.0155,429355.3555,1,0
1949,127,36.46207803,127.2767692,224808.1675,429353.9591,1,0
1950,127,36.46206542,127.2767819,224809.2804,429352.6079,1,0
1951,127,36.46205402,127.2767935,224810.3883,429351.2627,1,0
1952,127,36.46204158,127.2768061,224811.4934,429349.9271,1,0
1953,127,36.46202923,127.2768188,224812.6331,429348.5557,1,0
1954,127,36.46201686,127.2768315,224813.7728,429347.1859,1,0
1955,127,36.46200446,127.2768441,224814.8749,429345.8577,1,0
1956,127,36.46199323,127.2768555,224815.9367,429344.5738,1,0
1957,127,36.46198206,127.2768669,224816.9936,429343.2962,1,0
1958,127,36.46196983,127.2768794,224818.0489,429342.0239,1,0
1959,127,36.46195876,127.2768907,224819.1377,429340.7147,1,0
1960,127,36.46194659,127.2769032,224820.2253,429339.4104,1,0
1961,127,36.46193449,127.2769157,224821.3431,429338.0705,1,0
1962,127,36.46192245,127.276928,224822.4576,429336.7356,1,0
1963,127,36.46191041,127.2769404,224823.6036,429335.3635,1,0
1964,127,36.46189731,127.2769539,224824.7142,429334.0357,1,0
1965,127,36.46188646,127.2769651,224825.8211,429332.7141,1,0
1966,127,36.46187459,127.2769773,224826.8581,429331.4798,4,0
1967,127,36.46186386,127.2769885,224827.9267,429330.2109,4,0
1968,127,36.46185208,127.2770007,224828.9947,429328.948,4,0
1969,127,36.46184037,127.2770129,224830.0612,429327.6895,4,0
1970,127,36.46182975,127.277024,224831.0926,429326.4742,4,0
1971,127,36.46181914,127.2770351,224832.1217,429325.2626,4,0
1972,127,36.46180753,127.2770473,224833.149,429324.0561,4,0
1973,127,36.46179705,127.2770583,224834.2056,429322.8185,4,0
1974,127,36.4617856,127.2770704,224835.2615,429321.5875,4,0
1975,127,36.46177417,127.2770825,224836.3184,429320.3592,4,0
1976,127,36.46176377,127.2770936,224837.3792,429319.1313,4,0
1977,127,36.46175232,127.2771057,224838.4393,429317.9033,4,0
1978,127,36.46174089,127.2771179,224839.5326,429316.6388,4,0
1979,127,36.4617295,127.27713,224840.5951,429315.4156,4,0
1980,127,36.46171917,127.2771412,224841.6637,429314.1983,4,0
1981,127,36.4617079,127.2771535,224842.7377,429312.9868,4,0
1982,127,36.46169666,127.2771659,224843.8492,429311.742,4,0
1983,127,36.46168543,127.2771783,224844.9667,429310.4975,4,0
1984,127,36.46167417,127.2771908,224846.0577,429309.2909,4,0
1985,127,36.46166396,127.2772023,224847.1551,429308.0854,4,0
1986,127,36.46165276,127.2772149,224848.2551,429306.8853,4,0
