,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Side,City,County,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition
0,2,2016-03-23 9:29,2016-03-23 15:29,37.74508,-122.40493,37.74705,-122.40378,0.15,Ramp to Army St/Potrero Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-23 9:56,55.9,75,10,Calm,,,Mostly Cloudy
1,2,2016-03-23 16:52,2016-03-23 22:52,37.769009,-122.405144,37.769009,-122.405144,0,At US-101 - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-23 16:56,61,62,10,West,20.7,,Mostly Cloudy
4,2,2016-03-25 15:04,2016-03-25 21:04,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-25 14:56,64,58,10,West,23,,Scattered Clouds
5,2,2016-03-25 15:13,2016-03-25 21:21,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-25 14:56,64,58,10,West,23,,Scattered Clouds
7,3,2016-03-28 7:10,2016-03-28 13:10,37.73706,-122.40286,37.73407,-122.41103,0.492,At US-101 (San Francisco) - Accident. use left lane.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-28 6:56,48.9,74,10,West,18.4,,Partly Cloudy
9,2,2016-03-30 14:07,2016-03-30 20:07,37.808154,-122.476653,37.808156,-122.476656,0,At Golden Gate Brg (San Francisco) - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-30 13:56,60.1,67,10,West,16.1,,Partly Cloudy
10,2,2016-03-31 7:56,2016-03-31 13:56,37.731995,-122.415327,37.732032,-122.41516,0.009,At US-101 (San Francisco) - Accident. Center lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-03-31 7:56,55,83,10,West,5.8,,Overcast
13,2,2016-04-01 15:05,2016-04-01 21:05,37.77534,-122.40601,37.77299,-122.40682,0.168,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-01 14:56,61,67,10,West,15,,Partly Cloudy
15,2,2016-04-04 12:14,2016-04-04 18:14,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-04 11:56,62.1,65,10,West,20.7,,Partly Cloudy
18,2,2016-04-06 6:21,2016-04-06 12:21,37.766264,-122.404906,37.767461,-122.405,0.083,At US-101 - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-06 5:56,59,64,10,SE,5.8,,Clear
20,2,2016-04-06 14:51,2016-04-06 20:51,37.794368,-122.469533,37.794361,-122.469533,0,At General Douglas MacArthur Tunl - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-06 14:56,82,28,10,North,3.5,,Mostly Cloudy
22,2,2016-04-07 9:57,2016-04-07 15:57,37.73139,-122.42325,37.73186,-122.41627,0.383,At Alemany Blvd - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-07 9:56,63,75,10,NNE,10.4,,Mostly Cloudy
24,2,2016-04-11 8:48,2016-04-11 14:48,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-11 8:56,55.9,84,10,SSE,8.1,,Mostly Cloudy
28,2,2016-04-12 6:19,2016-04-12 12:19,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-12 5:56,55,72,10,WSW,10.4,,Mostly Cloudy
29,2,2016-04-12 7:52,2016-04-12 13:52,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-12 7:56,55,74,9,West,23,,Overcast
30,2,2016-04-12 16:23,2016-04-12 22:23,37.73221,-122.43226,37.73022,-122.43925,0.406,At Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-12 15:56,61,72,10,West,19.6,,Mostly Cloudy
31,2,2016-04-13 8:42,2016-04-13 14:42,37.743816,-122.405713,37.744505,-122.405255,0.054,At Army St/Potrero Ave - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-13 8:56,55.9,80,10,West,11.5,,Partly Cloudy
36,2,2016-04-14 12:50,2016-04-14 18:50,37.727478,-122.402803,37.726443,-122.402449,0.074,At Paul Ave - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-14 12:56,62.1,60,10,West,20.7,,Partly Cloudy
37,2,2016-04-14 14:35,2016-04-14 20:35,37.787404,-122.472422,37.7872,-122.4725,0.015,At Presidio of San Francisco - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-14 14:56,63,63,10,West,26.5,,Partly Cloudy
38,2,2016-04-14 17:23,2016-04-14 23:23,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-14 16:56,61,60,10,West,31.1,,Partly Cloudy
40,2,2016-04-18 13:29,2016-04-18 19:29,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-18 13:56,73.9,46,10,North,6.9,,Scattered Clouds
42,2,2016-04-19 8:30,2016-04-19 14:30,37.725626,-122.401845,37.725132,-122.401681,0.035,At Bacon St - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-19 8:56,64.9,50,10,NE,3.5,,Partly Cloudy
43,2,2016-04-19 14:59,2016-04-19 20:59,37.70829,-122.46887,37.70029,-122.47177,0.575,Between St Charles Ave and CA-1/John Daly Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-19 14:56,79,44,10,WNW,11.5,,Mostly Cloudy
