Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,County
Fog,Moderate,2016-08-15 3:56,2016-08-15 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Cold,Severe,2016-10-12 21:56,2016-10-12 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Cold,Severe,2016-10-14 1:56,2016-10-14 2:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-14 12:56,2016-10-14 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-14 14:56,2016-10-14 15:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-14 16:56,2016-10-14 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-10-14 19:56,2016-10-14 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-10-14 21:56,2016-10-14 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-14 22:56,2016-10-15 0:36,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-16 1:56,2016-10-16 5:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-16 6:56,2016-10-16 7:45,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-16 17:56,2016-10-16 18:36,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-10-16 18:36,2016-10-16 19:14,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-16 19:14,2016-10-16 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-10-16 19:56,2016-10-16 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-10-16 22:56,2016-10-16 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-17 3:53,2016-10-17 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-24 22:56,2016-10-24 23:24,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-10-24 23:24,2016-10-24 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-25 1:56,2016-10-25 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-25 4:14,2016-10-25 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-25 12:56,2016-10-25 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-27 9:56,2016-10-27 10:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-10-28 0:41,2016-10-28 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 0:56,2016-10-28 1:49,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 2:56,2016-10-28 3:54,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-10-28 3:54,2016-10-28 4:24,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 4:24,2016-10-28 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 5:56,2016-10-28 7:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-10-28 7:56,2016-10-28 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 9:56,2016-10-28 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-28 15:56,2016-10-28 16:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-29 11:56,2016-10-29 12:36,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-30 16:56,2016-10-30 18:18,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-10-30 18:18,2016-10-30 18:39,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Heavy,2016-10-30 18:39,2016-10-30 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-31 1:56,2016-10-31 2:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-10-31 9:56,2016-10-31 10:15,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-01 3:56,2016-11-01 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-06 15:20,2016-11-06 15:27,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-13 17:22,2016-11-13 17:34,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Severe,2016-11-13 19:33,2016-11-13 19:41,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Severe,2016-11-13 19:54,2016-11-13 20:35,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-13 20:35,2016-11-13 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-14 20:56,2016-11-14 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-14 22:56,2016-11-14 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-15 21:42,2016-11-15 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-19 16:56,2016-11-19 17:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-11-19 17:56,2016-11-19 19:15,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-19 19:56,2016-11-19 21:35,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
