Time,Longitude,Description,Latitude,Duration
01/01/2022 00:36:00,-122.392571,1125-Traffic Hazard,37.784858,8
01/01/2022 02:19:00,-122.423393,1125-Traffic Hazard,37.771786,21
01/01/2022 02:57:00,-122.366974,1183-Trfc Collision-Unkn Inj,37.808253,117
01/01/2022 05:03:00,-122.395206,1183-Trfc Collision-Unkn Inj,37.667073,79
01/01/2022 05:56:00,-122.367026,1125-Traffic Hazard,37.808318,151
01/01/2022 12:17:00,-122.3201,1125-Traffic Hazard,37.822692,20
01/01/2022 13:34:00,-122.405846,1179-Trfc Collision-1141 Enrt,37.76181,55
01/01/2022 14:11:00,-122.408198,1125A-Animal Hazard,37.633795,3
01/01/2022 14:31:00,-122.3201,1125-Traffic Hazard,37.822692,2
01/01/2022 16:58:00,-122.408198,FIRE-Report of Fire,37.633795,2
01/01/2022 17:44:00,-122.470084,1183-Trfc Collision-Unkn Inj,37.706739,24
01/01/2022 19:12:00,-122.463168,1183-Trfc Collision-Unkn Inj,37.659482,24
01/01/2022 19:48:00,-122.36171,1125-Traffic Hazard,37.813098,2
01/01/2022 20:27:00,-122.393183,1125-Traffic Hazard,37.701061,2
01/01/2022 22:35:00,-122.367026,1125-Traffic Hazard,37.808318,5
01/02/2022 03:53:00,-122.419844,1179-Trfc Collision-1141 Enrt,37.632747,5
01/02/2022 10:16:00,-122.401165,1182-Trfc Collision-No Inj,37.778081,6
01/02/2022 12:25:00,-122.467495,CFIRE-Car Fire,37.672859,
01/02/2022 12:38:00,-122.463168,1125-Traffic Hazard,37.659482,95
01/02/2022 12:37:00,-122.3929,20002-Hit and Run No Injuries,37.61083,1
01/02/2022 13:19:00,-122.366974,20002-Hit and Run No Injuries,37.808253,19
01/02/2022 13:27:00,-122.39494,FIRE-Report of Fire,37.708823,9
01/02/2022 14:13:00,-122.367026,1125-Traffic Hazard,37.808318,61
01/02/2022 14:39:00,-122.393183,1125-Traffic Hazard,37.701061,0
01/02/2022 15:29:00,-122.389859,1182-Trfc Collision-No Inj,37.78699,0
01/02/2022 18:08:00,-122.449624,1125-Traffic Hazard,37.645905,34
01/02/2022 21:32:00,-122.367026,1125-Traffic Hazard,37.808318,7
01/02/2022 21:42:00,-122.405578,FIRE-Report of Fire,37.743949,21
01/02/2022 21:51:00,-122.376082,1179-Trfc Collision-1141 Enrt,37.599889,3
01/03/2022 01:55:00,-122.405578,1125-Traffic Hazard,37.743949,21
01/03/2022 05:51:00,-122.389859,1125-Traffic Hazard,37.78699,4
01/03/2022 06:40:00,-122.405867,1125-Traffic Hazard,37.768215,13
01/03/2022 07:00:00,-122.40526,1125-Traffic Hazard,37.766461,1
01/03/2022 10:42:00,-122.392246,1125-Traffic Hazard,37.759824,99
01/03/2022 11:19:00,-122.366974,1125-Traffic Hazard,37.808253,25
01/03/2022 11:26:00,-122.406621,1125-Traffic Hazard,37.772168,33
01/03/2022 13:09:00,-122.451381,1125-Traffic Hazard,37.714126,4
01/03/2022 13:26:00,-122.395206,1125A-Animal Hazard,37.667073,32
01/03/2022 15:21:00,-122.391746,1125-Traffic Hazard,37.693391,6
01/03/2022 16:35:00,-122.384004,1125-Traffic Hazard,37.604779,8
01/03/2022 17:26:00,-122.395498,1184-Provide Traffic Control,37.710191,39
01/03/2022 17:38:00,-122.391746,1125-Traffic Hazard,37.693391,2
01/03/2022 20:07:00,-122.406002,1125-Traffic Hazard,37.643058,8
01/03/2022 20:10:00,-122.414904,1125-Traffic Hazard,37.732277,68
01/03/2022 20:35:00,-122.366974,1125-Traffic Hazard,37.808253,38
01/03/2022 20:43:00,-122.366974,20002-Hit and Run No Injuries,37.808253,21
01/03/2022 21:31:00,-122.361552,1125-Traffic Hazard,37.813697,18
01/03/2022 21:37:00,-122.471982,1183-Trfc Collision-Unkn Inj,37.701458,16
01/03/2022 21:50:00,-122.366991,1125-Traffic Hazard,37.808203,3
01/03/2022 22:14:00,-122.41541,WW-Wrong Way Driver,37.731979,47
01/04/2022 01:12:00,-122.397252,1183-Trfc Collision-Unkn Inj,37.78173,26
01/04/2022 04:41:00,-122.392246,CFIRE-Car Fire,37.759824,34
01/04/2022 07:47:00,-122.430734,1125-Traffic Hazard,37.732175,7
01/04/2022 08:08:00,-122.317352,1182-Trfc Collision-No Inj,37.82415,24
01/04/2022 11:01:00,-122.471279,1125-Traffic Hazard,37.700407,64
01/04/2022 12:12:00,-122.402997,1125-Traffic Hazard,37.752501,3
01/04/2022 13:30:00,-122.403812,1183-Trfc Collision-Unkn Inj,37.660428,32
01/04/2022 15:11:00,-122.377806,1125-Traffic Hazard,37.798183,12
01/04/2022 15:36:00,-122.414904,1125-Traffic Hazard,37.732277,12
01/04/2022 21:04:00,-122.407989,1125-Traffic Hazard,37.73864,15
01/04/2022 21:12:00,-122.393183,CZP-Assist with Construction,37.701061,407
01/04/2022 23:47:00,-122.401828,CZP-Assist with Construction,37.626965,140
01/05/2022 01:05:00,-122.411137,1183-Trfc Collision-Unkn Inj,37.769462,36
01/05/2022 02:10:00,-122.402997,1125-Traffic Hazard,37.752501,5
01/05/2022 02:31:00,-122.402997,DOT-Request CalTrans Notify,37.752501,1
01/05/2022 03:26:00,-122.388248,1182-Trfc Collision-No Inj,37.678251,28
01/05/2022 05:50:00,-122.366991,1125-Traffic Hazard,37.808203,27
01/05/2022 06:27:00,-122.333653,1125-Traffic Hazard,37.821537,236
01/05/2022 07:49:00,-122.39682,1125-Traffic Hazard,37.742983,24
01/05/2022 07:59:00,-122.405846,1181-Trfc Collision-Minor Inj,37.76181,11
01/05/2022 08:22:00,-122.392638,1125-Traffic Hazard,37.761351,8
01/05/2022 08:20:00,-122.366991,1125-Traffic Hazard,37.808203,40
01/05/2022 08:40:00,-122.367026,1125-Traffic Hazard,37.808318,112
01/05/2022 08:47:00,-122.439501,1125-Traffic Hazard,37.729942,1
01/05/2022 09:54:00,-122.403812,1125-Traffic Hazard,37.660428,11
01/05/2022 13:11:00,-122.405389,1182-Trfc Collision-No Inj,37.658645,48
01/05/2022 13:27:00,-122.405389,1125-Traffic Hazard,37.658645,4
01/05/2022 14:21:00,-122.3201,1183-Trfc Collision-Unkn Inj,37.822692,60
01/05/2022 14:29:00,-122.405846,1125-Traffic Hazard,37.76181,16
01/05/2022 14:54:00,-122.414821,1125-Traffic Hazard,37.634169,19
01/05/2022 14:51:00,-122.406002,1179-Trfc Collision-1141 Enrt,37.643058,175
01/05/2022 14:50:00,-122.392571,1182-Trfc Collision-No Inj,37.784858,34
01/05/2022 15:00:00,-122.4278,1125-Traffic Hazard,37.623624,51
01/05/2022 15:40:00,-122.405389,1125-Traffic Hazard,37.658645,8
01/05/2022 16:51:00,-122.423836,1125-Traffic Hazard,37.731355,29
01/05/2022 17:19:00,-122.471279,1182-Trfc Collision-No Inj,37.700407,3
01/05/2022 17:47:00,-122.467303,1179-Trfc Collision-1141 Enrt,37.709316,55
01/05/2022 18:01:00,-122.411985,1179-Trfc Collision-1141 Enrt,37.634289,45
01/05/2022 18:08:00,-122.47164,1183-Trfc Collision-Unkn Inj,37.698587,1
01/05/2022 18:11:00,-122.451381,1183-Trfc Collision-Unkn Inj,37.714126,96
01/05/2022 18:25:00,-122.386544,1183-Trfc Collision-Unkn Inj,37.606922,61
01/05/2022 18:33:00,-122.439969,1182-Trfc Collision-No Inj,37.729924,0
01/05/2022 18:27:00,-122.439501,1179-Trfc Collision-1141 Enrt,37.729942,15
01/05/2022 18:35:00,-122.471279,1125-Traffic Hazard,37.700407,35
01/05/2022 18:55:00,-122.423393,1125-Traffic Hazard,37.771786,24
01/05/2022 19:37:00,-122.40526,1125-Traffic Hazard,37.766461,31
01/05/2022 22:56:00,-122.439692,1179-Trfc Collision-1141 Enrt,37.636879,29
01/05/2022 23:51:00,-122.404835,1125-Traffic Hazard,37.765283,12
01/06/2022 03:08:00,-122.361552,1125-Traffic Hazard,37.813697,9
01/06/2022 06:40:00,-122.411985,1125-Traffic Hazard,37.634289,49
01/06/2022 09:11:00,-122.470259,1125-Traffic Hazard,37.692917,5
01/06/2022 12:42:00,-122.437211,1125-Traffic Hazard,37.632158,25
01/06/2022 13:56:00,-122.405622,1125-Traffic Hazard,37.733096,18
01/06/2022 13:53:00,-122.397252,1183-Trfc Collision-Unkn Inj,37.78173,15
01/06/2022 14:10:00,-122.405622,1183-Trfc Collision-Unkn Inj,37.733096,19
01/06/2022 14:28:00,-122.379065,1183-Trfc Collision-Unkn Inj,37.601574,3
01/06/2022 15:38:00,-122.485252,1125-Traffic Hazard,37.665539,4
01/06/2022 16:11:00,-122.405883,1125-Traffic Hazard,37.641874,1
01/06/2022 17:21:00,-122.4278,1183-Trfc Collision-Unkn Inj,37.623624,63
01/06/2022 18:51:00,-122.423304,FIRE-Report of Fire,37.771852,52
01/06/2022 20:34:00,-122.393183,CZP-Assist with Construction,37.701061,58
01/06/2022 23:40:00,-122.405686,CZP-Assist with Construction,37.641319,0
01/07/2022 01:12:00,-122.406002,WW-Wrong Way Driver,37.643058,3
01/07/2022 02:01:00,-122.412227,1183-Trfc Collision-Unkn Inj,37.73313,60
01/07/2022 03:35:00,-122.392638,1125A-Animal Hazard,37.761351,12
01/07/2022 04:54:00,-122.389859,1179-Trfc Collision-1141 Enrt,37.78699,43
01/07/2022 07:34:00,-122.400645,1125-Traffic Hazard,37.62345,24
01/07/2022 08:23:00,-122.407989,1125-Traffic Hazard,37.73864,2
01/07/2022 08:38:00,-122.388633,1182-Trfc Collision-No Inj,37.788183,40
01/07/2022 09:20:00,-122.397252,1183-Trfc Collision-Unkn Inj,37.78173,6
01/07/2022 10:41:00,-122.465864,BREAK-Traffic Break,37.667714,40
01/07/2022 12:17:00,-122.396201,1125-Traffic Hazard,37.767635,48
01/07/2022 12:32:00,-122.402997,1125-Traffic Hazard,37.752501,2
01/07/2022 12:35:00,-122.361552,1125-Traffic Hazard,37.813697,12
01/07/2022 13:34:00,-122.366974,1125-Traffic Hazard,37.808253,1
01/07/2022 15:39:00,-122.397252,1125-Traffic Hazard,37.78173,18
01/07/2022 16:00:00,-122.406341,1125-Traffic Hazard,37.644258,10
01/07/2022 17:28:00,-122.406733,1183-Trfc Collision-Unkn Inj,37.734974,10
01/07/2022 18:12:00,-122.401983,1182-Trfc Collision-No Inj,37.778062,36
01/07/2022 18:47:00,-122.402525,1182-Trfc Collision-No Inj,37.737179,7
01/07/2022 22:10:00,-122.428259,1183-Trfc Collision-Unkn Inj,37.629628,3
01/07/2022 22:47:00,-122.40655,1183-Trfc Collision-Unkn Inj,37.772948,31
01/07/2022 23:50:00,-122.389859,20002-Hit and Run No Injuries,37.78699,41
01/08/2022 01:35:00,-122.407848,1125-Traffic Hazard,37.740299,19
01/08/2022 03:04:00,-122.38547,1179-Trfc Collision-1141 Enrt,37.606,150
01/08/2022 09:03:00,-122.470568,1125-Traffic Hazard,37.690867,4
01/08/2022 11:38:00,-122.402997,1125A-Animal Hazard,37.752501,21
01/08/2022 11:51:00,-122.390699,1183-Trfc Collision-Unkn Inj,37.688811,113
01/08/2022 12:37:00,-122.404835,1182-Trfc Collision-No Inj,37.765283,21
01/08/2022 12:47:00,-122.402997,1183-Trfc Collision-Unkn Inj,37.752501,35
01/08/2022 13:05:00,-122.394191,WW-Wrong Way Driver,37.704218,3
01/08/2022 13:11:00,-122.408081,1183-Trfc Collision-Unkn Inj,37.740032,14
01/08/2022 14:19:00,-122.40223,1125-Traffic Hazard,37.737483,18
01/08/2022 14:15:00,-122.405622,1182-Trfc Collision-No Inj,37.733096,31
01/08/2022 14:27:00,-122.36171,1182-Trfc Collision-No Inj,37.813098,47
01/08/2022 17:07:00,-122.402749,1125A-Animal Hazard,37.727319,39
01/08/2022 17:53:00,-122.406002,1183-Trfc Collision-Unkn Inj,37.643058,183
01/08/2022 18:28:00,-122.367026,1125-Traffic Hazard,37.808318,26
01/09/2022 03:41:00,-122.405578,1183-Trfc Collision-Unkn Inj,37.743949,8
01/09/2022 08:25:00,-122.515268,1125-Traffic Hazard,37.572117,9
01/09/2022 10:03:00,-122.403812,1125-Traffic Hazard,37.660428,25
01/09/2022 11:05:00,-122.366991,1125-Traffic Hazard,37.808203,17
01/09/2022 16:26:00,-122.410764,1183-Trfc Collision-Unkn Inj,37.769291,277
01/09/2022 16:55:00,-122.485605,1125-Traffic Hazard,37.664787,63
01/09/2022 17:12:00,-122.467303,1125-Traffic Hazard,37.709316,6
01/09/2022 17:10:00,-122.467303,1125-Traffic Hazard,37.709316,23
01/09/2022 19:34:00,-122.402997,1179-Trfc Collision-1141 Enrt,37.752501,64
01/09/2022 21:27:00,-122.377806,CZP-Assist with Construction,37.798183,0
