,cd
M_0821_0159,0.14231675364504873
M_0821_0190,0.06551631220548923
M_0015_0159,0.1166687962285629
M_0852_0191,0.0
M_0191_0852,0.10682370943534517
M_0191_0038,0.11609581977856372
M_0038_0191,0.20552647786739753
M_0011_0308,0.07543348743851624
M_0308_0011,0.0501091781895008
M_0037_0779_0039_U,0.11465382455435333
M_0037_0038,0.15266607344438943
M_0038_0037,0.07182692004255294
M_0039_0038,0.058767422998563176
M_0323_0032,0.012309338527155284
M_0032_0323,0.06955418192927393
M_0108_0478_0479,0.062268814491102185
