,M_0038_0191,M_0191_0038,M_0039_0038,M_0037_0038,M_0038_0037,M_0108_0478_0479,M_0032_0323,M_0323_0032,M_0015_0159,M_0821_0159,M_0821_0190,M_0011_0308,M_0308_0011,M_0852_0191,M_0191_0852,M_0037_0779_0039_U
M_0038_0191,0.0,3.9564589427075187,3.5397511065213525,4.20545445093724,4.240126941301798,4.882732576396626,4.751127946369389,5.322994999097268,4.609852145333696,4.320795965968139,3.2057250280289926,3.567150824778272,2.9827790448062066,4.371240595694521,4.14041204052364,3.996895366817342
M_0191_0038,3.956458942707526,0.0,4.038382759966167,4.66932939439494,4.717820823333395,5.4221521649260085,5.2936029490100145,5.885192367227744,5.156266822888891,4.838983529994111,3.6698291406400196,4.053940292896785,3.4016787948281637,4.904680374911703,4.85327977810871,4.252572490704629
M_0039_0038,3.539751106521363,4.0383827599661775,0.0,4.199296956618471,4.234451929043087,4.878194733433404,4.754287386359322,5.32209028938614,4.637134867059184,4.330660436120806,3.2956329876396113,3.633486896212018,2.968517132701222,4.394047875093173,4.194129660868646,3.8163166181215518
M_0037_0038,4.205454450937226,4.669329394394949,4.199296956618457,0.0,5.001374128159396,5.722264041525271,5.605889731100458,6.166798503242676,5.417679590121486,5.097576532384384,3.8297874796343745,4.231676241018847,3.7050018965575937,5.15440179164206,4.859980766271121,4.509736095150462
M_0038_0037,4.240126941301807,4.717820823333406,4.23445192904309,5.0013741281594015,0.0,5.747039766029127,5.5946464132907,6.196599576344809,5.454402286476212,5.119753878759834,3.8594603191484698,4.2525345078867405,3.7421979888403563,5.165244277569128,4.906438474168938,4.535434271080375
M_0108_0478_0479,4.8827325763966245,5.422152164926007,4.878194733433406,5.722264041525271,5.74703976602912,0.0,6.357492198643573,7.002675637957459,6.215215098744281,5.890653007656473,4.501003005773272,4.931973584702791,4.449277109836032,5.911135809596061,5.6292230043423235,5.183893688118811
M_0032_0323,4.751127946369386,5.293602949010016,4.754287386359317,5.605889731100463,5.594646413290693,6.35749219864357,0.0,6.812524718741088,6.033271678746226,5.702602580535618,4.383622437543876,4.817752621824682,4.268296123284504,5.780135597229439,5.476268096943558,5.048457170168694
M_0323_0032,5.3229949990972765,5.885192367227753,5.322090289386149,6.166798503242678,6.196599576344804,7.0026756379574575,6.812524718741088,0.0,6.67128855847835,6.306359300482658,4.94485414278993,5.400313462105259,4.87993270546561,6.368472957106501,6.077901751644447,5.624720955074427
M_0015_0159,4.6098521453336945,5.156266822888893,4.637134867059182,5.417679590121486,5.454402286476199,6.215215098744279,6.033271678746225,6.671288558478345,0.0,5.557432930433494,4.249298599732336,4.668857357751782,4.133245707439922,5.6133548360014665,5.338045666044168,4.909684730793682
M_0821_0159,4.320795965968144,4.838983529994109,4.330660436120783,5.0975765323843785,5.119753878759836,5.89065300765647,5.702602580535631,6.306359300482647,5.557432930433494,0.0,3.9553355611935253,4.372396344386435,3.8227438383024257,5.278087598576031,5.0647239761232274,4.616706374371615
M_0821_0190,3.205725028029021,3.669829140640016,3.295632987639597,3.8297874796344082,3.859460319148475,4.50100300577329,4.383622437543874,4.944854142789929,4.249298599732343,3.9553355611935253,0.0,3.455688100739846,2.6343564200916116,4.012783882596279,3.823384543699456,3.4678010541234734
M_0011_0308,3.567150824778283,4.05394029289679,3.6334868962120304,4.231676241018884,4.252534507886744,4.931973584702797,4.817752621824684,5.400313462105264,4.668857357751789,4.372396344386439,3.4556881007398355,0.0,3.002271343726231,4.422611458846897,4.220855635787296,3.8369915288017262
M_0308_0011,2.9827790448061284,3.4016787948281566,2.968517132701222,3.705001896557592,3.742197988840255,4.449277109836059,4.268296123284525,4.8799327054656345,4.1332457074399365,3.822743838302433,2.634356420091553,3.0022713437262647,0.0,3.8677091572082176,3.607582210218327,3.2380344927876976
M_0852_0191,4.371240595694508,4.904680374911686,4.394047875093155,5.1544017916420515,5.165244277569121,5.9111358095960576,5.780135597229446,6.368472957106503,5.6133548360014665,5.2780875985760165,4.012783882596262,4.422611458846888,3.8677091572082407,0.0,5.086640372375436,4.670260375873662
M_0191_0852,4.140412040523642,4.853279778108708,4.194129660868646,4.859980766271116,4.906438474168942,5.629223004342318,5.4762680969435635,6.077901751644438,5.3380456660441755,5.0647239761232346,3.8233845436994613,4.2208556357872835,3.6075822102183217,5.086640372375436,0.0,4.445661950462489
M_0037_0779_0039_U,3.9968953668173475,4.25257249070462,3.816316618121525,4.509736095150464,4.535434271080366,5.183893688118802,5.048457170168682,5.624720955074421,4.909684730793677,4.6167063743716135,3.4678010541234396,3.8369915288016854,3.238034492787719,4.670260375873674,4.445661950462476,0.0
