detid,long,lat
M_0038_0191,11.3818306,47.2580095
M_0191_0038,11.381901,47.2580582
M_0039_0038,11.3902963,47.2560822
M_0037_0038,11.384545,47.2573246
M_0038_0037,11.3853597,47.2570616
M_0108_0478_0479,11.4095599,47.2806201
M_0032_0323,11.3976938,47.2568804
M_0323_0032,11.3976006,47.2569064
M_0015_0159,11.3749192,47.2641262
M_0821_0159,11.3757742,47.2622532
M_0821_0190,11.376678,47.2607988
M_0011_0308,11.385579,47.2632389
M_0308_0011,11.3856111,47.2632216
M_0852_0191,11.3811225,47.2594062
M_0191_0852,11.3811922,47.2593935
M_0037_0779_0039_U,11.3842901,47.2572445
