,cd
M_0038_0037,0.010925893509527827
M_0037_0038,0.007993768946972735
M_0037_0779_0039_U,0.020513056357607314
M_0191_0038,0.012703104669652524
M_0038_0191,0.03154409813171263
M_0039_0038,0.027233350434078672
M_0191_0852,0.02682615457942113
M_0852_0191,0.011454137539222123
M_0308_0011,0.013329556423443306
M_0011_0308,0.03532626991073626
M_0821_0190,0.022049825938344217
M_0323_0032,0.0030883967947786177
M_0821_0159,0.010497385674686055
M_0032_0323,0.01910818897833918
M_0015_0159,0.012427365670387654
M_0108_0478_0479,0.0
