,M_0038_0191,M_0191_0038,M_0039_0038,M_0037_0038,M_0038_0037,M_0108_0478_0479,M_0032_0323,M_0323_0032,M_0015_0159,M_0821_0159,M_0821_0190,M_0011_0308,M_0308_0011,M_0852_0191,M_0191_0852,M_0037_0779_0039_U
M_0038_0191,0.0,0.514099652788993,0.7866134417025847,0.6506264438235907,0.6507309982926284,0.9691135522590395,0.827009359036313,0.8475656282850554,0.6128894771606808,0.738054704726959,0.6374626756077437,0.6905445433577131,0.512288353255097,0.5685181394380305,0.6443360930376736,0.9578701529079363
M_0191_0038,0.5140996527889903,0.0,0.47061631678361726,0.5060444335437975,0.5122612276892808,0.56639152331616,0.5180557403034416,0.5237652150220975,0.4974902353211381,0.5083313244414249,0.44586895402170335,0.47437146499347804,0.3423800550349845,0.4944495409463112,0.5348936405579816,0.5011298238480428
M_0039_0038,0.7866134417025892,0.47061631678361726,0.0,0.5900536077796175,0.5613883655571588,0.89782795603199,0.7435738653080861,0.8234801632644473,0.5386599949463431,0.7019271493751584,0.6399760064750004,0.641623485978847,0.43425855165994953,0.5046850060434562,0.6334375802912184,0.7885770086554298
M_0037_0038,0.6506264438236022,0.5060444335438019,0.5900536077796201,0.0,0.5795552885709774,0.7325457275925511,0.6732896862334896,0.7051720667756611,0.5664464682374137,0.6122595568644362,0.5438676111023852,0.573225734124498,0.44490717322425377,0.5488953923453384,0.5479176956929614,0.6219821553126703
M_0038_0037,0.6507309982926675,0.5122612276892893,0.5613883655571463,0.5795552885709627,0.0,0.701030678132966,0.6595605324259521,0.6503584481759432,0.6900922476396376,0.5753220545814068,0.5468553828344538,0.5879309621179365,0.41732267921845345,0.6410889021830295,0.571689133368082,0.6095482283366112
M_0108_0478_0479,0.9691135522590448,0.5663915233161627,0.8978279560319908,0.7325457275925431,0.7010306781329776,0.0,0.9360494976620126,1.1927535371535045,0.659024754156567,0.8749946946981457,0.7658231712265802,0.7803499385588188,0.5600500698118758,0.6151412403153915,0.7341606114016104,0.9508090644224176
M_0032_0323,0.8270093590363139,0.5180557403034425,0.7435738653080843,0.673289686233487,0.6595605324259672,0.9360494976620144,0.0,0.9359853147513153,0.635573682493014,0.7425586416875798,0.6683505484894847,0.7031962582767624,0.46067993836970444,0.6343175260677865,0.7339279897272837,0.8117949035267213
M_0323_0032,0.8475656282850679,0.5237652150220984,0.82348016326445,0.7051720667756576,0.6503584481759574,1.1927535371535054,0.9359853147513126,0.0,0.6143791682298385,0.775543058908974,0.7308893491756216,0.7756566628338892,0.4694615621907392,0.586082978237338,0.7154103771483351,0.8332758820283241
M_0015_0159,0.6128894771607163,0.49749023532115055,0.5386599949463413,0.5664464682374093,0.6900922476396625,0.6590247541565679,0.6355736824930132,0.6143791682298358,0.0,0.555234337190694,0.5044849453188935,0.5567276754185522,0.41757860860801177,0.6257546885037075,0.5640759655036831,0.5842247566208241
M_0821_0159,0.738054704726959,0.5083313244414249,0.7019271493751611,0.6122595568644345,0.5753220545814188,0.8749946946981457,0.7425586416875753,0.7755430589089696,0.5552343371906976,0.0,0.6239354893488089,0.6070110765963319,0.4532764441984365,0.5327541620569747,0.6738918707254506,0.7604155867779641
M_0821_0190,0.6374626756077473,0.44586895402170335,0.6399760064750004,0.5438676111023852,0.5468553828344667,0.7658231712265775,0.6683505484894865,0.7308893491756243,0.5044849453188953,0.6239354893488098,0.0,0.7516202885041299,0.3617156397218557,0.49740033282229845,0.5725512135338504,0.6651472104077625
M_0011_0308,0.6905445433577273,0.4743714649934816,0.6416234859788497,0.5732257341244944,0.5879309621179485,0.7803499385588135,0.7031962582767535,0.7756566628338875,0.5567276754185575,0.6070110765963337,0.7516202885041254,0.0,0.37097324675768073,0.5413280935166966,0.6111452465725713,0.641257923555929
M_0308_0011,0.512288353255089,0.3423800550349818,0.43425855165994065,0.44490717322424933,0.4173226792184277,0.5600500698118722,0.46067993836969734,0.4694615621907312,0.4175786086079807,0.4532764441984347,0.36171563972185483,0.3709732467576763,0.0,0.37469784416517493,0.36830085680620783,0.49916223759079914
M_0852_0191,0.5685181394380625,0.4944495409463192,0.5046850060434465,0.5488953923453321,0.6410889021830468,0.6151412403153951,0.6343175260677953,0.5860829782373327,0.6257546885037208,0.5327541620569729,0.4974003328222931,0.5413280935166886,0.37469784416519447,0.0,0.5438347203445937,0.5432175311895513
M_0191_0852,0.6443360930376807,0.5348936405579807,0.6334375802912184,0.5479176956929588,0.5716891333681016,0.7341606114016068,0.733927989727281,0.7154103771483378,0.5640759655036938,0.6738918707254515,0.5725512135338495,0.6111452465725677,0.36830085680621316,0.5438347203446026,0.0,0.6817298976914139
M_0037_0779_0039_U,0.9578701529079443,0.5011298238480437,0.788577008655428,0.6219821553126677,0.6095482283366258,0.9508090644224221,0.8117949035267178,0.8332758820283241,0.5842247566208347,0.7604155867779632,0.6651472104077643,0.6412579235559317,0.49916223759080003,0.5432175311895575,0.6817298976914139,0.0
