,M_0038_0191,M_0191_0038,M_0039_0038,M_0037_0038,M_0038_0037,M_0108_0478_0479,M_0032_0323,M_0323_0032,M_0015_0159,M_0821_0159,M_0821_0190,M_0011_0308,M_0308_0011,M_0852_0191,M_0191_0852,M_0037_0779_0039_U
M_0038_0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0191_0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0039_0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0037_0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0038_0037,0.0,2.983285835838666,0.0,2.8858250309402047,0.0,0.0,0.0,0.0,0.0,4.443387386187545,0.0,0.0,0.0,0.0,0.0,0.0
M_0108_0478_0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15604414597466618,0.0,3.7909585215012,0.0,0.0,0.0,0.0,0.0,0.0
M_0032_0323,3.780276897098902,3.6651977501230437,4.569631860378982,3.430267230766889,0.0,1.9739019743151363,0.0,2.1503219633129818,0.0,2.2476727992002883,3.549814077967587,1.222649748695263,7.300026514261803,0.0,2.3238752181272693,3.6974718640058586
M_0323_0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0015_0159,3.5146668665330694,2.4090598948676103,0.0,0.0,0.0,2.966207523130914,0.0,3.3146887958248836,0.0,3.749631771580158,0.0,2.736355321879799,0.0,0.0,0.0,0.0
M_0821_0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0821_0190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0011_0308,3.2065834917024825,0.0,0.0,0.0,0.0,0.0,0.0,1.143215831873467,0.0,0.663872208462041,0.0,0.0,0.0,0.0,0.0,0.0
M_0308_0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_0852_0191,3.310509680176283,0.40233720084181634,4.173330682335925,0.36826062648856234,0.0,3.0685238196802187,1.2960325115624542,3.4904359558365394,0.0,4.436220399171596,4.238830892770007,3.078464047005751,7.437561715813897,0.0,4.047362600078859,3.826163424360379
M_0191_0852,3.8593501110496433,0.0,4.74076329115528,0.0,0.0,0.0,0.0,0.6206807126016703,0.0,0.0,3.5528464633294217,0.0,0.0,0.0,0.0,0.0
M_0037_0779_0039_U,0.0,0.0,1.3761010273044787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.314715385840795,0.0,0.0,0.0
