,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
N06691U,0.0,2.82480813246456,3.6704682888390243,3.6743420044895174,3.433642193297943,3.7909706067362716,2.851326195711854,3.6147286012376805,3.8468036514508785,2.3922378895145533
N06731X,2.8248081324645655,0.0,3.1234362996559657,3.4926578984500614,3.2862011874216144,3.5390307241204075,2.5990024682642945,3.4703634086658965,3.5813709104814775,2.228352566691971
N06731Y,3.6704682888390243,3.1234362996559586,0.0,4.01451249241826,3.815092673494231,4.153699041364445,3.216818374441403,3.988443249556335,4.169423206661068,2.632683478135597
N26151X,3.6743420044895316,3.492657898450056,4.014512492418263,0.0,4.2635721298973115,4.534589942435693,3.359438107229341,4.738465620945051,4.578709584295936,2.7901551018454134
N29121G,3.4336421932979553,3.286201187421602,3.8150926734942363,4.263572129897324,0.0,4.4613800270498265,3.209158242000382,4.246379243362794,4.483028435946642,2.565954489779381
N29131B,3.790970606736275,3.539030724120411,4.153699041364443,4.534589942435689,4.461380027049821,0.0,3.4723690023274827,4.522471094300347,4.994070755651835,2.8552115830454055
N29131C,2.8513261957118523,2.5990024682642803,3.216818374441405,3.359438107229346,3.2091582420003713,3.472369002327481,0.0,3.3593162937551773,3.5277412336316836,2.253388332784499
N29141A,3.614728601237686,3.4703634086658894,3.988443249556342,4.738465620945058,4.246379243362798,4.522471094300351,3.359316293755181,0.0,4.5457937973754925,2.7159936860325704
N29142H,3.8468036514508803,3.581370910481472,4.16942320666107,4.5787095842959324,4.483028435946626,4.99407075565183,3.5277412336316765,4.545793797375482,0.0,2.945666423661991
N29131F,2.3922378895145426,2.2283525666919637,2.63268347813559,2.7901551018454027,2.565954489779374,2.8552115830453912,2.253388332784497,2.7159936860325615,2.9456664236619856,0.0
