,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
N06691U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N06731X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N06731Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N26151X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29121G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29131B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29131C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29141A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29142H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29131F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
