,N06421B
N06421B,0.0
N06431X,0.007965324992914906
N06431Z,0.01296368728318557
N06451L,0.018627978193821487
N06451P,0.021175258509343656
N06451S,0.01774736343929017
N06461T,0.03545894289130085
N06481L,0.042057559230917106
N06481P,0.04781583856074552
N06481S,0.029569554971444555
N06511A,0.016460299981891448
N06511B,0.03950688212828111
N06521E,0.014812091149867765
N06521G,0.019060084827106596
N06611G,0.02061804421921193
N06611J,0.017631457675208094
N06621D,0.018572238757773585
N06731Z,0.005727184848045135
N06461E,0.0199328514985544
N06611F,0.0
N06481N,0.015760777733099068
N06482F,0.03841370805786901
N06482K,0.0
N06482J,0.014252663409223714
N06551T,0.03775693483171819
N06451R,0.0357741157755663
