,N06451L
N06421B,0.0
N06431X,0.015791812992222015
N06431Z,0.015756423916151417
N06451L,0.0
N06451P,0.0194643769745299
N06451S,0.01222193126624302
N06461T,0.0159622964878957
N06481L,0.025588469991429632
N06481P,0.011769499938422131
N06481S,0.014684976029848506
N06511A,0.03949407375176617
N06511B,0.008288110973034713
N06521E,0.05248941993626045
N06521G,0.015008193524763371
N06611G,0.034131524078597625
N06611J,0.010160698848065216
N06621D,0.022834264607377266
N06731Z,0.0
N06461E,0.028934385331874108
N06611F,0.019103026881177522
N06481N,0.0
N06482F,0.02900604073474223
N06482K,0.0
N06482J,0.02713918718670729
N06551T,0.03117838663714699
N06451R,0.014977315747609507
