,N06461E
N06421B,0.02594671266565794
N06431X,0.017986553707918945
N06431Z,0.013309161582524577
N06451L,0.03040818813421729
N06451P,0.04009140882320935
N06451S,0.02291160139801931
N06461T,0.02135995768108526
N06481L,0.03249017152145096
N06481P,0.03848226662982332
N06481S,0.02139046375941012
N06511A,0.04438560421554944
N06511B,0.02479696442534983
N06521E,0.031801011390617875
N06521G,0.01617454522488414
N06611G,0.04986531134469227
N06611J,0.034848729460574136
N06621D,0.025044123043469133
N06731Z,0.007156234283268455
N06461E,0.0
N06611F,0.012162081809404753
N06481N,0.012394003959795634
N06482F,0.02161741457340781
N06482K,0.0
N06482J,0.07424242994697185
N06551T,0.04583230986422167
N06451R,0.0667058025211104
