,N06481N
N06421B,0.012862708625597357
N06431X,0.016301334033390534
N06431Z,0.0
N06451L,0.017016352949957216
N06451P,0.013197083529963249
N06451S,0.0
N06461T,0.017375417311824497
N06481L,0.01707516564541159
N06481P,0.016845446425793536
N06481S,0.018561819972910842
N06511A,0.012000391851700412
N06511B,0.019038802020322838
N06521E,0.0
N06521G,0.014146799664337838
N06611G,0.012973879704471796
N06611J,0.007907400286048579
N06621D,0.0
N06731Z,0.0
N06461E,0.0
N06611F,0.016582348604910598
N06481N,0.0
N06482F,0.021618243848508106
N06482K,0.0
N06482J,0.013872515850024029
N06551T,0.011429575890810747
N06451R,0.02467518638974847
