,N06481P
N06421B,0.025023872829181656
N06431X,0.02184019403178924
N06431Z,0.01509266674666477
N06451L,0.01830859008398001
N06451P,0.032368093611595705
N06451S,0.01667802016120671
N06461T,0.009971604602832534
N06481L,0.02071507945727925
N06481P,0.0
N06481S,0.02127542549223319
N06511A,0.015116258382252518
N06511B,0.019604705530491137
N06521E,0.013214180566258407
N06521G,0.021387513536525387
N06611G,0.029294222417699998
N06611J,0.016953811451629438
N06621D,0.008156922427678855
N06731Z,0.0
N06461E,0.02164907035412682
N06611F,0.009229626747828073
N06481N,0.011921342635043816
N06482F,0.014328934381608665
N06482K,0.0
N06482J,0.03838703358838023
N06551T,0.016680124809936678
N06451R,0.031265830036663694
