,N06481S
N06421B,0.03872089653930316
N06431X,0.023514551631724737
N06431Z,0.004252203607641268
N06451L,0.01636943753584503
N06451P,0.024998060337027353
N06451S,0.008693572695233968
N06461T,0.02494204921784377
N06481L,0.030737264453844483
N06481P,0.025095177385991263
N06481S,0.0
N06511A,0.010951375879514226
N06511B,0.017796629913812412
N06521E,0.01026419250775132
N06521G,0.012494907834205668
N06611G,0.02331678288471787
N06611J,0.025673519753891493
N06621D,0.012294443392672216
N06731Z,0.0
N06461E,0.022329900085249068
N06611F,0.0
N06481N,0.01848368895524135
N06482F,0.0195287779540775
N06482K,0.0
N06482J,0.0258989066536595
N06551T,0.019474310445586458
N06451R,0.029411503018954236
