,N06611G
N06421B,0.03253381856755357
N06431X,0.03436021479851964
N06431Z,0.00975448744495809
N06451L,0.020813316996214505
N06451P,0.05421262400299379
N06451S,0.036096860956075325
N06461T,0.02484857538189791
N06481L,0.04797682729040014
N06481P,0.017814704483800955
N06481S,0.014772760125685748
N06511A,0.024866933196262958
N06511B,0.0350855736813197
N06521E,0.03382986880468445
N06521G,0.010856167721952229
N06611G,0.0
N06611J,0.020522562035951597
N06621D,0.021534884209677148
N06731Z,0.009334532219937108
N06461E,0.06339434346318026
N06611F,0.0
N06481N,0.010153323651702599
N06482F,0.03945104376951765
N06482K,0.0
N06482J,0.06046876281541171
N06551T,0.05925285627330199
N06451R,0.06142029278485422
