,N06611J
N06421B,0.0246257957826678
N06431X,0.01919121976650789
N06431Z,0.013036365305874117
N06451L,0.03998032808205177
N06451P,0.04069796019784426
N06451S,0.026299693258812495
N06461T,0.023224093908586978
N06481L,0.054491170124943526
N06481P,0.024274992420431615
N06481S,0.017956917165447773
N06511A,0.0523125042935829
N06511B,0.014949914732880456
N06521E,0.031434013678022246
N06521G,0.009837519735107533
N06611G,0.037175452551663775
N06611J,0.0
N06621D,0.044644849588319775
N06731Z,0.007441719815508727
N06461E,0.030809014638042444
N06611F,0.012371974452787206
N06481N,0.005117377436379932
N06482F,0.031093445448973675
N06482K,0.0
N06482J,0.04120382235645154
N06551T,0.03303279590002399
N06451R,0.01673287707819972
