,N06431X
N06421B,0.023205078922767665
N06431X,0.0
N06431Z,0.010335153048324388
N06451L,0.01621561500679249
N06451P,0.030282624407950206
N06451S,0.016463600693040308
N06461T,0.02254415009446489
N06481L,0.046292538177373985
N06481P,0.03708373490440466
N06481S,0.02492450973678616
N06511A,0.01935819196025725
N06511B,0.03374799438426204
N06521E,0.018815433077704228
N06521G,0.023942630477111624
N06611G,0.030965278274400942
N06611J,0.011925030271602508
N06621D,0.022836175717628273
N06731Z,0.0
N06461E,0.028544858914373774
N06611F,0.0
N06481N,0.010673329699206688
N06482F,0.028793495075653763
N06482K,0.0
N06482J,0.026727532245111454
N06551T,0.02374041807511957
N06451R,0.02419947675368277
