,N06431Z
N06421B,0.012302573585137557
N06431X,0.007894501554465276
N06431Z,0.0
N06451L,0.010428236826055362
N06451P,0.023307438806665047
N06451S,0.006645337542032801
N06461T,0.0
N06481L,0.02056135650219521
N06481P,0.011333095929515768
N06481S,0.015482335753004074
N06511A,0.011795794705763665
N06511B,0.013930214534666793
N06521E,0.007941304336792021
N06521G,0.009366472830280251
N06611G,0.013145488002047363
N06611J,0.010495257512258263
N06621D,0.015772253574856208
N06731Z,0.0
N06461E,0.018617494236893593
N06611F,0.010722872937769088
N06481N,0.0
N06482F,0.00856386809397257
N06482K,0.009410161828361385
N06482J,0.020928612722434743
N06551T,0.0
N06451R,0.016168927762912687
