,N06451R
N06421B,0.021249758456076958
N06431X,0.03481105821708424
N06431Z,0.0
N06451L,0.0
N06451P,0.02031558439448021
N06451S,0.017310692938157356
N06461T,0.039272577259087345
N06481L,0.048921702565955606
N06481P,0.01997237236286881
N06481S,0.017800292914813227
N06511A,0.023117308216446385
N06511B,0.021289707106719888
N06521E,0.0
N06521G,0.02014996636354003
N06611G,0.017888301339988692
N06611J,0.02170537378048759
N06621D,0.01268667399793689
N06731Z,0.0
N06461E,0.03329621243285522
N06611F,0.0
N06481N,0.01040169965776414
N06482F,0.03707825346375335
N06482K,0.0
N06482J,0.027505750522445242
N06551T,0.022118276503380104
N06451R,0.0
