,N06511A
N06421B,0.03858105092780265
N06431X,0.026925136870138918
N06431Z,0.015673640755627005
N06451L,0.0679466972561899
N06451P,0.05256441082260643
N06451S,0.025409722225439572
N06461T,0.04492933219519391
N06481L,0.0935374386405278
N06481P,0.019438353075149184
N06481S,0.012052099476109124
N06511A,0.0
N06511B,0.011605270165149797
N06521E,0.046485299353559814
N06521G,0.013911130675042911
N06611G,0.029621385227901243
N06611J,0.030251274381278934
N06621D,0.06866673540373162
N06731Z,0.0
N06461E,0.0366880730393211
N06611F,0.010517527989316546
N06481N,0.0
N06482F,0.032833041359874235
N06482K,0.0
N06482J,0.047217282063769045
N06551T,0.049837832272363006
N06451R,0.03274063501099473
