,N06551T
N06421B,0.033059884712114206
N06431X,0.02201902806737878
N06431Z,0.012771296593305895
N06451L,0.02048616880162709
N06451P,0.040626377557114145
N06451S,0.012791259558928007
N06461T,0.05979425340641049
N06481L,0.045374786588958535
N06481P,0.020031107691872836
N06481S,0.029620231693816338
N06511A,0.014110503544721905
N06511B,0.05304145152589753
N06521E,0.020813245485366928
N06521G,0.019247233404505053
N06611G,0.05671417176002922
N06611J,0.03425102562088328
N06621D,0.04007522929926895
N06731Z,0.0
N06461E,0.04522343682499316
N06611F,0.011955174514542944
N06481N,0.0
N06482F,0.05239615199713208
N06482K,0.0
N06482J,0.03308603787930386
N06551T,0.0
N06451R,0.039635569399068905
