,N06611F
N06421B,0.0
N06431X,0.0
N06431Z,0.0
N06451L,0.01814222746433987
N06451P,0.011402381287829846
N06451S,0.007740179282052913
N06461T,0.0
N06481L,0.008261130562669765
N06481P,0.011724795781936125
N06481S,0.012274777504314102
N06511A,0.008671611125226408
N06511B,0.0
N06521E,0.010012391707445905
N06521G,0.01881457278559773
N06611G,0.0
N06611J,0.01624528095973612
N06621D,0.0
N06731Z,0.006579140681018763
N06461E,0.0
N06611F,0.0
N06481N,0.010439526802700178
N06482F,0.0
N06482K,0.00712239728637877
N06482J,0.0
N06551T,0.0
N06451R,0.0
