,N06621D
N06421B,0.017448717315527433
N06431X,0.022500404960166667
N06431Z,0.01148179456628664
N06451L,0.07351141062542409
N06451P,0.03029392821763903
N06451S,0.03555958453572574
N06461T,0.011113612249485283
N06481L,0.02554456547075901
N06481P,0.015406982050734814
N06481S,0.020862799871173714
N06511A,0.022667342435808494
N06511B,0.022049753248630427
N06521E,0.065092172077398
N06521G,0.01447161664302089
N06611G,0.0264120616675657
N06611J,0.016632555298279204
N06621D,0.0
N06731Z,0.0
N06461E,0.030902658492521527
N06611F,0.01760819434710338
N06481N,0.010546528522166303
N06482F,0.009744469838246816
N06482K,0.0
N06482J,0.03294614615751138
N06551T,0.016025503948608542
N06451R,0.017740880350547276
