,N06421B,N06431X,N06431Z,N06451L,N06451P,N06451S,N06461T,N06481L,N06481P,N06481S,N06511A,N06511B,N06521E,N06521G,N06611G,N06611J,N06621D,N06731Z,N06461E,N06611F,N06481N,N06482F,N06482K,N06482J,N06551T,N06451R
0,0.002028232523249199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006341595219343428,0.0,0.0023508849298190045,0.0019655108931402776,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00635480978529499,0.0,0.003846055836306226,0.0026669714751586513,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0034631962028878723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071616898453715945,0.0,0.004354664892121862,0.0020535862017538936,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.006666882900113827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007652947114156138,0.0,0.0045487090113503865,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.006482098762140208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009165143046853189,0.0,0.004651794581638996,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.006509022103409137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010837563002265103,0.0,0.004140001292549598,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.006333807341624637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011851541546373662,0.0,0.004947016232717989,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.006774485227737122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01432163265921235,0.0,0.005399135899678548,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.006621585806308537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015297172852096532,0.0,0.007234560891576154,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.009410161828361385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015826660969025054,0.0,0.00712239728637877,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.009886446861124228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016256336265997096,0.0,0.007151288975310246,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.010782823254343975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016521870527637525,0.0,0.007826528027004747,0.0,0.0,0.0,0.0,0.0,0.0
