,N06421B,N06431X,N06431Z,N06451L,N06451P,N06451S,N06461T,N06481L,N06481P,N06481S,N06511A,N06511B,N06521E,N06521G,N06611G,N06611J,N06621D,N06731Z,N06461E,N06611F,N06481N,N06482F,N06482K,N06482J,N06551T,N06451R
N06421B,0.0,0.9764601115932798,0.747125827511562,0.6170818422143753,0.8091296713890994,0.7477708828773109,0.6171027826757509,0.8362882650409924,0.9178413853482494,0.8170538184151805,0.5142156118071259,0.8457127573097978,0.5056850428535995,0.7206384903029379,0.6054779627046041,0.7866206761051426,0.6259719723659076,0.2728293082038187,0.641591257209897,0.7486819968104923,0.866273709569426,0.7759766718687846,0.28000997130655314,0.6551557091447808,0.6747713468455725,0.9463412817926979
N06431X,0.9764601115932781,0.0,0.6727436323455747,0.6072999676414783,0.7528348424038356,0.6616861204696276,0.5652077919544913,0.7771469511413054,0.8936750055619624,0.7544864417318102,0.51321670103499,0.793873769246483,0.4982785926491413,0.7071374815749119,0.598916492408812,0.79180684618977,0.6018369201143221,0.2783428702216417,0.6129712685780548,0.7502625836339858,0.8080478172229197,0.7024917516185294,0.26964755388858475,0.6459207605254953,0.6319362234247352,0.9018770237558407
N06431Z,0.7471258275115771,0.67274363234558,0.0,0.5559460871133668,0.7793613474552021,0.6517426917553184,0.5849217708267647,0.7628796425199775,1.0031096523137428,0.8967951152013809,0.43484086205577466,0.833156668650429,0.45637487224690343,0.730676533638059,0.6014795832340893,0.7704012475313196,0.6083230112094169,0.36658808222732153,0.6519422415105733,1.0267997122369144,1.066682042732916,0.7666311301298556,0.3598773347691617,0.6849262490153629,0.5912569041352755,1.0094092470384988
N06451L,0.6170818422143753,0.6072999676414748,0.5559460871133526,0.0,0.6621038243918766,0.7418577649847675,0.5723680739644283,0.7465286107276707,0.8048991287660598,0.731185847116488,0.555041593572323,0.8401210914385233,0.5129748888321437,0.7285333962943206,0.4994209057318071,0.8396368838332373,0.6209430169880559,0.2498469131167771,0.5795657128765201,0.673696353857423,0.7045301205684513,0.660635999562488,0.2558759137756015,0.6048060333887815,0.6091592778439416,0.7073375099976564
N06451P,0.8091296713891065,0.7528348424038303,0.7793613474551897,0.6621038243918802,0.0,0.7683538191741439,0.6253861654078996,0.829423683269316,1.0236456933256681,0.8826102689043509,0.6868359593447817,0.8806518226496287,0.6103830479863097,0.7879140271987071,0.7274047693884378,0.8186088635292084,0.6293065010693324,0.3082006139896789,1.0428850491881452,0.9000506428112507,0.960929325117978,0.8249390698205712,0.3246905876727624,0.9570091001633472,0.6439172033920579,1.0363777630495914
N06451S,0.7477708828773073,0.6616861204696294,0.6517426917553033,0.7418577649847693,0.768353819174135,0.0,0.8213476533062005,0.8519720341607773,0.8724121992960931,0.7975093395349164,0.636505094361012,1.0375459884488114,0.603298510744958,0.8719334886229113,0.6143674999802768,0.8735814820436447,0.7170944627641314,0.28703194566572776,0.6420752558853877,0.7427860423404606,0.8384007719897681,0.9119643903132699,0.2919459447263959,0.6557814772720585,0.765876181555468,0.9490734730422892
N06461T,0.6171027826757429,0.5652077919544842,0.5849217708267558,0.5723680739644275,0.6253861654078898,0.8213476533062023,0.0,0.8976861687927045,0.8075592952764641,0.6857070519868822,0.4589647015684859,0.8032615197850417,0.44689181292354085,0.6136060198758173,0.5059374296840677,0.7537082896711889,0.5868788397441778,0.21011749084779785,0.5224403702030607,0.6043459135787144,0.7391872519985272,1.2437280232340688,0.21378533478686812,0.49777565328937534,0.8094137594567643,0.8238237722735358
N06481L,0.8362882650409942,0.7771469511413107,0.7628796425199615,0.7465286107276725,0.8294236832693178,0.8519720341607862,0.8976861687927116,0.0,1.1362315078922496,0.9454825448804458,0.5898607294662828,1.009733406510553,0.566291468404569,0.859387308881697,0.6774778470107581,0.9500334593295756,0.7363280004084771,0.3038363275671294,0.7003507898167456,0.8592939872827543,1.012253733411523,1.1522068204524087,0.3213724791080699,0.7436488780120536,0.8735703011697211,1.0659781650582767
N06481P,0.9178413853482423,0.89367500556195,1.0031096523137366,0.8048991287660634,1.0236456933256681,0.8724121992960896,0.8075592952764694,1.1362315078922478,0.0,1.1859978749085522,0.6673517562090723,1.1667801141939735,0.6355336581048201,1.0442568747857432,0.7943398982029688,1.0638884035104317,0.7853423730604021,0.4104497318502407,0.8023131323540813,1.1633079685521164,1.412030081122568,1.0574686480324305,0.4037974450455213,0.8281177845492733,0.779720573953691,1.2734769940597195
N06481S,0.8170538184151788,0.7544864417318049,0.8967951152013649,0.7311858471164845,0.8826102689043438,0.7975093395349182,0.6857070519868875,0.9454825448804298,1.1859978749085416,0.0,0.5855688473483367,1.0294347028481337,0.6036422825633103,0.9186983343571731,0.6457828107346186,0.96044363497181,0.7398332148720419,0.37056471494825427,0.7380717884337171,1.0195930625519756,1.0933973487248982,0.8881024250141678,0.3531038805471951,0.7810300519210216,0.7491541963994903,1.0811693547345822
N06511A,0.5142156118071277,0.5132167010349971,0.4348408620557649,0.5550415935723194,0.6868359593447853,0.6365050943610138,0.458964701568493,0.589860729466281,0.6673517562090705,0.5855688473483314,0.0,0.6829457633096245,0.6443850720688529,0.6088923946648279,0.42441897950461493,0.6257500385694419,0.5466736430340413,0.21536000194672456,0.5729489076994554,0.5456119270670072,0.5799181374807958,0.5689117605987564,0.22206708363571792,0.5213741570230139,0.5077553875104677,0.6164792769694136
N06511B,0.8457127573097925,0.793873769246467,0.8331566686504113,0.840121091438518,0.880651822649611,1.0375459884488079,0.8032615197850417,1.0097334065105406,1.1667801141939806,1.0294347028481337,0.6829457633096281,0.0,0.6061854536907152,0.9475526135517418,0.690125250223443,1.0541914979564169,0.8160020696529697,0.35814151145393414,0.7504614545153023,0.9834478040176977,1.073899356891686,0.9584103658243919,0.34357217576005894,0.7189553859635573,0.8085311000820026,1.064838846696789
N06521E,0.5056850428536022,0.4982785926491484,0.4563748722468999,0.5129748888321437,0.610383047986307,0.6032985107449571,0.44689181292354263,0.5662914684045672,0.6355336581048094,0.6036422825633085,0.6443850720688564,0.606185453690717,0.0,0.6445047693202133,0.47178330989156025,0.6144486784382401,0.5094475284400559,0.20719885435623064,0.5622238919530034,0.5632584300394159,0.5741908330263223,0.5637548193406925,0.23960915959164808,0.5501772097935058,0.4988706152856972,0.6414415572570906
N06521G,0.7206384903029308,0.7071374815749101,0.730676533638043,0.7285333962943188,0.7879140271986982,0.871933488622906,0.613606019875828,0.8593873088816881,1.044256874785745,0.9186983343571749,0.6088923946648261,0.9475526135517489,0.6445047693202168,0.0,0.6420022371398808,0.9800153816234003,0.7605331900575738,0.34913142874536085,0.6858966103812971,0.9174346421024158,0.9463101812467318,0.7977999122470374,0.36061176489012414,0.6955199003671639,0.6750808034550282,0.9536569388669482
N06611G,0.605477962704605,0.5989164924088137,0.6014795832340831,0.49942090573180886,0.7274047693884431,0.6143674999802786,0.505937429684074,0.6774778470107621,0.7943398982029657,0.6457828107346191,0.4244189795046176,0.690125250223447,0.47178330989156203,0.6420022371398866,0.0,0.6572005322134529,0.5125870054051256,0.23668291643184514,0.5805326036118958,0.7507040977263428,0.7270060365182904,0.6119791984735055,0.23515164126655508,0.5862203236460606,0.49917597969901584,0.9393079896587806
N06611J,0.7866206761051338,0.7918068461897612,0.7704012475313124,0.839636883833232,0.8186088635292084,0.8735814820436429,0.753708289671196,0.9500334593295721,1.0638884035104335,0.9604436349718295,0.6257500385694454,1.054191497956424,0.6144486784382419,0.9800153816234127,0.6572005322134506,0.0,0.7970553191746612,0.3103526873902025,0.7157360507102721,0.9292136344028838,0.9778539953319436,0.894503809972031,0.3154029010402697,0.6953366215130092,0.7542110218900406,1.0480812901908578
N06621D,0.6259719723659112,0.6018369201143132,0.6083230112094027,0.6209430169880523,0.6293065010693288,0.7170944627641287,0.586878839744184,0.7363280004084807,0.7853423730604092,0.7398332148720401,0.5466736430340342,0.8160020696529715,0.5094475284400515,0.760533190057572,0.5125870054051211,0.7970553191746701,0.0,0.26346186929833726,0.5304092959389752,0.7201690634699425,0.73890990978032,0.6820946101010215,0.26953277463503245,0.5510719985822083,0.5932249129201876,0.7380215205561571
N06731Z,0.27282930820381823,0.2783428702216395,0.36658808222732864,0.24984691311677354,0.3082006139896838,0.28703194566572376,0.21011749084779696,0.3038363275671325,0.41044973185024203,0.37056471494825827,0.21536000194672633,0.35814151145393547,0.2071988543562271,0.3491314287453684,0.2366829164318478,0.3103526873902047,0.2634618692983355,0.0,0.24564151100103127,0.39552130784708384,0.42665587129910465,0.29027356832237006,1.478143739112682,0.2709125226043647,0.22040211721948788,0.35513503633770727
