,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111W
N06351L,0.0,4.007766505198055,1.5685843592475557,3.1733789215903627,2.3171513600008247,3.4373955794335336,2.8980083265121737,3.8153861295604257,2.4750167465713986,3.324653459008286
N06411H,4.007766505198057,0.0,1.5807462518851247,3.2319895681690882,2.3611449048783735,3.525074556022483,2.9570208547571557,3.934723984344581,2.5094020729480713,3.404803042398168
N06421A,1.5685843592475663,1.5807462518851212,0.0,1.4489240516380715,1.0181001300568653,1.455322407285105,1.1902855091746583,1.6907302830705513,1.065613844129503,1.4326057209373362
N06421D,3.173378921590352,3.231989568169076,1.4489240516380715,0.0,1.9836285449262334,2.9996919628190186,2.4966666855169093,3.3731018990521795,2.1685444304954817,2.883783150192074
N06421E,2.3171513600008193,2.3611449048783664,1.0181001300568653,1.9836285449262423,0.0,2.250560531459251,1.926850078179041,2.507857782557724,1.7069752483742953,2.4190953428311355
N06421F,3.4373955794335354,3.5250745560224708,1.455322407285112,2.999691962819024,2.25056053145926,0.0,2.777459466528436,3.9187701274665834,2.2661020862921477,3.200300830671525
N06421G,2.898008326512179,2.9570208547571504,1.1902855091746654,2.4966666855169235,1.9268500781790445,2.777459466528441,0.0,3.1359630477874365,2.0031902379409887,2.860597791327905
N06431Y,3.8153861295604274,3.934723984344572,1.6907302830705655,3.373101899052192,2.507857782557722,3.9187701274665727,3.135963047787431,0.0,2.580800258287769,3.5800319881883826
N31111S,2.4750167465714004,2.509402072948075,1.0656138441294996,2.1685444304954906,1.7069752483742953,2.266102086292139,2.0031902379409834,2.5808002582877743,0.0,2.3919767199374578
N31111W,3.3246534590082772,3.4048030423981572,1.432605720937322,2.8837831501920723,2.4190953428311426,3.2003008306715213,2.860597791327896,3.580031988188388,2.3919767199374506,0.0
